,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Portugal,5493359,2641461,2851898,2449743,1048198,1401545,1197216,474761,722455
Continente,5218543,2507780,2710763,2359134,1011439,1347695,1157122,460813,696309
Norte,1945971,934616,1011355,823506,355694,467812,384161,153294,230867
Alto Minho,117616,56493,61123,65596,27587,38009,33572,12999,20573
Arcos de Valdevez,9526,4615,4911,7461,3062,4399,4043,1532,2511
Caminha,7977,3748,4229,4714,2012,2702,2381,929,1452
Melgaço,3332,1566,1766,3318,1345,1973,1837,693,1144
Monção,8575,4103,4472,6120,2517,3603,3161,1191,1970
Paredes de Coura,4252,2165,2087,2687,1122,1565,1430,554,876
Ponte da Barca,5512,2654,2858,3326,1369,1957,1790,710,1080
Ponte de Lima,21625,10450,11175,10132,4214,5918,5288,2005,3283
Valença,7076,3380,3696,3626,1536,2090,1795,697,1098
Viana do Castelo,45105,21497,23608,21808,9409,12399,10633,4230,6403
Vila Nova de Cerveira,4636,2315,2321,2404,1001,1403,1214,458,756
Cávado,231478,110978,120500,82881,36085,46796,37656,15130,22526
Amares,10003,4859,5144,4044,1805,2239,1931,801,1130
Barcelos,64811,31459,33352,23453,10166,13287,10451,4131,6320
Braga,109297,51860,57437,36037,15668,20369,15833,6381,9452
Esposende,19418,9253,10165,7199,3192,4007,3259,1341,1918
Terras de Bouro,3188,1567,1621,1858,827,1031,965,399,566
Vila Verde,24761,11980,12781,10290,4427,5863,5217,2077,3140
Ave,232148,112863,119285,88555,38728,49827,38784,15438,23346
Cabeceiras de Basto,8245,4068,4177,3589,1577,2012,1855,731,1124
Fafe,26182,12588,13594,11372,4843,6529,5143,1959,3184
Guimarães,87889,42799,45090,32084,14073,18011,13525,5402,8123
Mondim de Basto,3248,1579,1669,1839,817,1022,945,383,562
Póvoa de Lanhoso,11776,5628,6148,4948,2213,2735,2303,924,1379
Vieira do Minho,6063,2927,3136,3560,1580,1980,1827,738,1089
Vila Nova de Famalicão,74903,36510,38393,26890,11706,15184,11480,4622,6858
Vizela,13842,6764,7078,4273,1919,2354,1706,679,1027
A. M. Porto,951834,453556,498278,387790,166111,221679,176897,70566,106331
Arouca,11077,5528,5549,5101,2179,2922,2428,928,1500
Espinho,15822,7519,8303,8884,3749,5135,4293,1697,2596
Gondomar,90631,43006,47625,35772,15618,20154,15713,6439,9274
Maia,75816,35945,39871,26764,11602,15162,11887,4926,6961
Matosinhos,94233,44486,49747,40375,17365,23010,17968,7262,10706
Oliveira de Azeméis,36180,17761,18419,15559,6905,8654,7397,3054,4343
Paredes,48207,23339,24868,14118,6254,7864,5894,2381,3513
Porto,122114,57548,64566,60812,23730,37082,30824,11074,19750
Póvoa de Varzim,35109,16508,18601,13481,5780,7701,5931,2320,3611
Santa Maria da Feira,75902,36810,39092,29227,12902,16325,13210,5385,7825
Santo Tirso,36533,17590,18943,16940,7423,9517,7619,3089,4530
São João da Madeira,12292,5740,6552,4978,2099,2879,2299,915,1384
Trofa,21764,10487,11277,7860,3482,4378,3362,1385,1977
Vale de Cambra,10953,5407,5546,6064,2654,3410,2973,1220,1753
Valongo,53378,25300,28078,18853,8170,10683,8165,3330,4835
Vila do Conde,44637,21553,23084,16709,7216,9493,7510,3001,4509
Vila Nova de Gaia,167186,79029,88157,66293,28983,37310,29424,12160,17264
Alto Tâmega,39758,19424,20334,29698,13157,16541,15472,6326,9146
Boticas,2302,1158,1144,1869,822,1047,1010,421,589
Chaves,18324,8807,9517,12228,5423,6805,6239,2568,3671
Montalegre,4178,2139,2039,3674,1631,2043,2026,829,1197
Ribeira de Pena,2910,1456,1454,1867,849,1018,979,396,583
Valpaços,6387,3106,3281,5942,2578,3364,3149,1261,1888
Vila Pouca de Aguiar,5657,2758,2899,4118,1854,2264,2069,851,1218
Tâmega e Sousa,228269,110645,117624,79371,34740,44631,35587,14159,21428
Amarante,28198,13424,14774,11803,5249,6554,5338,2151,3187
Baião,9524,4587,4937,4055,1714,2341,1986,758,1228
Castelo de Paiva,8552,4238,4314,3280,1424,1856,1503,570,933
Celorico de Basto,9340,4605,4735,4284,1775,2509,2177,816,1361
Cinfães,9202,4531,4671,4551,1996,2555,2300,895,1405
Felgueiras,31799,15363,16436,10282,4510,5772,4449,1804,2645
Lousada,27431,13172,14259,7476,3312,4164,3100,1252,1848
Marco de Canaveses,27718,13353,14365,9201,3960,5241,4051,1583,2468
Paços de Ferreira,32043,15948,16095,9215,4117,5098,3912,1618,2294
Penafiel,39194,18785,20409,12636,5570,7066,5449,2194,3255
Resende,5268,2639,2629,2588,1113,1475,1322,518,804
Douro,93654,45581,48073,53245,23007,30238,26913,10570,16343
Alijó,5134,2602,2532,3459,1540,1919,1809,742,1067
Armamar,2846,1393,1453,1737,726,1011,966,372,594
Carrazeda de Ansiães,2512,1290,1222,2058,895,1163,1067,446,621
Freixo de Espada à Cinta,1436,726,710,1181,506,675,705,288,417
Lamego,12835,6203,6632,6413,2717,3696,3166,1189,1977
Mesão Frio,1804,870,934,1048,432,616,496,191,305
Moimenta da Beira,4619,2230,2389,2806,1240,1566,1483,607,876
Murça,2456,1216,1240,1887,832,1055,964,408,556
Penedono,1286,635,651,941,396,545,526,199,327
Peso da Régua,7615,3662,3953,3889,1645,2244,1792,654,1138
Sabrosa,2679,1334,1345,1848,823,1025,930,356,574
Santa Marta de Penaguião,2999,1452,1547,1962,855,1107,939,356,583
São João da Pesqueira,3481,1752,1729,1900,839,1061,966,381,585
Sernancelhe,2818,1431,1387,1819,806,1013,973,405,568
Tabuaço,2533,1229,1304,1620,714,906,811,316,495
Tarouca,3858,1874,1984,1819,796,1023,876,352,524
Torre de Moncorvo,3027,1518,1509,2784,1194,1590,1544,625,919
Vila Nova de Foz Côa,2995,1535,1460,2268,961,1307,1201,452,749
Vila Real,26721,12629,14092,11806,5090,6716,5699,2231,3468
Terras de Trás-os-Montes,51214,25076,26138,36370,16279,20091,19280,8106,11174
Alfândega da Fé,2001,992,1009,1617,748,869,884,386,498
Bragança,17469,8435,9034,9817,4370,5447,4969,2111,2858
Macedo de Cavaleiros,6746,3297,3449,4972,2196,2776,2575,1045,1530
Miranda do Douro,2903,1453,1450,2518,1132,1386,1417,593,824
Mirandela,10338,4975,5363,6898,3038,3860,3606,1498,2108
Mogadouro,3874,1974,1900,3142,1412,1730,1760,732,1028
Vila Flor,2823,1382,1441,2156,965,1191,1135,471,664
Vimioso,1755,891,864,1808,831,977,976,414,562
Vinhais,3305,1677,1628,3442,1587,1855,1958,856,1102
