,"Place of parturition, Total (N.º)","Place of parturition, Domicile (N.º)","Place of parturition, Hospital establishment (N.º)","Place of parturition, Another place (N.º)"
Idanha-a-Nova,50,2,48,0
Oleiros,13,1,12,0
Penamacor,13,0,13,0
Proença-a-Nova,17,0,17,0
Vila Velha de Ródão,11,0,11,0
Médio Tejo,1469,8,1453,8
Abrantes,200,1,199,0
Alcanena,78,0,77,1
Constância,29,0,28,1
Entroncamento,184,1,182,1
Ferreira do Zêzere,37,1,36,0
Mação,25,1,24,0
Ourém,331,2,329,0
Sardoal,23,0,23,0
Sertã,73,0,72,1
Tomar,206,1,204,1
Torres Novas,223,1,219,3
Vila de Rei,11,0,11,0
Vila Nova da Barquinha,49,0,49,0
Beiras e Serra da Estrela,1143,12,1124,7
Almeida,23,0,23,0
Belmonte,36,0,36,0
Celorico da Beira,32,0,32,0
Covilhã,257,1,253,3
Figueira de Castelo Rodrigo,23,0,23,0
Fornos de Algodres,22,0,22,0
Fundão,130,1,126,3
Gouveia,69,2,67,0
Guarda,268,1,267,0
Manteigas,22,0,21,1
Mêda,22,0,22,0
Pinhel,28,1,27,0
Sabugal,59,6,53,0
Seia,118,0,118,0
Trancoso,34,0,34,0
A. M. Lisboa,29258,205,28973,80
Alcochete,157,4,153,0
Almada,1677,15,1659,3
Amadora,2031,15,2012,4
Barreiro,653,4,647,2
Cascais,1946,18,1916,12
Lisboa,5834,32,5792,10
Loures,2219,10,2200,9
Mafra,743,6,735,2
Moita,646,5,640,1
Montijo,613,2,608,3
Odivelas,1892,12,1877,3
Oeiras,1623,8,1609,6
Palmela,565,2,563,0
Seixal,1602,12,1584,6
Sesimbra,451,8,443,0
Setúbal,1048,6,1041,1
Sintra,4270,38,4215,17
Vila Franca de Xira,1288,8,1279,1
Alentejo,5290,46,5213,31
Alentejo Litoral,715,9,700,6
Alcácer do Sal,79,0,79,0
Grândola,88,0,88,0
Odemira,233,6,224,3
Santiago do Cacém,198,1,195,2
Sines,117,2,114,1
Baixo Alentejo,971,9,954,8
Aljustrel,81,0,80,1
Almodôvar,54,2,52,0
Alvito,14,0,14,0
Barrancos,12,0,12,0
Beja,318,5,311,2
Castro Verde,63,0,63,0
Cuba,33,0,32,1
Ferreira do Alentejo,51,1,50,0
Mértola,28,0,28,0
Moura,130,1,126,3
Ourique,40,0,40,0
Serpa,96,0,95,1
Vidigueira,51,0,51,0
Lezíria do Tejo,1755,15,1731,9
Almeirim,152,1,150,1
Alpiarça,38,0,37,1
Azambuja,154,1,152,1
Benavente,240,4,236,0
Cartaxo,188,2,186,0
Chamusca,60,0,60,0
Coruche,113,1,112,0
Golegã,36,0,36,0
Rio Maior,190,5,183,2
Salvaterra de Magos,165,0,165,0
Santarém,419,1,414,4
Alto Alentejo,704,6,692,6
Alter do Chão,16,0,16,0
Arronches,16,0,16,0
Avis,22,0,21,1
Campo Maior,57,2,55,0
Castelo de Vide,19,0,19,0
Crato,18,0,18,0
Elvas,149,1,148,0
Fronteira,17,1,16,0
Gavião,10,0,10,0
Marvão,15,0,15,0
Monforte,23,0,23,0
Nisa,31,0,31,0
Ponte de Sor,113,2,108,3
Portalegre,172,0,170,2
Sousel,26,0,26,0
Alentejo Central,1145,7,1136,2
Alandroal,17,0,17,0
Arraiolos,37,0,37,0
Borba,40,0,40,0
Estremoz,90,1,88,1
Évora,478,3,475,0
Montemor-o-Novo,100,3,97,0
Mora,29,0,29,0
Mourão,22,0,22,0
Portel,39,0,39,0
Redondo,47,0,47,0
Reguengos de Monsaraz,81,0,81,0
Vendas Novas,76,0,75,1
Viana do Alentejo,45,0,45,0
Vila Viçosa,44,0,44,0
Algarve,4351,41,4281,29
Albufeira,487,1,486,0
Alcoutim,10,0,10,0
Aljezur,49,5,43,1
Castro Marim,58,0,58,0
Faro,669,5,661,3
Lagoa,209,1,207,1
Lagos,279,10,265,4
Loulé,666,2,660,4
Monchique,41,3,36,2
Olhão,430,3,427,0
Portimão,621,4,611,6
São Brás de Alportel,98,1,96,1
Silves,364,2,358,4
Tavira,196,0,194,2
Vila do Bispo,40,4,35,1
Vila Real de Santo António,134,0,134,0
R. A. Açores,2097,13,2078,6
Santa Maria,37,0,36,1
Vila do Porto,37,0,36,1
São Miguel,1264,9,1250,5
Lagoa (R.A.A.),126,1,125,0
Nordeste,38,0,38,0
Ponta Delgada,613,6,605,2
Povoação,34,0,34,0
Ribeira Grande,363,1,359,3
Vila Franca do Campo,90,1,89,0
Terceira,439,4,435,0
Angra do Heroísmo,284,1,283,0
Vila da Praia da Vitória,155,3,152,0
Graciosa,39,0,39,0
Santa Cruz da Graciosa,39,0,39,0
São Jorge,55,0,55,0
Calheta (R.A.A.),27,0,27,0
Velas,28,0,28,0
Pico,110,0,110,0
Lajes do Pico,34,0,34,0
Madalena,53,0,53,0
São Roque do Pico,23,0,23,0
Faial,121,0,121,0
Horta,121,0,121,0
Flores,31,0,31,0
Lajes das Flores,15,0,15,0
Santa Cruz das Flores,16,0,16,0
Corvo,1,0,1,0
Corvo,1,0,1,0
R. A. Madeira,1862,7,1855,0
Calheta (R.A.M.),69,1,68,0
Câmara de Lobos,309,1,308,0
Funchal,731,3,728,0
Machico,127,1,126,0
Ponta do Sol,61,0,61,0
Porto Moniz,11,0,11,0
Ribeira Brava,100,1,99,0
Santa Cruz,360,0,360,0
Santana,39,0,39,0
São Vicente,23,0,23,0
Porto Santo,32,0,32,0
