,"Pharmacies and mobile medicine depots, Total (N.º)","Pharmacies and mobile medicine depots, Pharmacies (N.º)","Pharmacies and mobile medicine depots, Mobile medicine depots (N.º)","Laboratory pharmacists, Mobile medicine depots (N.º)","Pharmacy technicians, Mobile medicine depots (N.º)"
Penamacor,6,2,4,5,1
Proença-a-Nova,2,2,0,5,1
Vila Velha de Ródão,1,1,0,4,2
Médio Tejo,91,78,13,225,68
Abrantes,15,13,2,44,12
Alcanena,5,5,0,9,4
Constância,3,2,1,6,2
Entroncamento,4,4,0,17,3
Ferreira do Zêzere,4,3,1,4,1
Mação,5,4,1,6,2
Ourém,20,15,5,42,15
Sardoal,2,1,1,2,3
Sertã,4,4,0,12,3
Tomar,13,12,1,38,15
Torres Novas,12,11,1,36,4
Vila de Rei,1,1,0,5,3
Vila Nova da Barquinha,3,3,0,4,1
Beiras e Serra da Estrela,98,83,15,203,192
Almeida,2,2,0,3,5
Belmonte,2,2,0,5,4
Celorico da Beira,4,3,1,4,8
Covilhã,22,19,3,61,26
Figueira de Castelo Rodrigo,3,3,0,10,4
Fornos de Algodres,2,2,0,3,1
Fundão,10,8,2,26,8
Gouveia,7,5,2,10,18
Guarda,13,12,1,30,44
Manteigas,2,2,0,3,4
Mêda,1,1,0,1,6
Pinhel,5,5,0,10,17
Sabugal,9,5,4,9,12
Seia,10,10,0,21,28
Trancoso,6,4,2,7,7
A. M. Lisboa,784,780,4,2987,746
Alcochete,4,4,0,10,2
Almada,46,46,0,189,40
Amadora,41,41,0,135,74
Barreiro,23,23,0,92,34
Cascais,43,42,1,202,46
Lisboa,259,259,0,1035,152
Loures,52,52,0,194,102
Mafra,16,14,2,45,10
Moita,16,16,0,51,10
Montijo,14,14,0,50,20
Odivelas,36,36,0,115,21
Oeiras,50,50,0,172,36
Palmela,15,15,0,52,4
Seixal,35,35,0,139,30
Sesimbra,8,8,0,39,11
Setúbal,30,30,0,115,32
Sintra,68,67,1,256,95
Vila Franca de Xira,28,28,0,96,27
Alentejo,350,267,83,552,293
Alentejo Litoral,36,33,3,67,35
Alcácer do Sal,5,4,1,7,5
Grândola,5,5,0,7,4
Odemira,12,10,2,15,12
Santiago do Cacém,11,11,0,30,7
Sines,3,3,0,8,7
Baixo Alentejo,61,46,15,87,48
Aljustrel,5,4,1,6,4
Almodôvar,2,2,0,3,0
Alvito,2,2,0,1,2
Barrancos,1,1,0,1,0
Beja,12,9,3,29,17
Castro Verde,3,2,1,4,4
Cuba,3,1,2,2,2
Ferreira do Alentejo,7,5,2,5,5
Mértola,2,2,0,2,0
Moura,12,9,3,15,3
Ourique,5,2,3,2,2
Serpa,5,5,0,12,5
Vidigueira,2,2,0,5,4
Lezíria do Tejo,87,80,7,196,88
Almeirim,6,6,0,16,5
Alpiarça,3,3,0,7,1
Azambuja,6,6,0,15,11
Benavente,7,7,0,19,8
Cartaxo,8,8,0,22,7
Chamusca,9,7,2,12,5
Coruche,6,6,0,12,10
Golegã,3,3,0,5,0
Rio Maior,5,5,0,14,4
Salvaterra de Magos,8,6,2,15,9
Santarém,26,23,3,59,28
Alto Alentejo,78,46,32,80,51
Alter do Chão,4,2,2,3,1
Arronches,3,2,1,2,2
Avis,5,1,4,1,0
Campo Maior,3,2,1,4,2
Castelo de Vide,3,2,1,6,1
Crato,5,3,2,3,5
Elvas,11,7,4,12,7
Fronteira,3,2,1,1,2
Gavião,4,3,1,4,1
Marvão,3,1,2,3,3
Monforte,4,1,3,1,0
Nisa,5,4,1,5,3
Ponte de Sor,7,5,2,11,2
Portalegre,14,9,5,19,21
Sousel,4,2,2,5,1
Alentejo Central,88,62,26,122,71
Alandroal,4,2,2,4,3
Arraiolos,6,3,3,4,5
Borba,4,3,1,3,7
Estremoz,7,5,2,11,5
Évora,22,19,3,44,22
Montemor-o-Novo,11,6,5,13,5
Mora,5,3,2,5,2
Mourão,2,1,1,1,1
Portel,6,2,4,5,3
Redondo,3,3,0,5,7
Reguengos de Monsaraz,5,4,1,7,3
Vendas Novas,4,4,0,9,4
Viana do Alentejo,4,3,1,3,3
Vila Viçosa,5,4,1,8,1
Algarve,120,114,6,317,133
Albufeira,9,9,0,27,7
Alcoutim,2,1,1,2,0
Aljezur,3,3,0,4,2
Castro Marim,2,2,0,4,0
Faro,17,17,0,59,15
Lagoa,8,7,1,17,11
Lagos,8,8,0,17,11
Loulé,15,14,1,45,26
Monchique,3,2,1,3,4
Olhão,10,9,1,27,6
Portimão,12,12,0,40,23
São Brás de Alportel,2,2,0,10,1
Silves,11,11,0,24,9
Tavira,11,10,1,24,14
Vila do Bispo,2,2,0,2,1
Vila Real de Santo António,5,5,0,12,3
R. A. Açores,71,53,18,125,68
Santa Maria,2,2,0,3,0
Vila do Porto,2,2,0,3,0
São Miguel,35,27,8,64,43
Lagoa (R.A.A.),5,3,2,8,5
Nordeste,2,1,1,1,2
Ponta Delgada,17,14,3,35,25
Povoação,2,1,1,3,3
Ribeira Grande,7,6,1,12,6
Vila Franca do Campo,2,2,0,5,2
Terceira,16,12,4,26,14
Angra do Heroísmo,10,8,2,17,7
Vila da Praia da Vitória,6,4,2,9,7
Graciosa,1,1,0,1,0
Santa Cruz da Graciosa,1,1,0,1,0
São Jorge,4,2,2,6,2
Calheta (R.A.A.),2,1,1,3,0
Velas,2,1,1,3,2
Pico,5,5,0,16,3
Lajes do Pico,2,2,0,9,1
Madalena,2,2,0,5,1
São Roque do Pico,1,1,0,2,1
Faial,5,3,2,8,2
Horta,5,3,2,8,2
Flores,2,1,1,1,4
Lajes das Flores,0,0,0,0,1
Santa Cruz das Flores,2,1,1,1,3
Corvo,1,0,1,0,0
Corvo,1,0,1,0,0
R. A. Madeira,66,65,1,176,36
Calheta (R.A.M.),4,4,0,5,1
Câmara de Lobos,8,8,0,19,2
Funchal,28,28,0,84,13
Machico,5,5,0,18,5
Ponta do Sol,2,2,0,4,0
Porto Moniz,1,1,0,2,0
Ribeira Brava,4,3,1,11,2
Santa Cruz,7,7,0,22,7
Santana,3,3,0,5,1
São Vicente,3,3,0,4,1
Porto Santo,1,1,0,2,4
