,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Portugal,10298252,4858749,5439503,1382628,705913,676715,1100234,559580,540654
Continente,9802128,4623175,5178953,1313806,670725,643081,1038243,527998,510245
Norte,3566374,1682772,1883602,444020,226611,217409,391794,199265,192529
Alto Minho,229066,106066,123000,25288,12876,12412,23273,11933,11340
Arcos de Valdevez,20785,9381,11404,1981,979,1002,1913,1001,912
Caminha,15787,7207,8580,1729,906,823,1493,736,757
Melgaço,7991,3491,4500,614,327,287,663,323,340
Monção,17727,8036,9691,1674,850,824,1513,780,733
Paredes de Coura,8472,4007,4465,930,462,468,786,425,361
Ponte da Barca,11098,5055,6043,1101,537,564,1208,618,590
Ponte de Lima,41058,19182,21876,4838,2426,2412,4794,2459,2335
Valença,13193,6068,7125,1446,734,712,1339,670,669
Viana do Castelo,84055,39432,44623,9961,5119,4842,8652,4431,4221
Vila Nova de Cerveira,8900,4207,4693,1014,536,478,912,490,422
Cávado,403860,191835,212025,53391,27409,25982,47198,24128,23070
Amares,18090,8715,9375,2194,1145,1049,2223,1144,1079
Barcelos,115589,55169,60420,14182,7230,6952,13730,7124,6606
Braga,182924,86296,96628,25658,13134,12524,20839,10513,10326
Esposende,34170,16192,17978,4705,2440,2265,4030,2034,1996
Terras de Bouro,6315,3007,3308,617,321,296,662,373,289
Vila Verde,46772,22456,24316,6035,3139,2896,5714,2940,2774
Ave,410224,195569,214655,50647,26089,24558,47145,24265,22880
Cabeceiras de Basto,15526,7474,8052,1879,990,889,1938,1018,920
Fafe,47741,22303,25438,5569,2935,2634,5494,2812,2682
Guimarães,151621,72614,79007,19171,9877,9294,16886,8738,8148
Mondim de Basto,6880,3274,3606,641,341,300,870,475,395
Póvoa de Lanhoso,21480,10147,11333,2545,1309,1236,2644,1346,1298
Vieira do Minho,11786,5617,6169,1163,607,556,1301,678,623
Vila Nova de Famalicão,131292,62609,68683,16621,8451,8170,15123,7712,7411
Vizela,23898,11531,12367,3058,1579,1479,2889,1486,1403
A. M. Porto,1727774,810403,917371,224584,114345,110239,184640,93263,91377
Arouca,20609,9743,10866,2589,1285,1304,2277,1115,1162
Espinho,29425,13660,15765,3277,1672,1605,2935,1555,1380
Gondomar,165700,78216,87484,20921,10674,10247,18023,9147,8876
Maia,139641,65722,73919,19497,9943,9554,15696,7890,7806
Matosinhos,175556,82102,93454,23164,11725,11439,17331,8596,8735
Oliveira de Azeméis,65751,31180,34571,7339,3754,3585,6733,3296,3437
Paredes,85880,41459,44421,11883,6043,5840,10963,5602,5361
Porto,216887,97493,119394,28678,14501,14177,19473,9952,9521
Póvoa de Varzim,62785,29472,33313,8531,4346,4185,7330,3709,3621
Santa Maria da Feira,138434,65939,72495,17178,8791,8387,15603,7901,7702
Santo Tirso,67600,31859,35741,7144,3578,3566,7134,3644,3490
São João da Madeira,22061,10286,11775,2676,1347,1329,2339,1171,1168
Trofa,38462,18190,20272,4841,2421,2420,4312,2135,2177
Vale de Cambra,21207,10076,11131,2211,1174,1037,2066,1058,1008
Valongo,97797,45916,51881,13627,6925,6702,10962,5572,5390
Vila do Conde,79961,38168,41793,11110,5694,5416,8995,4586,4409
Vila Nova de Gaia,300018,140922,159096,39918,20472,19446,32468,16334,16134
Alto Tâmega,85498,40126,45372,7768,4004,3764,8035,4079,3956
Boticas,4926,2300,2626,419,225,194,397,190,207
Chaves,39198,18554,20644,3846,1996,1850,3768,2000,1768
Montalegre,8882,4128,4754,670,323,347,763,387,376
Ribeira de Pena,5987,2908,3079,617,349,268,628,319,309
Valpaços,14647,6688,7959,1238,622,616,1270,614,656
Vila Pouca de Aguiar,11858,5548,6310,978,489,489,1209,569,640
Tâmega e Sousa,413609,198881,214728,52385,26757,25628,51766,26494,25272
Amarante,52877,24973,27904,6168,3116,3052,6371,3221,3150
Baião,18575,8887,9688,2039,1064,975,2100,1103,997
Castelo de Paiva,15303,7410,7893,1836,930,906,1854,957,897
Celorico de Basto,18904,9054,9850,2056,1016,1040,2238,1145,1093
Cinfães,18001,8678,9323,2111,1128,983,2076,1079,997
Felgueiras,56128,26692,29436,7092,3561,3531,7016,3647,3369
Lousada,46580,22363,24217,6432,3261,3171,6170,3144,3026
Marco de Canaveses,51253,24686,26567,6493,3321,3172,6750,3446,3304
Paços de Ferreira,56547,28071,28476,7693,3996,3697,7222,3636,3586
Penafiel,69419,33243,36176,9338,4772,4566,8730,4469,4261
Resende,10022,4824,5198,1127,592,535,1239,647,592
Douro,189777,89404,100373,19508,9819,9689,20092,10162,9930
Alijó,10527,4968,5559,1012,487,525,970,486,484
Armamar,5716,2652,3064,498,246,252,613,286,327
Carrazeda de Ansiães,5610,2601,3009,529,247,282,497,232,265
Freixo de Espada à Cinta,3239,1495,1744,344,168,176,299,149,150
Lamego,24756,11676,13080,2566,1297,1269,2701,1382,1319
Mesão Frio,3939,1803,2136,380,183,197,450,231,219
Moimenta da Beira,9713,4630,5083,1050,540,510,1155,595,560
Murça,5399,2552,2847,506,245,261,557,292,265
Penedono,2572,1217,1355,228,112,116,282,145,137
Peso da Régua,15687,7285,8402,1664,835,829,1644,818,826
Sabrosa,5882,2786,3096,557,260,297,617,304,313
Santa Marta de Penaguião,6556,3047,3509,563,300,263,666,333,333
São João da Pesqueira,7060,3429,3631,728,367,361,792,417,375
Sernancelhe,5375,2577,2798,472,228,244,549,274,275
Tabuaço,6020,2824,3196,460,226,234,638,307,331
Tarouca,7821,3736,4085,825,409,416,985,496,489
Torre de Moncorvo,7607,3548,4059,582,284,298,582,287,295
Vila Nova de Foz Côa,6423,2980,3443,556,249,307,606,290,316
Vila Real,49875,23598,26277,5988,3136,2852,5489,2838,2651
