,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Faro,17477,585,2454,1786,2881,4500,419,1631,985,2226
Lagoa,6891,274,416,515,909,2378,279,605,201,1313
Lagos,7833,369,449,525,935,2697,196,736,332,1593
Loulé,22923,913,1049,1849,2791,8104,746,2089,1009,4369
Monchique,683,27,41,37,67,249,29,72,61,100
Olhão,5882,268,372,477,675,1614,306,844,349,974
Portimão,14974,496,1333,1175,1842,5300,108,1190,761,2765
São Brás de Alportel,1513,113,159,111,190,331,15,263,122,209
Silves,5618,267,353,417,700,1537,269,570,451,1054
Tavira,5194,216,292,392,529,1667,233,531,180,1153
Vila do Bispo,1203,61,52,68,140,472,48,43,63,256
Vila Real de Santo António,3904,242,156,225,508,1368,100,351,237,717
R. A. Açores,41447,1309,3699,4021,5810,10704,610,5447,2132,7715
Santa Maria,854,25,17,166,116,244,6,120,34,126
Vila do Porto,854,25,17,166,116,244,6,120,34,126
São Miguel,24992,764,2285,2378,3484,6265,408,3171,1420,4817
Lagoa (R.A.A.),1901,65,117,170,213,340,41,360,163,432
Nordeste,402,17,29,20,33,134,19,57,22,71
Ponta Delgada,16014,529,1761,1664,2513,4041,170,1543,696,3097
Povoação,837,18,32,50,85,325,54,62,9,202
Ribeira Grande,4783,115,290,415,484,1122,109,924,482,842
Vila Franca do Campo,1055,20,56,59,156,303,15,225,48,173
Terceira,8788,295,920,858,1217,2295,125,1232,346,1500
Angra do Heroísmo,6092,222,739,580,788,1630,84,812,234,1003
Vila da Praia da Vitória,2696,73,181,278,429,665,41,420,112,497
Graciosa,481,7,25,45,58,126,4,66,27,123
Santa Cruz da Graciosa,481,7,25,45,58,126,4,66,27,123
São Jorge,1234,58,64,94,166,333,10,235,76,198
Calheta (R.A.A.),424,…,30,27,54,115,…,96,18,70
Velas,810,…,34,67,112,218,…,139,58,128
Pico,1955,73,101,176,284,509,20,313,92,387
Lajes do Pico,382,14,19,20,47,114,…,93,…,65
Madalena,1081,49,48,101,183,263,9,134,59,235
São Roque do Pico,492,10,34,55,54,132,…,86,…,87
Faial,2675,69,268,250,399,802,32,278,110,467
Horta,2675,69,268,250,399,802,32,278,110,467
Flores,409,…,14,44,80,115,…,26,…,87
Lajes das Flores,121,…,5,8,27,26,…,5,…,34
Santa Cruz das Flores,288,…,9,36,53,89,…,21,…,53
Corvo,59,…,5,10,6,15,…,6,…,10
Corvo,59,…,5,10,6,15,…,6,…,10
R. A. Madeira,47773,1455,4827,4236,6628,14426,424,5601,2765,7386
Calheta (R.A.M.),1831,41,86,175,135,453,28,284,233,394
Câmara de Lobos,2456,94,128,198,228,700,43,528,198,339
Funchal,31297,1006,3985,2860,4659,9334,188,2925,1595,4734
Machico,2480,87,186,237,236,626,13,491,243,360
Ponta do Sol,732,15,23,39,211,196,17,125,39,67
Porto Moniz,252,4,3,7,21,161,…,8,…,44
Ribeira Brava,1483,22,139,117,113,586,3,215,62,226
Santa Cruz,5062,145,219,417,785,1450,120,836,313,775
Santana,490,11,17,41,45,235,…,29,…,88
São Vicente,536,10,20,36,53,193,7,84,20,112
Porto Santo,1154,20,21,109,142,492,5,76,42,247
