,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Portugal,1206.34,903.9,1020.02,1118.58,1218.47,1323.52,1463.86,1475.92
Continente,1209.94,905.61,1022.96,1123.33,1222.75,1330.49,1472.5,1474.61
Norte,1100.44,858.28,949.31,1028.48,1127.41,1220.02,1311.55,1365.85
Alto Minho,1013.26,823.21,901.1,965.9,1080.02,1041.01,1206.61,1244.33
Arcos de Valdevez,891.94,785.7,851.33,945.4,1139.62,1038.99,1005.34,728.91
Caminha,920.37,788.02,852.15,949.24,1062.92,1847.78,926.66,1208.23
Melgaço,880.91,818.9,857.07,931.44,947.18,722.92,811.17,1560.35
Monção,891.58,781.85,910.13,907.49,1047.3,821.47,823.49,1127.57
Paredes de Coura,954.24,798.6,880.54,842.47,952.93,1270.92,742.64,2091.17
Ponte da Barca,854.24,765.36,837.03,830.33,1512.81,803.65,813.34,1528.3
Ponte de Lima,922.29,791.91,860.47,913.15,919.93,862.5,1066.78,1121.15
Valença,973.41,868.98,899.18,1036.79,1417.45,963.84,1066.5,986.24
Viana do Castelo,1114.74,868.11,937.24,1004.4,1113.55,1071.15,1358.62,1502.03
Vila Nova de Cerveira,1086.11,811.48,1069.78,1055.45,973.16,1123.73,1129.83,1171.18
Cávado,1044.54,831.53,920.19,982.14,1071.83,1159.48,1206.27,1381.74
Amares,932.64,801.19,806.18,876.34,959.83,1509.15,1002.57,1394.25
Barcelos,948.86,802.6,870.24,898.73,1007.63,1057.25,1302.93,1085.72
Braga,1145.83,869.22,988.65,1074.43,1161.89,1230.18,1207.38,1454.81
Esposende,962.4,816.48,887.56,942.17,1110.82,1088.1,1067.28,1124.7
Terras de Bouro,888.88,715,739.98,792.42,838.13,//,//,2681.07
Vila Verde,893.12,808.53,869.19,885.52,992.04,922.03,865.6,1113.44
Ave,984.13,823.35,866.34,927.1,991.31,1024.93,1091.39,1311.3
Cabeceiras de Basto,809.27,738.24,775.73,873.18,781.85,961.39,938.11,1201.19
Fafe,858.39,769.74,816.46,803.18,960.49,1131.4,908.54,1176.93
Guimarães,971.89,845.32,871.38,943.98,969.42,1020.75,1061.6,1215.8
Mondim de Basto,799.72,731.32,762.9,838.43,940.6,710.98,//,2205.33
Póvoa de Lanhoso,855.68,758.71,799.78,871.29,801.41,963.17,906.84,1417.13
Vieira do Minho,811.92,732.58,815.11,787.76,863.83,857.8,//,1465.87
Vila Nova de Famalicão,1080.24,848.48,918.99,984.58,1084.17,1064.81,1179.21,1396.59
Vizela,858.76,803.08,791.92,838.55,903.4,871.05,767.93,1038.39
A. M. Porto,1208.13,914.77,1027.65,1133.18,1257.82,1379.77,1453.18,1382.91
Arouca,933.58,787.07,886.26,1004.6,997.58,1066.34,//,1447.45
Espinho,1008.84,862.22,891.63,1011.26,959.99,1067.52,928.45,1374.44
Gondomar,1016.64,839.43,940.05,1031.68,1089.5,1169.9,1042.49,1256.84
Maia,1250.69,980.45,1160.66,1218.91,1389.24,1388.43,1528.46,1220.59
Matosinhos,1337.68,958.44,1081.4,1225.48,1418.15,1491.26,1596.67,1517.93
Oliveira de Azeméis,1145.81,901.24,944.2,1038.3,1143.76,1288.5,1452,1276.35
Paredes,919.37,790.4,859.99,898.02,922.74,1021.22,1203.36,1467.52
Porto,1416.72,1013.76,1143.97,1285.06,1453.63,1817.27,1640.87,1540.39
Póvoa de Varzim,1033.8,838.19,871.75,1147.03,1084.01,1079.73,1453.65,1223.69
Santa Maria da Feira,1089.74,888.53,1016.6,1078.94,1135.66,1195.91,1442.41,1266.62
Santo Tirso,1008.32,841.72,954.84,945.84,993.92,1152.22,1181.33,1325.23
