,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Vila Velha de Ródão,816,…,61,73,199,289,0,…,146,27,0
Médio Tejo,43256,175,3741,5274,12215,14362,19,667,6051,649,28
Abrantes,5878,11,502,595,1670,1982,0,102,910,98,3
Alcanena,3495,…,296,488,1024,1096,0,50,487,45,…
Constância,883,…,68,117,233,294,0,19,134,…,0
Entroncamento,2898,…,108,235,832,1214,…,51,409,…,0
Ferreira do Zêzere,1513,42,210,277,371,457,…,16,124,…,…
Mação,973,7,131,152,336,272,0,10,61,4,0
Ourém,11395,67,1260,1528,3069,3440,8,165,1619,204,4
Sardoal,286,…,48,33,83,90,0,…,…,…,0
Sertã,2319,…,246,249,684,868,…,34,214,16,…
Tomar,5567,14,360,678,1501,1926,…,94,867,108,…
Torres Novas,6966,18,408,803,2078,2347,4,118,1070,95,8
Vila de Rei,565,…,58,64,158,190,…,4,82,5,0
Vila Nova da Barquinha,518,0,46,55,176,186,0,…,…,5,0
Beiras e Serra da Estrela,35097,124,3931,4561,9800,9872,13,705,5353,694,24
Almeida,817,3,80,112,314,223,0,10,72,3,0
Belmonte,1177,…,205,214,279,289,0,16,138,21,…
Celorico da Beira,944,…,208,148,313,178,0,…,78,5,0
Covilhã,7777,14,678,1023,1883,2415,4,191,1345,211,8
Figueira de Castelo Rodrigo,613,…,93,110,201,110,0,11,80,…,0
Fornos de Algodres,604,…,150,79,177,128,0,…,59,…,0
Fundão,4832,22,472,584,1310,1477,3,71,768,120,3
Gouveia,1463,13,210,225,385,394,…,21,183,26,…
Guarda,8802,25,679,910,2457,2657,0,235,1628,197,6
Manteigas,479,…,60,84,140,106,…,10,71,…,0
Mêda,496,…,83,99,135,105,…,3,63,…,0
Pinhel,1004,3,199,131,299,232,0,19,108,12,0
Sabugal,1495,…,186,146,587,343,0,16,191,20,…
Seia,3153,13,459,498,812,879,…,46,405,36,…
Trancoso,1441,…,169,198,508,336,0,48,164,…,0
A. M. Lisboa,717834,1870,37603,48935,154827,238858,380,17331,181378,31102,3200
Alcochete,3970,…,335,397,1032,1542,0,56,518,54,…
Almada,19769,67,1132,1669,5292,6793,19,337,3676,506,219
Amadora,33333,116,2305,2442,7861,9856,17,784,7804,1481,568
Barreiro,8171,26,550,723,2518,2688,…,106,1372,166,…
Cascais,35283,110,1984,2815,8875,12549,24,869,7077,837,58
Lisboa,318799,650,12060,13711,48316,105954,160,8715,105846,20291,1863
Loures,43379,145,3683,5101,12568,13794,20,852,6228,871,34
Mafra,16720,45,1547,2629,5560,5061,11,155,1506,150,12
Moita,4271,…,323,524,1381,1445,…,60,465,53,3
Montijo,8797,75,862,1114,2566,2875,…,108,1017,141,…
Odivelas,15133,57,1273,1494,4715,5198,5,203,1851,212,11
Oeiras,73860,107,2903,3267,12395,22916,30,2616,25621,3558,305
Palmela,20938,30,1036,1779,7688,7412,12,379,2260,297,8
Seixal,15947,45,1127,1613,5113,5649,11,243,1860,236,18
Sesimbra,4810,38,686,667,1554,1332,…,46,429,47,…
Setúbal,19307,98,1181,1866,5996,6633,15,484,2656,262,12
Sintra,51915,171,3125,4918,14786,18602,37,942,7699,1384,57
Vila Franca de Xira,23432,54,1491,2206,6611,8559,10,376,3493,556,15
Alentejo,131861,836,14223,16556,37423,41407,66,1733,16605,1853,106
Alentejo Litoral,21400,160,2275,2524,5922,6977,8,236,2573,270,21
Alcácer do Sal,1892,29,296,285,538,489,0,24,199,22,6
Grândola,2165,19,207,304,591,793,…,17,206,20,…
Odemira,7869,72,1006,892,2352,2407,…,56,629,62,…
Santiago do Cacém,4702,24,438,610,1237,1471,…,45,798,65,…
Sines,4772,16,328,433,1204,1817,0,94,741,101,3
Baixo Alentejo,19773,227,2257,2420,5549,6061,9,266,2628,247,22
Aljustrel,1724,…,183,219,563,499,0,20,200,24,…
Almodôvar,837,11,101,68,242,314,0,3,88,5,0
Alvito,218,0,…,37,63,69,0,…,29,0,0
Barrancos,214,…,…,46,67,65,…,…,15,…,0
Beja,6851,131,636,656,1720,2201,…,110,1254,117,…
Castro Verde,2787,5,267,338,820,912,0,60,353,27,3
Cuba,352,5,63,29,95,107,0,…,40,8,…
Ferreira do Alentejo,1241,15,235,220,304,280,0,8,121,15,3
Mértola,787,…,142,116,199,255,…,5,59,4,0
Moura,1657,22,177,203,485,536,0,28,179,…,…
Ourique,741,3,113,143,245,166,0,5,59,7,0
Serpa,1688,…,204,241,549,484,…,16,158,14,0
Vidigueira,676,11,101,104,197,173,0,4,73,13,0
Lezíria do Tejo,45000,224,4543,5671,13242,14270,19,663,5608,581,30
Almeirim,3143,…,465,350,878,949,…,42,413,27,0
Alpiarça,924,4,121,103,277,288,0,15,109,6,0
Azambuja,7662,21,418,706,1942,3578,0,136,750,93,10
Benavente,6026,35,606,950,1939,1711,…,82,574,92,…
Cartaxo,2675,…,208,365,884,785,…,47,334,39,0
Chamusca,1511,…,229,221,501,319,…,28,189,16,…
Coruche,2659,…,398,412,838,648,0,28,269,35,…
Golegã,793,…,77,85,242,240,…,19,100,23,0
Rio Maior,4507,40,447,654,1378,1319,3,43,502,53,3
Salvaterra de Magos,2967,…,386,523,889,822,0,27,283,21,…
Santarém,12133,65,1188,1302,3474,3611,7,196,2085,176,4
Alto Alentejo,16444,76,2062,2422,4736,4382,…,278,1889,218,…
Alter do Chão,380,6,66,70,117,78,…,…,36,3,0
Arronches,418,…,60,84,114,86,…,…,…,…,…
Avis,808,…,133,128,260,199,…,…,73,…,…
Campo Maior,2257,…,212,287,582,725,…,70,328,35,…
Castelo de Vide,472,…,60,79,160,114,0,7,47,…,…
Crato,376,…,57,64,114,101,0,5,29,…,0
Elvas,3179,…,327,381,935,797,…,34,302,36,…
Fronteira,356,…,61,64,117,68,0,5,…,…,0
Gavião,290,…,58,45,99,57,0,4,22,…,0
Marvão,334,0,43,59,97,79,0,…,51,…,0
Monforte,445,…,71,61,107,118,…,7,70,6,…
Nisa,582,4,100,124,182,116,0,10,43,3,0
Ponte de Sor,2310,11,359,371,628,634,…,34,232,35,…
Portalegre,3597,…,357,518,990,1049,…,82,507,80,…
Sousel,640,…,98,87,234,161,…,7,44,…,0
Alentejo Central,29244,149,3086,3519,7974,9717,…,290,3907,537,…
Alandroal,589,…,128,117,167,114,…,4,49,4,…
Arraiolos,1065,…,177,174,276,289,…,7,97,27,…
Borba,885,4,82,141,277,284,0,6,87,4,0
Estremoz,2515,9,235,319,711,923,…,41,251,20,…
Évora,13093,35,886,1127,3242,5021,…,124,2262,373,…
Montemor-o-Novo,2824,23,405,427,761,828,…,35,314,25,…
Mora,686,6,165,102,194,157,0,3,54,3,0
Mourão,305,5,67,29,80,76,0,4,38,5,0
Portel,624,3,88,100,187,169,0,6,66,4,0
Redondo,889,…,129,139,258,250,…,9,86,11,…
Reguengos de Monsaraz,1727,10,305,229,520,439,0,16,190,17,0
Vendas Novas,1989,15,152,279,683,603,0,20,209,22,3
Viana do Alentejo,654,4,79,94,223,172,0,5,69,7,0
Vila Viçosa,1399,15,188,242,395,392,…,10,135,15,…
Algarve,114430,654,9641,11922,36039,38716,38,1615,13568,1353,104
Albufeira,18007,92,1413,1864,5971,6575,4,262,1512,183,3
Alcoutim,309,0,58,…,99,80,0,…,39,…,0
Aljezur,972,…,85,171,321,283,0,11,80,…,0
Castro Marim,1047,…,108,146,352,328,0,14,87,5,…
Faro,17477,136,1247,1352,4417,5855,8,317,3635,385,45
Lagoa,6891,34,635,677,2265,2339,0,118,692,67,7
Lagos,7833,36,599,1014,2642,2570,…,96,754,75,…
Loulé,22923,107,1902,2124,7332,8316,7,295,2458,225,15
Monchique,683,5,101,98,218,163,0,13,75,6,0
Olhão,5882,38,672,693,1787,1823,…,74,660,81,…
Portimão,14974,57,1088,1560,4817,4931,3,239,1987,176,12
São Brás de Alportel,1513,…,109,191,498,447,0,16,230,17,…
Silves,5618,52,626,…,1952,1609,…,38,515,51,3
Tavira,5194,70,556,673,1618,1599,5,67,532,42,3
Vila do Bispo,1203,4,89,187,426,380,0,…,83,16,…
Vila Real de Santo António,3904,…,353,490,1324,1418,…,44,229,17,0
R. A. Açores,41447,231,4030,6745,12736,11437,158,255,5204,594,57
Santa Maria,854,…,81,112,300,253,…,8,92,…,0
Vila do Porto,854,…,81,112,300,253,…,8,92,…,0
São Miguel,24992,151,2354,4315,7429,6827,85,147,3219,438,27
Lagoa (R.A.A.),1901,24,216,408,599,441,7,4,173,26,3
Nordeste,402,5,41,97,146,76,…,0,31,…,0
Ponta Delgada,16014,53,1113,2338,4647,4836,56,120,2485,347,19
Povoação,837,6,90,139,328,217,…,…,49,…,0
Ribeira Grande,4783,44,702,1110,1371,1067,…,…,399,52,…
Vila Franca do Campo,1055,19,192,223,338,190,3,3,82,…,…
Terceira,8788,57,912,1309,2630,2445,50,62,1214,99,10
Angra do Heroísmo,6092,31,592,949,1806,1588,21,49,968,81,7
Vila da Praia da Vitória,2696,26,320,360,824,857,29,13,246,18,3
Graciosa,481,0,62,79,166,127,…,…,…,…,0
Santa Cruz da Graciosa,481,0,62,79,166,127,…,…,…,…,0
São Jorge,1234,7,164,189,438,308,…,…,107,10,0
Calheta (R.A.A.),424,…,46,57,153,116,…,…,40,5,0
Velas,810,…,118,132,285,192,…,…,67,5,0
Pico,1955,…,181,285,740,546,…,7,163,14,8
Lajes do Pico,382,…,39,64,141,97,…,…,30,…,0
Madalena,1081,…,104,141,424,300,…,5,91,6,5
São Roque do Pico,492,0,38,80,175,149,0,…,42,…,3
Faial,2675,7,220,376,857,823,12,19,325,24,12
Horta,2675,7,220,376,857,823,12,19,325,24,12
Flores,409,0,52,71,153,92,0,…,…,4,0
Lajes das Flores,121,0,…,24,43,25,0,0,…,0,0
Santa Cruz das Flores,288,0,…,47,110,67,0,…,…,4,0
Corvo,59,…,4,9,23,16,0,0,…,0,0
Corvo,59,…,4,9,23,16,0,0,…,0,0
R. A. Madeira,47773,249,5013,6475,12967,15383,32,452,6417,686,43
Calheta (R.A.M.),1831,7,317,288,580,470,…,9,152,…,0
Câmara de Lobos,2456,25,335,423,793,632,…,…,202,26,0
Funchal,31297,174,3020,3880,7860,10320,…,343,5042,552,…
Machico,2480,…,295,368,768,718,…,29,269,23,…
Ponta do Sol,732,…,111,116,216,230,0,3,…,…,…
Porto Moniz,252,0,33,62,74,74,0,…,…,0,0
Ribeira Brava,1483,5,171,299,422,406,0,…,143,30,…
Santa Cruz,5062,23,454,699,1570,1802,…,37,429,40,…
Santana,490,4,61,81,152,152,0,4,36,0,0
São Vicente,536,…,84,84,160,166,0,…,33,…,0
Porto Santo,1154,…,132,175,372,413,…,…,54,…,0
