,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Portugal,1206.34,793.6,873.73,915.21,950.09,1115.6,1071.99,1859.74,1876.95,1905.61,2571.33
Continente,1209.94,789.07,870.35,913.01,950.7,1117.38,1073.45,1860.01,1879.21,1903.68,2580.85
Norte,1100.44,777.28,855.04,878.97,907.42,1040.81,1000.5,1708.93,1695.98,1742.88,2511.93
Alto Minho,1013.26,799.46,849.9,852.19,879.46,956.3,866.15,1503.16,1578.13,1589.18,1735.54
Arcos de Valdevez,891.94,701.94,744.01,741.58,776.81,854.08,…,1458.21,1399.93,1664.3,…
Caminha,920.37,775.66,922.71,916.51,853.02,836.61,…,1540.3,1290.83,1120.63,1183.44
Melgaço,880.91,//,856.99,746.53,790.45,822.65,…,1268.03,1312.82,1323.16,//
Monção,891.58,801.87,819.74,827.06,835.67,870.64,839.13,1415.03,1181.25,1059.51,//
Paredes de Coura,954.24,835.08,768.86,816.15,831.48,943.11,…,1523.15,1425.45,1822.98,//
Ponte da Barca,854.24,703.95,807.96,780.05,786.12,841.54,//,1306.57,1196.23,1005.11,//
Ponte de Lima,922.29,817.83,806.19,801.78,840.23,920.44,…,1354.82,1364.06,1316.08,1877.89
Valença,973.41,821.52,875.4,843.4,869.82,978.72,1156.66,1437.59,1437.21,1249.51,1385.04
Viana do Castelo,1114.74,810.47,915.86,897.36,935.86,1011,852.46,1575.74,1718.77,1718.81,2067.05
Vila Nova de Cerveira,1086.11,…,865.31,920.73,923.94,1067.47,750.96,1518.1,1847.83,1716.29,1693.24
Cávado,1044.54,758.13,849.95,915.77,893.39,972.91,931.98,1522.49,1530.39,1634.88,2124.22
Amares,932.64,677.38,855.7,905.06,853.75,938.94,1060.71,1244.18,1270.55,1135.72,2013.7
Barcelos,948.86,762.17,828.53,847.44,881.62,937.86,879.71,1481.45,1435.5,1346.51,1721.09
Braga,1145.83,768.36,878.24,1047.17,933.73,1007,980.23,1562.69,1591.91,1729.97,2188.84
Esposende,962.4,776.94,848.79,814.8,838.17,952.41,…,1506.7,1497.69,1448.45,1275.62
Terras de Bouro,888.88,719.62,749.28,701.9,759.41,923.12,//,2361.96,1316.17,1458.29,//
Vila Verde,893.12,722.01,798.19,819.41,812.45,882.66,792.99,1211.13,1276.86,1226.48,1070.51
Ave,984.13,771.03,815.27,831.96,878.78,1008.76,1058.99,1607.52,1524.36,1498.32,2196.24
Cabeceiras de Basto,809.27,665.6,761.38,743.59,779.76,797.18,//,1130.85,1064.12,1109.13,…
Fafe,858.39,714.87,776.71,778.86,798.55,880.88,…,1325.96,1232.4,1372.87,1610.12
Guimarães,971.89,769.33,809.22,833.34,872.78,974.43,891.7,1613.66,1488.97,1442.65,2333.24
Mondim de Basto,799.72,673.14,726.74,719.33,746.25,821.47,//,1106.49,1064.8,1952.18,//
Póvoa de Lanhoso,855.68,824.31,763.28,784.24,789.17,851.76,…,1249.08,1245.79,1149.33,…
Vieira do Minho,811.92,…,754.12,743.52,750.3,845.74,709.71,899.01,1172.01,1066.27,…
Vila Nova de Famalicão,1080.24,791.84,860.84,866.73,948.24,1111.92,1275.05,1755.38,1697.95,1632.11,2089.48
Vizela,858.76,714.07,772.16,802.02,794.89,913.05,…,1144,1316.36,1133.07,1836.95
A. M. Porto,1208.13,785.19,896.67,917.29,951.27,1111.22,1041.81,1815.68,1813.88,1821.96,2664.93
