,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Portugal,20.2,29.7,1206.3,23,10.2,x,9.2,17.9,4.9,31.8,38.4
Continente,20.2,29.9,1209.9,23.3,10.3,ә,9.3,17.8,5,32,38.5
Norte,21.2,24.9,1100.4,20.2,9.4,ә,8.9,16.8,4.5,29.3,34.9
Alto Minho,25,27.6,1013.3,16.3,10.1,ә,8,15.5,2.8,24.7,29.4
Arcos de Valdevez,23.6,35.3,891.9,13.7,8.1,0.7,7.7,15,1.5,25.6,31.5
Caminha,38.8,9.9,920.4,13.8,10.4,-0.5,7.5,20.9,11,17.2,29.6
Melgaço,37.2,9.7,880.9,15.1,6,-0.7,7.1,19.1,2.1,20.7,26.3
Monção,35.2,8.3,891.6,13.1,7.1,1.9,5.9,12.2,4.4,13.8,18.9
Paredes de Coura,29.2,3.4,954.2,14.2,6.2,-1.2,5.8,22.2,8.2,23.6,30.8
Ponte da Barca,41.7,6.2,854.2,12.1,9.6,-0.6,3.2,22.8,2.4,15.1,21.5
Ponte de Lima,29.4,26.7,922.3,12.3,9.7,1.1,5.6,13.7,3.8,18.7,22
Valença,30.3,36.5,973.4,11.5,15,-2.2,10.9,12.3,14.1,17.5,24.8
Viana do Castelo,20.3,28.8,1114.7,20.8,10.5,-0.7,8.1,20.4,2.4,27.5,33.6
Vila Nova de Cerveira,11.9,50.4,1086.1,13.4,10.1,4.5,9.8,10.1,6.7,26.7,34.5
Cávado,22.1,20.1,1044.5,19.4,10.4,ә,8.2,17.1,4.2,24.5,30.6
Amares,32.6,5.5,932.6,9.6,8.3,1.4,7.7,24.2,4.1,14.9,22
Barcelos,22.8,11.9,948.9,12.2,7.8,-0.4,7,13.6,4.2,19.3,26.7
Braga,18.6,28.1,1145.8,25.9,12.3,0.7,8.4,17.3,1.6,25.5,32.4
Esposende,26.6,17,962.4,15.1,10.9,-1.3,7.4,12,2.9,23.9,29.2
Terras de Bouro,33.1,6.3,888.9,13.6,6.1,-0.5,16.2,52.4,25.4,26.1,29.5
Vila Verde,33.3,10.5,893.1,13.5,8.7,1.5,4.9,10.3,7.1,17,20.2
Ave,20.6,19.8,984.1,13.1,7.9,-0.4,9.3,15.4,1.7,23.4,28.7
Cabeceiras de Basto,29.5,4.1,809.3,11.6,6.1,-1.2,3.2,12,6.5,12,16.1
Fafe,29,7.2,858.4,10.3,6.5,-0.5,3.6,12.7,4.2,16.8,22.7
Guimarães,19.5,17.9,971.9,13.8,8,-0.3,5.9,11.4,3,24,30.5
Mondim de Basto,52.3,1.5,799.7,10.1,7.8,-0.9,1,23.2,5.4,17.4,18.6
Póvoa de Lanhoso,29,10,855.7,11.4,6.4,-0.8,1.8,14.7,3,16.4,21.3
Vieira do Minho,41,4.6,811.9,9.4,9.4,-0.1,1.7,18.6,6.4,14.4,17
Vila Nova de Famalicão,17.5,28.9,1080.2,14.2,8.3,-1.8,14.4,17.4,3.2,24.9,30.2
Vizela,20.2,12.9,858.8,7.8,7.1,2.4,6.4,8.2,2.9,16.4,22.7
A. M. Porto,18.8,30.8,1208.1,24.7,9.7,ә,9.5,15.8,3,30.8,38
Arouca,28.3,1.7,933.6,12.3,6.7,-0.2,6.9,13.1,2.5,16.4,21.5
Espinho,29.6,16,1008.8,17.9,6.8,-1.3,7.6,17.3,0.7,25.1,39.5
Gondomar,27.3,16.5,1016.6,18,8.1,0.8,4.8,14.2,3.4,21.6,26.9
Maia,12.6,42.1,1250.7,24.7,11.7,1.3,10.9,11.9,1.8,32.5,44
Matosinhos,15.9,36.1,1337.7,31.7,10.4,-4,12,16.6,5.6,31.4,38.7
Oliveira de Azeméis,14.7,30.4,1145.8,13.1,7.8,-0.4,14.8,15.2,6.9,26,34.6
Paredes,25.7,7.1,919.4,12.9,9,-0.9,4.6,14.9,5.9,23.7,25.7
Porto,16.9,40.5,1416.7,39.8,10.5,1,11.7,18.1,1.7,30,39.1
Póvoa de Varzim,28.6,15.1,1033.8,15.2,8.4,ә,10.6,17.3,19,20.2,32.4
Santa Maria da Feira,23.7,18.3,1089.7,14.8,7.9,ә,9.3,13.8,2.8,25.4,35.2
Santo Tirso,21.1,12.4,1008.3,12.9,7.1,-1.6,9,13,1.7,25.2,28.6
São João da Madeira,13.8,35.7,1074.2,16.2,11.6,1.2,11.9,8.2,2.3,27.5,36.5
Trofa,18.4,35.4,1113.1,15.5,12.5,-0.5,7.8,20.6,7.5,37,40
Vale de Cambra,16.2,34.1,1136.3,17.2,7.7,-0.6,13.1,12.1,6.5,29.1,38
Valongo,24.1,19.8,1087.7,15.6,9.6,1.1,8.3,16.8,2,22.9,29.7
Vila do Conde,21.6,21.9,1155,17.6,8.7,1.4,9.8,16.5,0.6,26.7,33.8
Vila Nova de Gaia,18.6,33.1,1157.3,23.5,9.5,2.3,7.3,13.8,1.2,28.3,36.2
Alto Tâmega,32.3,14.5,954.2,14.7,6.5,0.5,9.4,20,5,20,27.4
Boticas,24.5,22.8,876,10.9,4.7,1.7,4.4,14.9,3.9,31,30.3
Chaves,31.1,20.4,958.2,15.1,7,1.2,9.1,20.7,0.6,20.3,30.4
Montalegre,42.1,5.4,874.5,15.2,6.3,1.3,6.1,32.3,3.8,14.8,18.9
Ribeira de Pena,14.4,3.2,1233.3,18.3,7.8,ә,18.2,33.1,22.2,25.1,31.1
Valpaços,40.9,2.7,872.1,14.2,5.7,ә,3.3,23.6,3.3,15.5,22.2
Vila Pouca de Aguiar,39.9,12.4,906.6,13,5.2,-2.4,6.8,22.3,5.2,22.1,26.3
Tâmega e Sousa,23.7,10.6,898.1,9.7,9.6,ә,6.2,13.9,4.8,19.3,23.2
Amarante,31.2,4.3,904.9,13.4,7.8,ә,3.6,14.7,4.9,20.5,22.9
Baião,31.4,5.9,866.5,10.5,14.2,ә,7,16.7,1.3,13.1,14.5
Castelo de Paiva,25,14,853,8.2,6,-1.6,4.8,8.1,3.4,15.7,19.9
Celorico de Basto,33.6,3.1,794.4,9.6,6,-0.2,3.8,11.3,3.2,15.3,16.7
Cinfães,18.9,1,919.2,5.1,27.8,8.4,8.7,14.6,7,9.1,13.5
Felgueiras,18.8,7.9,892.8,7,8.5,-0.4,8.7,11.9,4,16.2,23.2
Lousada,22.4,11.6,860.6,7.2,10.2,-0.1,8.8,5.8,5.3,14.6,18.5
Marco de Canaveses,24.1,3.2,886.2,8.3,10.8,-1.4,7.6,12.2,1.6,12.3,17
Paços de Ferreira,24.5,17.6,886.7,8.7,7.7,0.9,6,12.4,6.8,18.9,22.7
Penafiel,22.3,17.9,975.4,15.2,9.4,1.1,3.1,26.2,8.8,32.1,35.7
Resende,39.8,2.5,803.2,12.8,4.7,-4.2,1.6,23.8,4,14.6,18.7
Douro,32,15.5,971.1,19.8,6.6,ә,4.9,23.5,3.6,25.9,30.7
Alijó,37,7.6,921.8,15.7,5,-1,8.2,17.5,9.6,23.2,27.9
Armamar,40.4,ә,876.6,13.6,5.2,ә,4.6,14.8,3.7,21.3,25.4
Carrazeda de Ansiães,42.5,7.3,860.9,14.5,6.2,-0.2,5.3,17.4,4.1,21.2,24.3
Freixo de Espada à Cinta,37.5,7.7,895.3,14.4,4,1,ә,27.8,5,27.9,28.5
Lamego,34.8,11.9,929.8,16.9,6.2,-0.1,6.5,19,4.9,21.7,28.7
Mesão Frio,34.7,3,886,7.6,5.7,6.4,16.6,24.9,15.9,12.4,23.8
Moimenta da Beira,40,1.3,836,15.3,4.7,-0.4,6.8,14.4,2.3,14.3,19.7
Murça,37.9,8.1,894.5,17.7,4.7,-3.2,0.6,13.1,7.4,21.3,24.2
Penedono,53.4,1.4,800.5,13.4,2.9,-1.4,2.7,23.7,5.7,14,15.2
Peso da Régua,34.5,14.5,982.1,19.1,4.8,1.5,11.1,32.1,12.5,21.7,26.8
Sabrosa,30,4.8,946.1,19.7,6,1.8,3.7,18.3,7.7,25.8,27.7
Santa Marta de Penaguião,34.6,1.2,868.7,17.2,2,-5.4,5.5,22.8,6.9,21.1,23.8
São João da Pesqueira,39.5,5.6,965.4,16,6.3,-0.4,7.8,18.4,1.3,25.6,28.6
Sernancelhe,36.6,3.3,806.4,11.3,7.7,-0.5,2.3,19.8,3.9,14.9,16.8
Tabuaço,29.2,5.4,966.3,17.4,5.8,-3.6,5.6,25.1,5.7,23.4,28.9
Tarouca,25.1,1,828.4,10.8,12.5,2.6,3,18.2,4.2,19.1,26.2
Torre de Moncorvo,45.2,6.9,859.5,15.5,5.1,-0.5,4.7,19.3,2.9,16.9,20.2
Vila Nova de Foz Côa,31.4,8.4,947.3,17.9,5.8,-1.4,10.9,17.7,11.6,23.7,25.3
