,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Portugal,1206.34,1307.73,1084.69,943.74,977.61,857.94,1143.5,1208.32,1000.08,1242.41,1387.21,1110.93
Continente,1209.94,1312.43,1086.97,945.56,981.28,857.07,1144,1210.57,999.26,1248.07,1394.35,1114.94
Norte,1100.44,1188.45,991.72,969.12,1028.32,824.83,1046.6,1121.39,910.19,1143.13,1260.28,1034.98
Alto Minho,1013.26,1091.25,928.98,944.57,1017.33,770.27,1043.75,1118.54,925.34,989.5,1062.29,933.82
Arcos de Valdevez,891.94,967.55,828.92,783.55,796.21,750.98,888.12,992.3,785.92,900.84,931.05,881.76
Caminha,920.37,988.44,850.96,1300.95,1443.34,904.31,970.84,988.46,879.06,877.6,923.44,847.16
Melgaço,880.91,954.3,828.12,757.29,796.61,600,871.33,887.81,839.54,888.28,1027.42,827.41
Monção,891.58,943.19,837.57,821.92,853.84,743.71,944.23,963.7,893.52,865.32,928.76,825.41
Paredes de Coura,954.24,1011.14,900.43,875.57,878.73,845.02,1042.76,1080.27,987.18,884.95,937.59,854.66
Ponte da Barca,854.24,880.22,825.69,900.12,925.88,758.47,882.95,901.7,738.24,840.5,853.98,832.73
Ponte de Lima,922.29,971.4,867.44,728.68,741.65,709,905.73,933.15,872.64,950.72,1033.79,867.26
Valença,973.41,1075.84,862.78,730.8,734.23,727.48,1179.37,1271.11,1002,889.75,962.84,827.93
Viana do Castelo,1114.74,1198.24,1017.78,1108.63,1216.56,811.38,1145.5,1222.88,985.31,1091.35,1167.98,1033.86
Vila Nova de Cerveira,1086.11,1187,974.94,834.73,846.64,785.13,1133.38,1255.95,1010.08,981.34,1057.4,880.63
Cávado,1044.54,1121.57,949.31,785.18,810.65,739.16,1009.41,1072.88,901.66,1083.17,1191.35,984.68
Amares,932.64,988.02,838.62,814.48,851.33,773.34,903.79,912.64,871.67,963.08,1082,832.59
Barcelos,948.86,1014.96,881.51,793.39,829.88,730.05,925.35,998.19,846.83,1003.42,1062.22,951.1
Braga,1145.83,1228.56,1033.61,761.81,772.74,737.22,1142.98,1186,1036.14,1149,1269.12,1033.38
Esposende,962.4,1023.66,878.65,756.17,796.57,693.33,977.31,1019.21,882.52,948.24,1044.08,879.69
Terras de Bouro,888.88,1045.57,757.03,690.72,686.1,…,1359.26,1437.32,944.75,781.24,842.16,746.33
Vila Verde,893.12,932.2,844.46,782.56,789.03,763.52,833.97,869.58,760.55,958.67,1044.97,895.14
Ave,984.13,1067.46,884.66,757.75,765.3,737.84,983.26,1081.11,843.65,988.74,1047.52,936.02
Cabeceiras de Basto,809.27,832.58,780.59,723.34,723.1,724.89,745.98,781.56,690.04,851.88,877.86,825.53
Fafe,858.39,889.37,827.87,699.82,706.09,683.34,829.69,872.03,785.36,900.64,918.38,884.75
Guimarães,971.89,1024.24,908.56,758.34,775.64,718.39,953.21,1014.06,864.74,1005.05,1049.97,964.81
Mondim de Basto,799.72,793.82,809.97,700.58,694.22,743.04,747.73,737.9,796.55,830.43,845.76,813.38
Póvoa de Lanhoso,855.68,871.86,841.44,728.45,733.66,711.06,834.39,840.6,827.89,878.78,913.61,853.5
Vieira do Minho,811.92,824.81,796.96,762.15,776.81,696.18,725.37,730.25,702.9,843.58,890.54,808.16
Vila Nova de Famalicão,1080.24,1215.3,901.46,790.9,796.76,778.57,1103.15,1253.37,857.92,1044.84,1139.19,957.06
Vizela,858.76,917.23,806.87,707.34,707.85,…,843.3,911.73,780.18,896.2,933.45,866.34
A. M. Porto,1208.13,1309.97,1078.53,1223.85,1329.69,931.69,1157.74,1232.1,1001.17,1234.05,1364.68,1105
Arouca,933.58,984.24,850.58,879.84,897.08,723.12,952.66,1002.56,835.86,910.73,964.13,866.97
Espinho,1008.84,1087.23,933.67,901.75,935.67,…,999.19,1033.18,937.88,1013.11,1122.72,932.64
Gondomar,1016.64,1059.15,960.66,844.25,809.77,923.81,970.79,998.72,892.72,1041.01,1108.39,978.57
Maia,1250.69,1363.37,1084.29,739.26,738.42,739.91,1266.34,1323.83,1129.32,1245.27,1385.37,1072.89
Matosinhos,1337.68,1482.27,1159.45,1038.46,1101.4,845.73,1479.99,1538.7,1282.19,1300.61,1460.74,1145.16
Oliveira de Azeméis,1145.81,1277.45,927.26,780.32,828.35,737.34,1193,1319.43,938.24,1021.62,1131.11,909.9
Paredes,919.37,952.47,866.36,782.38,852.93,748.9,874.92,901.55,812.73,980.88,1045.07,913.48
Porto,1416.72,1582.03,1251.4,1451.67,1576.16,1098.94,1493.22,1577.35,1286.63,1409.47,1582.7,1249.67
Póvoa de Varzim,1033.8,1138,917.93,1769.59,1956.18,1100.77,919.43,992.7,797.82,1020.14,1100.64,955.16
Santa Maria da Feira,1089.74,1174.1,967.01,919.94,874.65,1037.68,1115.51,1191.12,985.49,1055.36,1148.61,946.77
Santo Tirso,1008.32,1091.79,909.28,857.08,857.45,855.79,1017.3,1103.94,887.61,994.8,1069.29,937.99
São João da Madeira,1074.25,1203.53,948.18,712.6,…,…,1097.28,1227.93,951.51,1050.46,1174.7,945.24
Trofa,1113.09,1181.33,1003.2,711.45,723,686.5,1184.8,1255.14,1063.49,1030.73,1092.58,939.42
Vale de Cambra,1136.3,1256.35,950.64,699.76,713.19,…,1178.73,1269.84,986.26,1014.43,1195.43,895.59
Valongo,1087.73,1160.79,977.22,809.91,832.32,687.92,1101.7,1143.18,997.84,1079.76,1182.36,969.1
Vila do Conde,1155.04,1249.58,1019.62,1125,1178.92,932.93,1160.11,1248.93,987.71,1153.51,1259.44,1041.02
Vila Nova de Gaia,1157.34,1231.04,1060.43,1418.85,1465.62,1331.16,1150.14,1194.36,1035.97,1159.94,1256.54,1066.4
Alto Tâmega,954.21,1034.28,854.73,842.87,829.69,888.82,1017.32,1042.69,900.58,922.07,1036.33,846.73
Boticas,875.98,916.86,839.44,638.95,642.85,…,896.84,922.57,855.47,861.84,929.38,831.29
Chaves,958.22,1038.15,862.59,938.86,911.07,1014.65,950.12,967.11,867.96,961.99,1100.79,860.48
Montalegre,874.49,923.75,816.53,795.06,784.18,854.9,921.05,926.63,889.69,855.19,934.28,807.43
Ribeira de Pena,1233.31,1395.02,921.55,875.16,910.95,…,1477.73,1513.55,1194.36,928.59,1049.78,862
Valpaços,872.12,900.6,843.48,727.08,735.93,685.81,912.61,904.54,955.25,858.4,903.28,833.1
Vila Pouca de Aguiar,906.61,955.09,828.5,794.5,790.66,806.02,954.54,976.66,842.2,870.12,937.61,825.71
Tâmega e Sousa,898.09,946.74,835.28,758.81,768.86,729.04,867.08,920.7,779.42,952.77,1011.09,902.09
Amarante,904.92,929.96,863.53,715.59,721.33,700.36,870.63,889.9,800.52,950,1024.07,893.53
Baião,866.54,914.48,790,804.76,873.76,714.21,868.06,910.2,733.28,869.49,931.1,827.76
Castelo de Paiva,853.04,896.35,814.73,734.44,737.86,716.99,836.53,880.17,788.21,882.47,948.43,843.48
Celorico de Basto,794.35,822.35,761.4,699.95,703.7,665.4,778.27,820.18,710.67,820.91,841.51,806.04
Cinfães,919.2,965.32,781.25,708.57,701.9,721.91,963.99,977.59,804.76,830.98,915.95,775.65
Felgueiras,892.76,965.96,810.77,781.65,769.53,822.87,873.19,948.12,786.77,952.3,1028.78,875.43
