,"Teaching staff, Pre-primary education, Total (N.º)","Teaching staff, Pre-primary education, Public (N.º)","Teaching staff, Pre-primary education, Private (N.º)","Teaching staff, Primary education 1st cycle, Total (N.º)","Teaching staff, Primary education 1st cycle, Public (N.º)","Teaching staff, Primary education 1st cycle, Private (N.º)","Teaching staff, Primary education 2nd cycle, Total (N.º)","Teaching staff, Primary education 2nd cycle, Public (N.º)","Teaching staff, Primary education 2nd cycle, Private (N.º)"
Anadia,40,19,21,69,62,7,52,43,9
Aveiro,137,58,79,209,196,13,189,180,9
Estarreja,41,23,18,64,61,3,54,54,0
Ílhavo,64,41,23,96,96,0,82,82,0
Murtosa,14,10,4,29,29,0,34,34,0
Oliveira do Bairro,40,22,18,62,62,0,41,41,0
Ovar,78,47,31,131,126,5,105,105,0
Sever do Vouga,16,14,2,22,22,0,16,16,0
Vagos,31,23,8,56,56,0,36,24,12
Região de Coimbra,650,362,288,1086,989,97,847,772,75
Arganil,16,14,2,27,27,0,17,17,0
Cantanhede,52,33,19,94,88,6,74,61,13
Coimbra,218,70,148,359,285,74,272,221,51
Condeixa-a-Nova,17,13,4,34,34,0,30,30,0
Figueira da Foz,90,48,42,152,136,16,112,109,3
Góis,6,4,2,9,9,0,9,9,0
Lousã,22,18,4,40,40,0,32,32,0
Mealhada,25,16,9,49,49,0,35,35,0
Mira,14,11,3,29,29,0,12,12,0
Miranda do Corvo,20,15,5,32,32,0,30,30,0
Montemor-o-Velho,32,19,13,52,52,0,43,43,0
Mortágua,13,9,4,15,15,0,18,18,0
Oliveira do Hospital,34,24,10,62,61,1,46,46,0
Pampilhosa da Serra,6,3,3,13,13,0,13,13,0
Penacova,15,15,0,21,21,0,26,26,0
Penela,7,7,0,12,12,0,9,9,0
Soure,27,15,12,41,41,0,27,19,8
Tábua,23,20,3,25,25,0,24,24,0
Vila Nova de Poiares,13,8,5,20,20,0,18,18,0
Região de Leiria,441,297,144,780,729,51,545,479,66
Alvaiázere,6,6,0,13,13,0,14,14,0
Ansião,16,10,6,28,28,0,21,21,0
Batalha,25,17,8,35,35,0,23,23,0
Castanheira de Pêra,3,3,0,8,8,0,8,8,0
Figueiró dos Vinhos,8,6,2,12,12,0,8,8,0
Leiria,206,127,79,374,335,39,259,222,37
Marinha Grande,62,44,18,105,96,9,78,72,6
Pedrógão Grande,3,2,1,8,8,0,10,10,0
Pombal,79,59,20,129,127,2,84,68,16
Porto de Mós,33,23,10,68,67,1,40,33,7
Viseu Dão Lafões,449,351,98,804,775,29,651,633,18
Aguiar da Beira,8,8,0,14,14,0,10,10,0
Carregal do Sal,13,13,0,24,24,0,24,24,0
Castro Daire,22,20,2,38,38,0,32,32,0
Mangualde,27,20,7,50,50,0,37,37,0
Nelas,33,22,11,45,43,2,29,29,0
Oliveira de Frades,15,12,3,25,25,0,29,29,0
Penalva do Castelo,9,9,0,24,24,0,22,22,0
Santa Comba Dão,10,8,2,26,26,0,20,20,0
São Pedro do Sul,26,23,3,46,46,0,36,36,0
Sátão,20,19,1,36,36,0,26,26,0
Tondela,36,31,5,56,56,0,59,59,0
Vila Nova de Paiva,10,10,0,14,14,0,14,14,0
Viseu,204,142,62,379,352,27,281,263,18
Vouzela,16,14,2,27,27,0,32,32,0
Beira Baixa,120,70,50,222,208,14,179,179,0
Castelo Branco,85,47,38,162,148,14,122,122,0
Idanha-a-Nova,15,11,4,20,20,0,12,12,0
Oleiros,5,3,2,10,10,0,10,10,0
Penamacor,4,2,2,6,6,0,12,12,0
Proença-a-Nova,7,3,4,18,18,0,16,16,0
Vila Velha de Ródão,4,4,0,6,6,0,7,7,0
Médio Tejo,361,253,108,635,598,37,443,405,38
Abrantes,44,29,15,84,83,1,66,65,1
Alcanena,21,16,5,32,32,0,24,24,0
Constância,10,10,0,24,24,0,11,11,0
Entroncamento,43,25,18,64,50,14,54,47,7
Ferreira do Zêzere,11,9,2,17,17,0,17,17,0
Mação,8,8,0,13,13,0,11,11,0
Ourém,71,54,17,119,115,4,82,60,22
Sardoal,4,4,0,9,9,0,12,12,0
Sertã,26,18,8,34,34,0,25,23,2
Tomar,50,36,14,103,94,9,36,35,1
Torres Novas,54,28,26,111,102,9,76,71,5
Vila de Rei,6,5,1,8,8,0,9,9,0
Vila Nova da Barquinha,13,11,2,17,17,0,20,20,0
Beiras e Serra da Estrela,369,236,133,602,590,12,449,428,21
Almeida,8,8,0,13,13,0,11,11,0
Belmonte,11,7,4,16,16,0,11,11,0
Celorico da Beira,12,5,7,16,16,0,16,16,0
Covilhã,74,45,29,135,130,5,113,106,7
Figueira de Castelo Rodrigo,8,3,5,16,16,0,13,13,0
Fornos de Algodres,8,8,0,9,9,0,15,15,0
Fundão,42,25,17,69,69,0,52,45,7
Gouveia,24,15,9,42,42,0,29,28,1
Guarda,87,57,30,136,129,7,75,70,5
Manteigas,3,2,1,8,8,0,8,8,0
Mêda,7,4,3,12,12,0,12,12,0
Pinhel,16,12,4,24,24,0,13,13,0
Sabugal,16,12,4,24,24,0,16,15,1
Seia,38,22,16,59,59,0,42,42,0
Trancoso,15,11,4,23,23,0,23,23,0
A. M. Lisboa,4663,1858,2805,8181,6423,1758,6354,5100,1254
Alcochete,41,18,23,63,55,8,51,38,13
Almada,283,125,158,507,446,61,374,334,40
Amadora,237,102,135,460,398,62,368,323,45
Barreiro,128,67,61,220,195,25,181,170,11
Cascais,407,95,312,628,331,297,435,204,231
Lisboa,1199,356,843,1825,1061,764,1514,952,562
Loures,296,141,155,565,501,64,422,374,48
Mafra,127,90,37,254,242,12,154,123,31
Moita,81,57,24,171,163,8,146,146,0
Montijo,75,41,34,163,148,15,118,103,15
Odivelas,206,105,101,392,361,31,295,279,16
Oeiras,288,83,205,412,321,91,355,309,46
Palmela,89,45,44,202,164,38,153,127,26
Seixal,220,93,127,435,386,49,339,299,40
Sesimbra,74,47,27,147,142,5,129,127,2
Setúbal,183,55,128,363,317,46,306,266,40
Sintra,507,258,249,1025,872,153,725,657,68
Vila Franca de Xira,222,80,142,349,320,29,289,269,20
Alentejo,1175,788,387,2138,2087,51,1681,1635,46
Alentejo Litoral,160,115,45,268,268,0,207,198,9
Alcácer do Sal,17,14,3,29,29,0,33,33,0
Grândola,22,18,4,40,40,0,31,31,0
Odemira,46,35,11,75,75,0,48,39,9
Santiago do Cacém,41,29,12,81,81,0,55,55,0
Sines,34,19,15,43,43,0,40,40,0
Baixo Alentejo,208,152,56,405,401,4,308,295,13
Aljustrel,13,9,4,29,29,0,9,9,0
Almodôvar,11,9,2,23,23,0,17,17,0
Alvito,6,6,0,12,12,0,6,6,0
Barrancos,3,3,0,4,4,0,10,10,0
Beja,65,34,31,132,128,4,90,77,13
Castro Verde,14,11,3,20,20,0,15,15,0
Cuba,7,7,0,13,13,0,10,10,0
Ferreira do Alentejo,13,9,4,28,28,0,15,15,0
Mértola,8,8,0,14,14,0,12,12,0
Moura,25,20,5,51,51,0,49,49,0
Ourique,9,7,2,14,14,0,16,16,0
Serpa,24,21,3,47,47,0,43,43,0
Vidigueira,10,8,2,18,18,0,16,16,0
Lezíria do Tejo,367,242,125,678,655,23,535,534,1
Almeirim,39,23,16,72,68,4,58,58,0
Alpiarça,11,8,3,17,17,0,13,13,0
Azambuja,36,16,20,66,66,0,49,49,0
Benavente,45,33,12,78,78,0,67,67,0
Cartaxo,26,14,12,58,58,0,62,62,0
Chamusca,17,17,0,29,29,0,20,20,0
Coruche,21,14,7,57,57,0,32,32,0
Golegã,8,6,2,15,15,0,10,10,0
Rio Maior,38,26,12,65,55,10,58,58,0
Salvaterra de Magos,30,20,10,54,54,0,52,52,0
Santarém,96,65,31,167,158,9,114,113,1
Alto Alentejo,182,122,60,347,340,7,279,270,9
Alter do Chão,5,5,0,11,11,0,8,8,0
Arronches,4,3,1,7,7,0,8,8,0
Avis,5,5,0,11,11,0,10,10,0
Campo Maior,17,7,10,27,27,0,25,25,0
Castelo de Vide,4,3,1,9,9,0,10,10,0
Crato,5,4,1,11,11,0,9,9,0
Elvas,36,21,15,78,72,6,57,50,7
Fronteira,4,3,1,14,14,0,11,11,0
Gavião,5,4,1,11,11,0,12,12,0
Marvão,5,5,0,7,7,0,9,9,0
Monforte,6,6,0,14,14,0,10,10,0
Nisa,7,7,0,17,17,0,12,12,0
Ponte de Sor,29,19,10,44,43,1,36,34,2
Portalegre,43,25,18,74,74,0,51,51,0
Sousel,7,5,2,12,12,0,11,11,0
Alentejo Central,258,157,101,440,423,17,352,338,14
Alandroal,6,6,0,12,12,0,8,8,0
Arraiolos,9,5,4,17,17,0,16,16,0
Borba,13,10,3,21,21,0,15,15,0
Estremoz,17,13,4,37,37,0,26,26,0
Évora,109,45,64,162,149,13,115,105,10
Montemor-o-Novo,22,16,6,41,41,0,36,36,0
Mora,7,6,1,11,11,0,11,11,0
