,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Mortágua,8327,719,7608,16343,12016,1411,14932
Oliveira do Hospital,7573,580,6993,15536,11426,1190,14346
Pampilhosa da Serra,6503,479,6024,14944,11563,1101,13843
Penacova,7961,593,7368,15399,11883,1147,14252
Penela,8209,858,7351,16486,11457,1724,14762
Soure,9192,851,8342,18023,13722,1668,16355
Tábua,7404,614,6791,14960,10752,1240,13721
Vila Nova de Poiares,8054,664,7390,15595,11787,1286,14309
Região de Leiria,9760,1068,8692,18984,13640,2077,16907
Alvaiázere,7219,583,6636,15007,11093,1213,13794
Ansião,7845,654,7191,15967,11789,1332,14635
Batalha,9568,950,8618,18666,13849,1854,16812
Castanheira de Pêra,7734,570,7164,14534,10885,1071,13463
Figueiró dos Vinhos,7872,680,7193,15328,11133,1323,14005
Leiria,10682,1310,9373,20606,14441,2526,18080
Marinha Grande,10545,1160,9385,19294,14321,2122,17172
Pedrógão Grande,7565,604,6961,14729,10982,1177,13553
Pombal,8449,774,7675,17265,12971,1582,15683
Porto de Mós,8969,847,8122,17604,12886,1663,15941
Viseu Dão Lafões,8645,922,7722,18345,12683,1957,16388
Aguiar da Beira,6375,493,5882,15269,11387,1180,14089
Carregal do Sal,7493,660,6833,16389,11919,1443,14946
Castro Daire,6224,443,5781,14119,10589,1005,13113
Mangualde,8501,851,7650,17981,12996,1800,16181
Nelas,8413,782,7632,17599,12741,1635,15964
Oliveira de Frades,8027,665,7361,16151,11981,1339,14813
Penalva do Castelo,6783,524,6259,15486,11567,1197,14290
Santa Comba Dão,8117,732,7385,16721,12136,1508,15212
São Pedro do Sul,7469,663,6805,15798,11206,1403,14395
Sátão,7511,668,6842,16064,11409,1430,14635
Tondela,8222,777,7445,17247,12672,1630,15617
Vila Nova de Paiva,6489,585,5904,15551,11178,1402,14149
