,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Seixal,7126,10387,14328,21505,13027,31828,22347,21649,21546,8534
Sesimbra,6900,10159,14009,20735,4254,10671,7130,7023,6680,2420
Setúbal,6930,10175,14297,22410,9860,24344,15564,14815,15411,7730
Sintra,6797,9892,13417,20169,32925,77539,53585,46961,42464,18290
Vila Franca de Xira,7604,10648,14252,20828,9430,26351,20530,19352,17689,6267
Alentejo,6400,9184,11920,17535,59347,185310,101659,77651,62908,25112
Alentejo Litoral,6028,9000,11762,17777,10026,25833,13889,10132,8867,4130
Alcácer do Sal,6245,8827,11353,16109,965,3187,1697,1162,827,295
Grândola,6095,8928,11768,17530,1204,3509,1691,1337,1117,541
Odemira,5192,7887,10012,13367,4589,10028,5014,2573,1600,593
Santiago do Cacém,6774,9902,13997,22433,2151,6105,3582,3257,3465,1811
Sines,7006,10206,14283,22058,1117,3004,1905,1803,1858,890
Baixo Alentejo,6221,9070,11817,17809,9775,28910,15177,11474,10322,3854
Aljustrel,6787,9358,12687,18898,591,2257,1216,1067,998,269
Almodôvar,5712,8560,11619,18894,712,1896,816,651,742,270
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,7146,10020,13645,20987,2239,7087,4582,3941,3847,1713
Castro Verde,7488,10259,14551,22091,395,1413,825,815,914,390
Cuba,5988,8644,11237,16652,405,1260,569,431,371,117
Ferreira do Alentejo,6012,8302,10683,15016,709,2261,996,674,522,138
Mértola,5641,7967,10299,14214,627,1920,819,502,372,105
Moura,5402,8114,10586,15172,1405,3221,1594,1060,762,273
Ourique,5875,8583,10900,15872,495,1346,696,404,370,126
Serpa,5533,8147,10587,14863,1453,3780,1784,1115,849,267
Vidigueira,6028,8779,10959,15855,454,1449,723,456,368,125
Lezíria do Tejo,6364,9186,12034,17562,20192,60748,33786,27028,21267,8050
Almeirim,5670,8404,11170,16541,2334,6173,2852,2302,1729,590
Alpiarça,5915,8386,10983,16128,693,2084,928,750,554,163
Azambuja,6621,9469,12469,17455,1649,5019,3288,2663,1951,559
Benavente,6827,9627,12707,18405,2365,6701,4501,3645,2887,1093
Cartaxo,6703,9486,12670,18107,1981,5522,3556,3071,2262,839
