,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Mira,1712,811,901,38,16,22,719,409,310,955,386,569
Miranda do Corvo,1073,486,587,74,48,26,229,156,73,770,282,488
Montemor-o-Velho,2850,1480,1370,180,107,73,922,692,230,1748,681,1067
Mortágua,2428,1397,1031,199,170,29,1193,698,495,1036,529,507
Oliveira do Hospital,3638,1922,1716,66,46,20,1604,1089,515,1968,787,1181
Pampilhosa da Serra,542,207,335,22,18,4,88,80,8,432,109,323
Penacova,1680,1076,604,34,31,3,644,551,93,1002,494,508
Penela,1411,789,622,29,24,5,541,421,120,841,344,497
Soure,1798,816,982,145,86,59,577,384,193,1076,346,730
Tábua,2566,1253,1313,64,42,22,1588,827,761,914,384,530
Vila Nova de Poiares,1329,677,652,24,21,3,541,276,265,764,380,384
Região de Leiria,72185,41900,30285,1141,660,481,33096,23763,9333,37948,17477,20471
Alvaiázere,1046,647,399,32,18,14,309,254,55,705,375,330
Ansião,2178,1193,985,35,18,17,803,529,274,1340,646,694
Batalha,4345,2624,1721,62,25,37,2381,1645,736,1902,954,948
Castanheira de Pêra,341,148,193,14,…,…,122,…,…,205,63,142
Figueiró dos Vinhos,611,294,317,38,…,…,161,…,…,412,135,277
Leiria,35973,20575,15398,617,348,269,14065,10330,3735,21291,9897,11394
Marinha Grande,10641,6613,4028,26,…,…,7017,…,…,3598,1505,2093
Pedrógão Grande,534,282,252,35,…,…,119,…,…,380,149,231
Pombal,11808,6784,5024,223,114,109,5417,3799,1618,6168,2871,3297
Porto de Mós,4708,2740,1968,59,33,26,2702,1825,877,1947,882,1065
Viseu Dão Lafões,50752,28222,22530,938,593,345,20519,14270,6249,29295,13359,15936
Aguiar da Beira,876,429,447,37,28,9,261,188,73,578,213,365
Carregal do Sal,1764,900,864,40,29,11,1049,623,426,675,248,427
Castro Daire,1823,1061,762,44,32,12,466,383,83,1313,646,667
Mangualde,4675,3162,1513,46,29,17,1934,1365,569,2695,1768,927
Nelas,2912,1626,1286,42,28,14,1861,1229,632,1009,369,640
Oliveira de Frades,3048,1885,1163,131,68,63,2144,1496,648,773,321,452
Penalva do Castelo,1006,616,390,14,7,7,373,339,34,619,270,349
Santa Comba Dão,1344,647,697,30,19,11,454,306,148,860,322,538
São Pedro do Sul,2075,952,1123,95,51,44,587,423,164,1393,478,915
Sátão,1329,681,648,31,23,8,582,376,206,716,282,434
Tondela,5658,3034,2624,164,87,77,3206,1934,1272,2288,1013,1275
Vila Nova de Paiva,525,261,264,24,10,14,152,126,26,349,125,224
Viseu,22034,12291,9743,196,152,44,6396,5063,1333,15442,7076,8366
Vouzela,1683,677,1006,44,30,14,1054,419,635,585,228,357
Beira Baixa,13590,7309,6281,558,445,113,4081,2944,1137,8951,3920,5031
Castelo Branco,9762,5070,4692,214,173,41,2772,1880,892,6776,3017,3759
Idanha-a-Nova,913,497,416,209,175,34,151,111,40,553,211,342
Oleiros,639,416,223,30,27,3,322,274,48,287,115,172
Penamacor,463,216,247,31,15,16,131,92,39,301,109,192
Proença-a-Nova,997,597,400,42,30,12,355,295,60,600,272,328
Vila Velha de Ródão,816,513,303,32,25,7,350,292,58,434,196,238
Médio Tejo,43256,22881,20375,1315,889,426,14365,11136,3229,27576,10856,16720
Abrantes,5878,3156,2722,178,130,48,2246,1797,449,3454,1229,2225
Alcanena,3495,1975,1520,10,…,…,1512,…,…,1973,979,994
Constância,883,521,362,47,33,14,582,415,167,254,73,181
Entroncamento,2898,1679,1219,30,25,5,654,579,75,2214,1075,1139
Ferreira do Zêzere,1513,902,611,413,266,147,497,413,84,603,223,380
Mação,973,486,487,56,50,6,396,298,98,521,138,383
Ourém,11395,5774,5621,107,73,34,3676,2901,775,7612,2800,4812
Sardoal,286,119,167,17,…,…,63,…,…,206,45,161
Sertã,2319,1225,1094,111,100,11,788,584,204,1420,541,879
Tomar,5567,2861,2706,231,110,121,1525,1289,236,3811,1462,2349
Torres Novas,6966,3779,3187,89,64,25,2223,1662,561,4654,2053,2601
Vila de Rei,565,177,388,17,13,4,100,82,18,448,82,366
Vila Nova da Barquinha,518,227,291,9,…,…,103,…,…,406,156,250
Beiras e Serra da Estrela,35097,18097,17000,1061,809,252,10775,7240,3535,23261,10048,13213
Almeida,817,357,460,24,20,4,74,64,10,719,273,446
Belmonte,1177,500,677,47,32,15,613,244,369,517,224,293
Celorico da Beira,944,443,501,22,11,11,247,102,145,675,330,345
Covilhã,7777,4135,3642,115,90,25,2865,1899,966,4797,2146,2651
Figueira de Castelo Rodrigo,613,258,355,84,66,18,80,67,13,449,125,324
Fornos de Algodres,604,279,325,25,17,8,176,115,61,403,147,256
Fundão,4832,2647,2185,243,173,70,1648,1020,628,2941,1454,1487
Gouveia,1463,633,830,71,47,24,336,222,114,1056,364,692
Guarda,8802,4935,3867,161,135,26,2463,1925,538,6178,2875,3303
Manteigas,479,214,265,20,17,3,122,82,40,337,115,222
Mêda,496,233,263,35,25,10,154,120,34,307,88,219
Pinhel,1004,558,446,46,33,13,383,317,66,575,208,367
Sabugal,1495,616,879,85,75,10,275,178,97,1135,363,772
Seia,3153,1469,1684,39,32,7,989,620,369,2125,817,1308
Trancoso,1441,820,621,44,36,8,350,265,85,1047,519,528
A. M. Lisboa,717834,384757,333077,4270,2945,1325,111705,84646,27059,601859,297166,304693
Alcochete,3970,2189,1781,250,130,120,990,772,218,2730,1287,1443
Almada,19769,9214,10555,18,…,…,3182,…,…,16569,6580,9989
Amadora,33333,18046,15287,16,9,7,4573,3415,1158,28744,14622,14122
Barreiro,8171,3903,4268,0,0,0,1407,1172,235,6764,2731,4033
Cascais,35283,18368,16915,119,82,37,5674,4412,1262,29490,13874,15616
Lisboa,318799,160868,157931,753,501,252,18443,13237,5206,299603,147130,152473
Loures,43379,25864,17515,408,321,87,10526,7994,2532,32445,17549,14896
Mafra,16720,10731,5989,316,219,97,4039,2918,1121,12365,7594,4771
Moita,4271,2162,2109,103,74,29,1423,1081,342,2745,1007,1738
Montijo,8797,4376,4421,777,427,350,1928,1408,520,6092,2541,3551
Odivelas,15133,8591,6542,11,…,…,4043,…,…,11079,5501,5578
Oeiras,73860,39183,34677,101,65,36,8689,6312,2377,65070,32806,32264
Palmela,20938,14742,6196,257,190,67,12320,9819,2501,8361,4733,3628
Seixal,15947,9222,6725,9,…,…,4811,…,…,11127,5329,5798
Sesimbra,4810,2596,2214,483,442,41,1074,892,182,3253,1262,1991
Setúbal,19307,10745,8562,192,147,45,6037,4815,1222,13078,5783,7295
Sintra,51915,29826,22089,320,210,110,15708,11548,4160,35887,18068,17819
Vila Franca de Xira,23432,14131,9301,137,97,40,6838,5265,1573,16457,8769,7688
Alentejo,131861,73449,58412,17290,12698,4592,36629,26884,9745,77942,33867,44075
Alentejo Litoral,21400,12324,9076,5409,3987,1422,4669,3727,942,11322,4610,6712
Alcácer do Sal,1892,991,901,505,375,130,356,275,81,1031,341,690
Grândola,2165,1064,1101,133,101,32,427,324,103,1605,639,966
Odemira,7869,4799,3070,4257,3123,1134,572,499,73,3040,1177,1863
Santiago do Cacém,4702,2288,2414,464,345,119,1099,816,283,3139,1127,2012
Sines,4772,3182,1590,50,43,7,2215,1813,402,2507,1326,1181
Baixo Alentejo,19773,11274,8499,3432,2732,700,5353,4273,1080,10988,4269,6719
Aljustrel,1724,1110,614,188,161,27,831,720,111,705,229,476
Almodôvar,837,330,507,63,42,21,151,99,52,623,189,434
Alvito,218,115,103,36,30,6,48,41,7,134,44,90
Barrancos,214,117,97,29,24,5,84,58,26,101,35,66
Beja,6851,3715,3136,1075,898,177,1085,795,290,4691,2022,2669
Castro Verde,2787,2025,762,119,96,23,1757,1577,180,911,352,559
Cuba,352,225,127,103,90,13,103,87,16,146,48,98
Ferreira do Alentejo,1241,738,503,550,405,145,181,155,26,510,178,332
Mértola,787,404,383,166,131,35,136,107,29,485,166,319
Moura,1657,935,722,371,300,71,329,243,86,957,392,565
Ourique,741,331,410,77,64,13,194,114,80,470,153,317
Serpa,1688,909,779,468,359,109,301,200,101,919,350,569
Vidigueira,676,320,356,187,132,55,153,77,76,336,111,225
Lezíria do Tejo,45000,25465,19535,3671,2408,1263,13527,9424,4103,27802,13633,14169
Almeirim,3143,1738,1405,474,299,175,833,612,221,1836,827,1009
Alpiarça,924,498,426,192,124,68,352,245,107,380,129,251
Azambuja,7662,4881,2781,214,168,46,1137,745,392,6311,3968,2343
Benavente,6026,3556,2470,509,328,181,2307,1663,644,3210,1565,1645
Cartaxo,2675,1399,1276,159,99,60,876,646,230,1640,654,986
Chamusca,1511,871,640,254,169,85,642,478,164,615,224,391
Coruche,2659,1476,1183,559,364,195,771,523,248,1329,589,740
Golegã,793,354,439,113,75,38,236,139,97,444,140,304
Rio Maior,4507,2565,1942,293,187,106,2218,1427,791,1996,951,1045
Salvaterra de Magos,2967,1674,1293,318,200,118,752,590,162,1897,884,1013
Santarém,12133,6453,5680,586,395,191,3403,2356,1047,8144,3702,4442
Alto Alentejo,16444,8550,7894,1869,1423,446,4300,3104,1196,10275,4023,6252
Alter do Chão,380,151,229,92,70,22,43,38,5,245,43,202
Arronches,418,194,224,83,76,7,37,26,11,298,92,206
Avis,808,411,397,128,90,38,409,222,187,271,99,172
