,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Portugal,2321620,468296,264217,353534,247922,297466,168482,521703
Continente,2232400,450013,253543,338251,237518,286547,163117,503411
Norte,809359,171388,99915,133763,94360,108446,50827,150660
Alto Minho,44764,11175,5486,7116,3559,5052,4278,8098
Arcos de Valdevez,4074,961,442,375,314,545,638,799
Caminha,1834,712,355,346,196,44,44,137
Melgaço,839,312,101,167,73,105,40,41
Monção,2648,933,461,536,332,166,22,198
Paredes de Coura,934,273,123,135,181,190,22,10
Ponte da Barca,1276,532,244,256,29,136,11,68
Ponte de Lima,7774,2283,998,1411,448,561,99,1974
Valença,2941,892,397,321,127,132,416,656
Viana do Castelo,19041,3872,2262,3252,1732,2436,2102,3385
Vila Nova de Cerveira,3403,405,103,317,127,737,884,830
Cávado,101303,22394,13569,18582,12927,13455,6569,13807
Amares,2973,970,626,506,364,343,123,41
Barcelos,31052,7087,4409,5968,5381,4521,1711,1975
Braga,51439,9543,6095,8791,5397,7169,3755,10689
Esposende,7165,1906,921,1400,680,1042,939,277
Terras de Bouro,976,323,141,203,248,0,0,61
Vila Verde,7698,2565,1377,1714,857,380,41,764
Ave,103641,21333,13397,17585,14201,16574,6782,13769
Cabeceiras de Basto,2121,626,436,475,445,51,5,83
Fafe,9061,2631,1576,1941,1887,378,357,291
Guimarães,44340,8640,5576,7986,5836,8353,2956,4993
Mondim de Basto,547,286,96,78,69,10,0,8
Póvoa de Lanhoso,3523,1020,665,577,283,626,240,112
Vieira do Minho,1102,452,206,235,47,111,0,51
Vila Nova de Famalicão,36934,6463,4054,5207,4634,5896,3018,7662
Vizela,6013,1215,788,1086,1000,1149,206,569
A. M. Porto,424288,79689,48119,64379,44345,57110,29099,101547
Arouca,4126,1167,834,873,641,542,0,69
Espinho,4392,1299,724,512,420,733,13,691
Gondomar,17109,4666,2810,3264,1589,1953,472,2355
Maia,47784,6034,4531,6858,4329,5932,4692,15408
