,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Arruda dos Vinhos,726,438,63,9,85,4,2,3,14,24,2
Bombarral,566,96,68,4,87,30,0,66,5,18,1
Cadaval,435,96,58,5,6,2,0,50,15,9,1
Caldas da Rainha,3610,1047,322,23,58,74,56,569,64,82,21
Lourinhã,1578,428,146,3,86,21,5,134,21,50,0
Nazaré,982,205,30,4,32,14,2,79,16,37,27
Óbidos,944,58,46,3,27,5,3,291,5,67,0
Peniche,1430,337,63,39,77,22,33,129,10,38,13
Sobral de Monte Agraço,381,230,40,10,16,5,3,5,9,9,8
Torres Vedras,4929,1660,324,13,633,64,21,120,193,163,11
Região de Aveiro,13006,4897,1040,235,214,403,309,215,75,569,243
Águeda,1353,531,156,26,22,25,50,15,4,29,28
Albergaria-a-Velha,548,172,92,2,8,12,14,10,12,21,1
Anadia,701,191,108,12,7,15,1,24,6,18,7
Aveiro,5445,2316,336,130,44,250,154,69,25,282,110
Estarreja,635,144,30,7,6,8,8,7,0,34,0
Ílhavo,1375,504,92,27,68,34,67,20,12,49,7
Murtosa,205,40,10,0,6,0,0,7,0,7,0
Oliveira do Bairro,945,354,108,8,17,11,0,11,7,31,54
Ovar,981,429,67,10,25,16,1,37,5,60,1
Sever do Vouga,201,68,24,5,9,20,0,5,3,13,0
Vagos,617,148,17,8,2,12,14,10,1,25,35
Região de Coimbra,17642,5599,852,493,457,605,246,2332,57,570,249
Arganil,734,48,7,1,4,3,0,429,0,9,0
Cantanhede,721,312,88,7,28,5,5,20,2,38,13
Coimbra,7852,3153,280,392,176,458,187,142,14,289,113
Condeixa-a-Nova,366,161,59,15,1,13,4,12,0,9,0
Figueira da Foz,2737,1004,216,19,68,48,10,76,8,101,14
Góis,327,11,3,0,1,4,0,205,0,18,0
Lousã,556,90,12,5,40,19,0,198,3,8,1
Mealhada,367,148,60,4,34,9,4,13,14,4,4
Mira,279,134,12,4,3,7,0,11,10,8,0
Miranda do Corvo,378,52,10,8,1,6,23,144,0,14,3
Montemor-o-Velho,258,69,21,6,16,6,1,10,1,10,7
Mortágua,273,122,5,3,2,3,0,71,0,4,4
Oliveira do Hospital,824,72,10,12,44,10,1,268,0,26,12
Pampilhosa da Serra,40,3,0,0,2,0,0,21,0,1,0
Penacova,260,37,5,4,1,1,11,68,1,7,74
Penela,378,19,11,0,8,2,0,197,3,4,3
Soure,275,68,33,11,24,3,0,40,1,7,1
Tábua,694,41,5,1,3,5,0,264,0,10,0
Vila Nova de Poiares,323,55,15,1,1,3,0,143,0,3,0
Região de Leiria,14769,5268,2157,301,820,246,43,1287,83,535,88
Alvaiázere,523,18,15,0,4,2,3,354,0,7,1
Ansião,410,41,29,3,6,6,2,214,0,14,1
Batalha,600,188,211,16,41,6,1,10,3,11,3
Castanheira de Pêra,128,14,4,0,2,0,0,66,0,7,1
Figueiró dos Vinhos,297,26,3,0,2,1,0,146,0,19,0
Leiria,6881,3238,998,121,203,165,28,120,29,248,39
Marinha Grande,2580,820,374,67,91,31,7,24,26,109,17
Pedrógão Grande,574,12,0,15,7,0,0,283,1,2,13
Pombal,1958,721,283,25,442,19,2,36,8,50,8
Porto de Mós,818,190,240,54,22,16,0,34,16,68,5
Viseu Dão Lafões,5534,2609,398,104,133,191,45,226,18,261,83
Aguiar da Beira,44,11,9,0,1,2,0,0,0,11,0
Carregal do Sal,187,63,2,5,18,1,0,41,1,6,0
Castro Daire,159,67,9,4,0,2,15,4,0,24,0
Mangualde,388,142,42,0,2,1,4,5,3,14,0
Nelas,242,106,13,1,4,9,5,12,1,16,0
Oliveira de Frades,335,196,25,2,34,8,2,11,4,9,1
Penalva do Castelo,61,15,2,0,0,1,0,0,0,8,0
Santa Comba Dão,266,39,12,8,30,9,0,43,3,15,0
São Pedro do Sul,213,105,10,3,0,8,0,7,0,10,6
Sátão,91,24,12,0,3,0,1,6,0,12,0
Tondela,365,132,9,18,3,8,1,37,0,17,7
Vila Nova de Paiva,53,22,0,2,4,2,0,0,0,11,0
Viseu,3014,1646,242,61,29,135,17,50,6,106,55
