,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Vila Pouca de Aguiar,966.84,669.93,817.56,827.48,803.21,1027.08,//,1410.17,1577.84,1101.84,//
Tâmega e Sousa,858.44,768.53,775.47,783.27,794.1,861.82,910.06,1325.49,1397.94,1382.28,2043.11
Amarante,878.15,703.27,795.62,802.08,776.3,848.73,…,1280.05,1364.83,1194.56,…
Baião,815.41,737.63,726.23,748.39,823.32,786.31,//,1475.5,1115.21,1245.76,…
Castelo de Paiva,827.58,757.65,754.02,769.3,766.6,836.4,//,1460.05,1333.85,1191.78,…
Celorico de Basto,763.96,651.33,721.3,725.35,718.18,766.21,…,943.93,1116.01,1229.86,…
Cinfães,844.33,664.59,802.53,871.16,792.29,831.06,…,1247.28,1066.1,1397.12,1666.43
Felgueiras,845.4,699.99,798.44,784.69,801.67,870.77,…,1292.71,1319.62,1190.48,3267.87
Lousada,821.67,821.83,764.59,779.05,783.91,845.04,…,1292.16,1248.17,1176.1,1065.96
Marco de Canaveses,856.61,801.84,808.5,812.66,821.98,850.82,…,1146.21,1281.32,996.76,1695.75
Paços de Ferreira,846.31,730.05,728.55,752.98,796.17,900.2,851.54,1351.8,1386.45,1367.21,946.31
Penafiel,939.89,818.82,774.35,785.96,802.77,877.41,…,1513.58,1660.87,1845.13,2824.47
Resende,785.88,…,703.36,714.47,728.61,784.25,…,//,1069.11,803.14,…
Douro,936.21,752.42,767.75,775.85,796.48,893.41,835.69,1342.48,1413.14,1598.51,1301.21
Alijó,886.1,662.87,782.1,752.93,786.54,858.75,//,1514.16,1325.42,1417.88,//
Armamar,844.29,704.03,748.56,769.31,755.27,850.43,…,1353.47,1226.21,1380.25,//
Carrazeda de Ansiães,843.33,664.99,741.59,751.61,769.38,815.22,//,1722.46,1255.01,…,…
Freixo de Espada à Cinta,857.49,//,723.58,724.63,745.97,832.45,//,…,1251.97,…,//
Lamego,897.59,696.89,753.66,757.63,773.83,897.02,864.51,1197.74,1296.24,1582.27,…
Mesão Frio,916.56,…,745.24,795.97,984.65,876.2,//,…,1086.07,1345.14,//
Moimenta da Beira,810.47,…,770.41,733.33,735.43,779.57,…,1305.83,1055.29,1129.25,…
Murça,900.96,…,773.89,810.66,789.58,833.08,…,1240.64,1285.45,1493.47,//
Penedono,771.39,//,722.77,693.38,712.38,781.37,//,…,1022.13,…,//
Peso da Régua,981.5,833.51,776.47,817.1,847.36,973.13,866.02,1762.06,1466.05,1514.24,1715.33
Sabrosa,928.92,800.94,760.92,796.1,769.64,886.4,//,1275.52,1467.54,1301.78,794.96
Santa Marta de Penaguião,850.92,…,729.99,734.25,771.77,802.75,//,1864.72,1136.94,1089,…
São João da Pesqueira,874.92,650.28,741.45,783.93,771.37,919.96,//,1369.42,1301.16,1811.87,//
Sernancelhe,804.13,…,683.57,705.93,757.37,801.35,//,1288.38,1100.71,1384.12,//
Tabuaço,923.64,661.23,814.68,750.73,772.29,950.93,//,1102.62,1390.21,1219.81,…
Tarouca,857.35,…,741.25,780.69,794.8,827.78,//,1030.22,1376.1,1269.91,//
Torre de Moncorvo,852.52,774.91,725.84,729.5,768.05,871.25,//,1184.5,1244.1,1135.58,1216.04
Vila Nova de Foz Côa,927.64,811.31,817.7,799.43,838.2,921.67,798.58,1181.34,1331.64,1417.99,//
Vila Real,1037.51,822.16,812.71,805.99,811.56,925.14,765.11,1370.79,1569.79,1729.83,1145.18
Terras de Trás-os-Montes,918.08,708.7,750.74,777.97,782.01,866,866.93,1248.14,1305.49,1469.2,1404.46
Alfândega da Fé,815.9,//,698.32,751.29,770.05,773.26,//,1349.88,1082.73,…,//
Bragança,980.62,749.71,768.91,801.54,810.16,876.69,…,1402.31,1375.34,1508.04,1192.35
Macedo de Cavaleiros,856.9,…,690.87,755.42,745.01,860.51,//,1169.78,1249.82,1391.09,1586.69
Miranda do Douro,873.26,…,795.36,794.6,762.39,902.72,714.78,1326.55,1151.57,1275.26,//
Mirandela,927.85,669.14,791.48,768.06,784.04,874.6,…,1162.53,1325.84,1478.12,…
Mogadouro,844.35,…,757.3,834.84,768.48,836.44,…,1012.65,1062.17,1130.86,//
Vila Flor,866.92,750.41,775.72,758.91,800.47,804.69,//,1531.24,1234.9,1751.59,//
Vimioso,838.23,641.85,666.32,700.38,756.12,921.29,//,870.16,1091.24,1264.61,…
Vinhais,782.24,…,678,687.84,694.02,787.03,…,1379.43,1150.64,…,…
Centro,1032.83,758.47,845.11,901.26,913.71,990.23,962.16,1522.08,1494.84,1511.4,2356.33
Oeste,984.69,753.86,835.12,889.7,889.79,969.11,1058.69,1512.73,1480.52,1477.73,1845.17
Alcobaça,968.38,748.88,846.59,897.2,900.78,959.35,843.35,1495.52,1332.76,1308.49,1365
Alenquer,1131.78,817.48,904.33,985.95,979.39,1094.45,1805.11,1924.07,1981.33,1942.51,1879.93
Arruda dos Vinhos,1080.24,658.77,875.94,991.18,979.27,973.78,…,1491.65,1684.78,1460.9,897.21
Bombarral,902.64,720.53,803.52,844.65,794.68,924.44,…,1627.11,1369.36,1431.65,//
Cadaval,943.74,776.05,820.24,842.86,874.08,935.2,//,1432,1407.64,1311.05,//
Caldas da Rainha,942.99,662.89,764.53,867.4,905.22,917.52,999.97,1339.86,1354.33,1547.89,…
Lourinhã,904.18,792.2,881.77,909.08,841.43,887.28,856.35,1197.02,1187.19,1209.98,//
Nazaré,881.09,777,760.98,813.77,808.9,873.4,//,1166.04,1323.58,1131.69,//
Óbidos,966.82,657.2,807.65,809.71,828.63,902.96,//,1437.44,1286.5,1481.22,2051.37
Peniche,904.2,776.73,816.88,823.57,839.82,888.35,1024.82,1340.2,1318.12,1191.85,…
Sobral de Monte Agraço,949.61,681.51,827.9,901.11,849.41,1025.76,…,1035.93,1419.32,1391.28,1332.71
Torres Vedras,1000.12,758.7,852.61,859.64,869.43,1012.39,979.19,1549.17,1554.35,1462.29,2470.32
Região de Aveiro,1091.01,782.09,877.17,931.76,937.88,1031.82,1034.68,1675.05,1617.78,1538.04,2719.92
Águeda,1031.59,780.29,868.13,906.5,928.81,995.84,723.46,1440.7,1507.33,1332.64,2362.14
Albergaria-a-Velha,1079.76,743.82,893,947.71,962.02,1071.25,…,1642.79,1603,1396.57,1846.52
Anadia,1006.54,861.95,850.08,928.28,888.88,988.52,…,1408.31,1482.44,1226.79,1312.43
Aveiro,1196.5,830.37,937.69,1009.37,960.05,1067.97,1018.65,1796.53,1688.34,1628.35,2935.7
Estarreja,1224.35,943.12,955.88,1028.95,1121.08,1212.44,1643.81,1590.55,1837.02,1860.97,2779.33
Ílhavo,1094.56,705.7,891.78,951.97,926.94,1019.64,874.59,1740.64,1658.46,1678.57,2388.16
Murtosa,890.8,620.61,730.39,800.65,788.06,964.89,//,1330.38,1334.19,1182.63,…
Oliveira do Bairro,1008.38,740.13,898.15,870.85,915.15,972.08,//,1545.74,1425.23,1282.76,//
Ovar,1032.42,732.53,813.62,878.52,896.33,991.03,…,1940.93,1656.23,1470.91,1543.49
Sever do Vouga,1000.21,…,816.54,883.46,899.43,961.02,…,1605.68,1442.36,1734.11,//
Vagos,993.29,758.36,791.14,845.87,843.54,953.05,877.24,1561.36,1523.41,1363.93,2101.96
Região de Coimbra,1052.5,742.68,830.14,889.12,922.77,989.84,928.77,1444.05,1489.85,1563.22,2341.6
Arganil,851.37,…,744.8,849.66,801.99,829.61,…,999.32,1197.24,1388.61,//
Cantanhede,1051.27,699.82,826.56,879.25,946.15,998.82,1117.85,1614.16,1497.02,1523.34,2585.39
Coimbra,1134.43,753.19,829.44,904.83,925.06,1003.01,1045.34,1503.95,1521.25,1663.66,2330.19
Condeixa-a-Nova,966.56,712.93,800.64,949.76,888.25,925.71,//,1369.28,1196.15,1530.36,//
Figueira da Foz,1170.85,811.13,890.53,935.63,1058.32,1130.44,789.13,1567.22,1784.61,1589.06,2396.81
Góis,784.42,…,718.15,693.48,761.11,745.42,//,925.62,1175.58,944.99,//
Lousã,964.45,674.02,789.07,826.01,844.73,919.2,…,1199.47,1397.44,1446.02,…
Mealhada,1076.14,798.35,920.91,1007.27,1044.89,1012.95,719.7,1693.32,1406.21,1220.56,…
Mira,923.87,682.21,926.73,815.6,817.44,888.8,848.38,1225.23,1305.2,1576.83,1111.34
Miranda do Corvo,866.99,842.22,816.95,777.63,782.21,868.21,…,1103.64,1116.6,1135.39,…
Montemor-o-Velho,932.99,780.17,788.62,911.6,858.55,955.64,697.91,964.35,1245.15,1160.63,…
Mortágua,979.42,656.3,809.18,824.5,841.45,964.38,…,1447.37,1313.58,1150.13,1943.93
Oliveira do Hospital,862.98,719.49,769.34,771.8,782.08,890.6,969.21,1387.72,1209.92,1136.27,2492.86
Pampilhosa da Serra,840.89,…,747.71,739.69,809.36,862.48,//,…,1265.24,…,//
Penacova,961.62,999.13,859.74,931.66,939.85,964.69,…,1010.61,1242.69,1215.86,…
Penela,893.31,718.17,837.84,872.09,825.11,819.84,//,1268.92,1186.85,1087.88,…
Soure,940.09,771.74,818.24,883.05,878.57,896.35,884.17,1501.03,1304.21,1405.66,…
Tábua,859.13,750.5,801.24,771.46,766.98,842.72,…,1285.37,1434.94,1570.92,…
Vila Nova de Poiares,934.31,//,829.09,915.3,859.07,892.32,…,1061.55,1404.08,2010.9,…
Região de Leiria,1087.48,798.96,908.75,979.44,988.88,1055.23,932.17,1570.93,1474.54,1458.26,2078.79
Alvaiázere,884.45,…,802.51,890.09,842.01,857.95,…,1083.74,1213.94,963.72,…
Ansião,890.16,839.01,818.1,817.35,807.12,892.54,//,1341.48,1240.45,1243.04,…
Batalha,1011.33,758.57,880.39,977.25,938.52,1004.42,…,1455.76,1354.95,1191.56,…
Castanheira de Pêra,912.88,…,812.92,859.22,838.13,901.2,//,//,1287.99,1773.49,//
Figueiró dos Vinhos,875.35,//,733.61,823.12,786.86,879.9,//,1346.21,1142.16,1311.67,//
Leiria,1091.98,815.81,923.78,989.83,978.49,1032.67,918.59,1514.95,1471,1478.13,1715.23
Marinha Grande,1303.58,836.76,1130.01,1182,1210.82,1252.04,931.18,1849.14,1611.63,1560.57,3229.71
Pedrógão Grande,850.35,663.1,762.48,742.17,740.37,797.54,//,1456.95,1218.93,1377.95,//
Pombal,996.93,793.51,883.11,912.19,909.29,977.8,1274.18,1506.69,1446.17,1271.21,3772.25
Porto de Mós,1055.12,742.55,841.88,940.99,997.31,1070.36,…,1683.31,1473.13,1682.72,795.29
Viseu Dão Lafões,986.58,730.02,807.34,866.12,871.82,944.8,898.62,1448.99,1450.43,1501.23,2197.34
Aguiar da Beira,786.58,737.87,711,716.82,752.29,793.44,…,1124.47,1068.08,1063.65,//
Carregal do Sal,945.95,…,777.3,782.98,867.6,938.58,…,1124.01,1391.15,1243.06,…
Castro Daire,848.52,668.91,780.27,825.09,796.17,856.75,//,1433.77,1079.64,1177.4,//
Mangualde,1098.4,706.24,969.17,1064.18,1044.59,1054.25,//,1587.84,1501.07,1655.17,…
Nelas,1035.56,863.26,853.9,902.08,914.01,1018.92,//,1605.67,1571.84,1389.64,…
Oliveira de Frades,1119.82,750.19,837.99,927.81,899.01,1073.55,//,1490.72,1729.07,2059.17,4211.79
Penalva do Castelo,866.95,695.49,749.04,825.01,843.55,886.32,//,1307.91,1208.45,1012.12,1423.98
Santa Comba Dão,904.88,710.58,785.06,824.06,827.08,929.73,//,1129.98,1298.16,1202.2,…
São Pedro do Sul,805.83,712.55,709.75,747.8,721.76,823.31,//,1288.83,1197.66,1143.46,//
Sátão,791.85,712.91,733.57,765.12,737.18,784.93,…,914.47,1151.76,1174.85,//
Tondela,1062.64,727.42,760.9,843.41,922.08,1022.23,…,1651.3,1704.5,1626.79,2234.62
Vila Nova de Paiva,811.6,802.27,717.98,756.39,739.98,862.75,//,1132.61,1074.22,1315.77,//
Viseu,987.08,730.91,817.58,850.28,850.65,911.85,851.82,1419.73,1419.17,1269.72,2071.08
Vouzela,904.47,…,805.78,786.02,818.2,905.77,//,1349.69,1396.02,1463.6,//
Beira Baixa,961.39,763.09,769.74,817.91,846.27,942.77,839.36,1339.53,1414.29,1327.64,1259.88
Castelo Branco,957.13,759.35,776.81,816.39,844.56,915.18,724.4,1408.84,1402.68,1297.42,1276.37
Idanha-a-Nova,885.19,749.76,764.25,818.48,760.2,863.81,//,1009.56,1327.49,1335.24,1226.9
Oleiros,935.73,829,812.19,916.58,837.27,966.59,…,1222.99,1378.79,…,//
Penamacor,907.39,789.88,757.66,792.86,796.56,979.73,…,1028.42,1313.36,1637.32,//
Proença-a-Nova,904.37,…,720.46,781.45,773.15,885.19,…,922.61,1428.4,1712.5,//
Vila Velha de Ródão,1227.87,…,741.26,789.99,1113.02,1333.13,//,1301.3,1686.81,1447.35,//
Médio Tejo,1019.1,753.43,871.18,889.46,911.27,963.84,757.59,1556.95,1493.81,1508.37,1583.72
Abrantes,1084.84,698.66,894.85,852.47,907.2,1013.83,//,1877.92,1664.2,1719.18,1036.77
Alcanena,1063.07,840.4,897.24,907.61,924.01,1038.82,//,1724.52,1605.96,1800.73,//
Constância,1239.61,…,831.9,944.71,1005.74,1174.71,//,2469.7,2175.06,1480.68,//
Entroncamento,1130.99,…,904.64,990.96,1048.47,1052.53,//,1590.28,1544.05,1484.48,//
Ferreira do Zêzere,909.81,627.28,859.77,899.65,836.74,874.1,…,1419.15,1316.26,1173.86,…
Mação,889.4,700.42,785.33,879.65,806.22,953.03,//,1164.97,1380.34,1015.11,//
Ourém,1004.55,866.12,922.34,919.85,941,953.03,712.78,1318.53,1331.14,1360.87,1399
Sardoal,819.72,…,732.85,748.88,755.81,869.89,//,…,1140.31,…,//
Sertã,867.82,696.33,783.98,768.33,801.2,825.99,//,1464.58,1367.04,1034.54,…
Tomar,990.96,701.42,823.78,864.98,856.27,928.11,…,1460.75,1450.62,1464.8,1423.21
Torres Novas,1048.36,731.44,843.99,896.34,934.26,961.64,829.37,1601.16,1577.68,1719.96,2206.71
Vila de Rei,820.52,…,689.68,688.86,737.91,806.46,//,896.71,1190.07,1245.08,//
Vila Nova da Barquinha,840.21,…,751.81,717.5,753.46,853.29,//,1089.81,1382.8,1217.17,//
Beiras e Serra da Estrela,934.82,702.41,773.79,807.55,822.03,904.11,903.88,1350.3,1355.99,1424.4,1621.3
Almeida,831.05,624.64,705.13,777.38,767.69,906.23,//,1124.25,1106.63,…,//
Belmonte,821.63,708.84,733.82,718.9,751.17,773.82,//,1735.41,1260.52,1074.47,…
Celorico da Beira,940.73,718.19,786.63,1018.36,900.03,989.25,//,1106.52,1227.02,1404.12,//
Covilhã,943.36,697.72,778.52,782.03,793.55,880.12,725.17,1438.67,1400.39,1448.1,2219.3
Figueira de Castelo Rodrigo,805.85,…,746.26,697.36,716.65,823.72,//,773.41,1176.54,1327.46,//
Fornos de Algodres,790.18,…,711.02,750.8,736.63,801.27,//,…,1084.23,1090.77,//
Fundão,921.19,684.26,745.37,774.18,794.44,906.6,1157.26,1387.22,1320.46,1398.92,1348.34
Gouveia,864.02,766.17,767.06,751.92,771.52,857.35,1051.28,1296.1,1278.26,1310.29,1252.35
Guarda,1054.8,712.53,865.77,933.83,932.92,978.61,…,1326.58,1447.31,1590.61,1136.16
Manteigas,809.26,…,705.19,724.47,743.79,797.63,//,1366.35,1101.94,…,//
Mêda,850.81,…,736.56,817.54,795.98,831.18,//,1275.89,1164.26,1568.08,//
Pinhel,809.55,//,712.72,734.31,739.57,822.01,//,817.99,1222.59,993.63,…
Sabugal,846.3,657.35,733.67,737.06,761.74,865.55,//,1478.88,1165.35,1358.74,//
Seia,888.4,694.66,762.71,765.82,781.8,899.59,…,1323.63,1336.89,1314.87,1646.85
Trancoso,904.22,…,829.32,795.45,804.98,869.56,//,1285.48,1372.98,1214.21,//
A. M. Lisboa,1440.11,790.41,866.07,944.52,999.41,1266.43,1181.83,2135.21,2161.35,2070.48,2829.21
Alcochete,2153.26,787.71,861.21,1789.44,1250.96,3169.58,…,1992.61,2205.99,1664.32,…
Almada,1117.59,758.73,808.74,842.47,859.11,975.34,1296.32,1658.38,1797.72,1839.9,3421.65
Amadora,1387.78,722.86,785.36,842.08,879.91,1158.75,775.63,2354.63,2256.9,2173.32,2461.78
Barreiro,1110.24,811.32,876.15,967.14,924.06,1013.92,1364.24,1513.06,1737.4,1641.31,1773.77
Cascais,1183.63,746.49,864.99,885.39,908.48,1077.82,1408.37,2191.89,1757.63,1640.32,2830.38
Lisboa,1616.1,788.84,860.95,950.42,1038.97,1338.21,1247.64,2131.17,2229.01,2112.42,3008.27
Loures,1184.32,788.69,871.39,931.12,981.8,1139.91,1052.01,1958.82,1907.81,1887.64,2174.65
Mafra,973.52,877.32,893.87,899.69,877.71,971.77,1104.26,1336.5,1437.93,1427.16,2599.1
Moita,971.17,666.37,844.38,868.01,868.18,972.86,809.33,1508.48,1381.44,1476.1,…
Montijo,1008.72,702.85,786.83,853.67,875.19,989.07,951.61,1811.14,1603.29,1560.88,2808.58
Odivelas,937.82,739.31,812.28,846.67,847.99,945.75,1173.56,1298.37,1251.57,1208.32,1957.65
Oeiras,1791.52,781.51,854.02,981.59,1052.3,1538.06,1251.55,2423.67,2462.05,2310,2975.03
Palmela,1339.26,1004.33,963.7,1106.2,1223.47,1279.76,805.75,2538.99,2096.25,1780.08,2591.02
Seixal,1250.18,833.31,890.83,938.07,1227.61,1263.56,884.75,2527.21,1590.47,1461.02,2085.79
Sesimbra,930.17,719.35,897.28,855.1,849.12,904.16,785.5,1328.95,1370.54,1465.14,…
Setúbal,1181.18,890.87,934.28,972.85,990.05,1102.4,741.93,1795.67,1892.57,1945,2446.98
Sintra,1183.9,810.75,880.03,960.76,953.37,1145.7,1071.47,1964.38,1866.71,1872.69,2609.37
Vila Franca de Xira,1216.39,898.04,959.31,1023.08,975.21,1154.03,1266.76,1892.75,1977.9,1782.19,2048.12
Alentejo,1051.09,798.79,855.19,904.35,921.63,1018.2,1013.27,1770.64,1631.94,1745.26,1966.36
Alentejo Litoral,1184,810.42,860.9,945.67,1032.8,1182.51,1316.07,2348.97,1917.6,2182.11,1668.39
Alcácer do Sal,943.47,759.17,827.92,828.52,843.86,917.02,//,1301.75,1621.57,1722.39,938.82
Grândola,958.06,807.29,813.33,890.87,849.4,954.65,//,1478.28,1433.76,1238.43,1823.78
Odemira,924.06,820.72,766.14,822.17,834.42,905.83,//,1420.92,1580.51,1623.97,…
Santiago do Cacém,1023.17,853.79,880.17,911.12,914.67,939.29,…,1600.87,1473.84,1479.48,1479.55
Sines,1739.57,791.84,1125.73,1262.47,1463.87,1688.23,1401.26,3493.36,2693.94,3055.11,…
Baixo Alentejo,1104.14,848.2,893.51,960.88,967.99,1065.59,834.81,1966.01,1743.2,1625.62,2241.96
Aljustrel,1151.99,732.3,942.11,1104.03,1066.96,1042.92,//,1739.5,1828.55,1738.52,//
Almodôvar,877.41,700.74,727.27,751.55,818.89,917.99,//,1012.58,1286.76,1409.6,//
Alvito,1016.84,…,932.64,893.81,846.09,1006.5,//,…,1394.93,//,//
Barrancos,809.87,//,678.96,763.43,728.01,794.53,…,…,1325.35,…,//
Beja,1059.58,897.43,848.55,861.61,896.95,1009.37,899.49,1503.1,1592.32,1494.06,1478.87
Castro Verde,1831.86,1027.14,1435.11,1674.87,1561.31,1669.73,//,4080.24,3136.28,2347.6,5037.7
Cuba,909.28,1009.48,793.11,756.49,789.85,845.66,//,1653.4,1401.89,1253.89,//
Ferreira do Alentejo,965.27,1102.22,804.9,856.65,881.61,987.88,//,1543.36,1552.34,1990.37,2597.98
Mértola,831.58,1022.07,768.77,766.38,765.15,832.31,//,1105,1237.5,1504.19,…
Moura,904.18,776.59,761.83,795.11,801.28,896.24,//,1274.49,1389.48,1433.12,…
Ourique,839.09,824.38,757.2,754.16,777.29,873.65,//,1041.74,1286.26,1517.95,//
Serpa,853.44,738.53,773.18,764.32,760.37,864.19,…,1262.61,1300.83,1665.55,//
Vidigueira,936.55,711.23,785.29,840.7,769.69,1023.64,//,1450.51,1409.92,1373.51,//
Lezíria do Tejo,1016,763.59,860.71,900.57,886.26,947.71,934.74,1591.17,1612.05,1721.76,2674.89
Almeirim,929.99,847.75,799.97,840.91,827.95,917.18,…,1483.67,1373.6,1302.39,//
Alpiarça,851.79,653.31,728.28,730.99,715.02,949.24,//,1274.71,1518.43,1762.12,//
Azambuja,1018.95,799.4,891.64,933.05,937.68,833.55,//,1912.3,1951.94,1788.99,3007.48
Benavente,1109.76,769.44,929.49,907.02,961.26,1066.78,…,1869.56,1910,2027.1,2383.61
Cartaxo,1008.04,739.11,838.2,857.48,866.83,1028.2,…,1489.49,1526.34,1531.55,//
Chamusca,948.66,792.94,810.51,854.59,848.36,947.54,…,1639.25,1410.14,1396.68,//
Coruche,1001.79,679.34,866.07,894.79,901.26,1045.56,…,1478.92,1454.85,1652.02,…
Golegã,925.02,767,799.03,775.02,822.99,886.03,922.27,1405.91,1349.37,1712.92,//
Rio Maior,1014.05,817.51,856.02,939.3,919.87,990,746.98,1625.33,1470.12,1584.92,…
Salvaterra de Magos,942.87,631.57,827.74,871.08,851.7,928.36,//,1451.25,1481.33,1233.16,…
Santarém,1041.57,754.27,881.33,928.93,860.5,974.72,748.23,1370.57,1547.55,1740.46,…
Alto Alentejo,968.23,778.06,828.7,854.72,858.26,959.16,1043.58,1641.09,1424.49,1488.08,1625.66
