,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Portugal,1166.88,771.76,845.25,882.68,920.31,1095.65,1049.92,1841.78,1850.09,1825.57,2605.37
Continente,1170.25,767.66,841.69,880.63,920.93,1097.03,1043.48,1841.13,1851.59,1826.35,2615.95
Norte,1056.6,748.94,823.62,844.22,875.47,1015.99,963.69,1684.16,1666.81,1646.69,2522
Alto Minho,978.08,777.36,815.39,825.2,859.28,931.1,804.31,1503.09,1540.42,1538.82,1683.15
Arcos de Valdevez,882.1,700.28,726.78,728.36,774.56,850.89,…,1516.14,1405.21,1710.42,1104.63
Caminha,880.94,695,834.98,825.25,798.7,822.02,…,1436.04,1272.07,1199.41,…
Melgaço,858.09,//,762.97,731.24,763.89,814.14,685.55,1191.81,1318.05,1429.13,//
Monção,860.2,832.63,810.27,800.23,795.03,845.82,1055.63,1295.87,1175.39,985.28,//
Paredes de Coura,891.1,739.8,696.14,794.06,771.15,872.09,//,1391.11,1469.16,1598.5,//
Ponte da Barca,846.94,…,789.92,764.68,773.86,859.11,//,1171.47,1186.34,994.62,…
Ponte de Lima,895.63,772.54,793.95,779.47,814.13,879.59,757.67,1368.64,1353.22,1350.58,1634.22
Valença,919.23,…,829.75,798.66,838.91,940.45,…,1370.87,1274.36,920.54,1189.66
Viana do Castelo,1070.68,803.17,866.72,869.37,919.78,984.55,707.86,1604.62,1686.76,1636.67,2831.3
Vila Nova de Cerveira,1066.59,…,835.78,910.45,917.54,1058.94,…,1507.48,1816.85,1578.16,1686.7
Cávado,988.7,712.78,818.85,873.2,859.58,936.84,861.71,1471.32,1474.17,1454.37,1877.42
Amares,881.69,690.75,813.25,858.43,814.06,891.81,…,1171.63,1206.9,1142.1,1649.88
Barcelos,911.9,706.87,795.67,812.3,856.57,901.38,857.09,1390.83,1406.83,1305.28,1531.62
Braga,1076.61,719.82,847.57,986.98,891.62,971.76,797.5,1542.83,1538.65,1509.63,1970.44
Esposende,922.49,732.18,817.43,791.72,806.25,925.03,…,1348.52,1358.3,1358.61,1225.17
Terras de Bouro,869.95,673.9,718.54,694.03,745.22,931.74,//,2541.18,1333.82,1476.26,//
Vila Verde,850.61,734.49,778.96,780.44,782.27,832.88,…,1224.52,1224,1204.33,1075.55
Ave,952.13,749.27,789.23,801.12,845.64,980.97,972.2,1560.47,1531.25,1471.24,2029.68
Cabeceiras de Basto,771.87,639.02,695.17,717.08,745.13,770.39,//,1044.28,1041.76,1063.49,…
Fafe,827.76,674.55,752.21,750.74,771.66,862.9,935.61,1126.68,1204.55,1268.17,1414.89
Guimarães,945.42,785.53,783.15,802.57,843.52,958.74,1068.05,1576.26,1516.56,1407.12,2330.42
Mondim de Basto,774.94,696.53,705.01,694.47,707.78,802.42,//,896.2,1113.86,1768.46,//
Póvoa de Lanhoso,840.01,870.34,741.76,767.86,785.82,830.82,…,1127.58,1216.3,1220.04,1429.12
Vieira do Minho,805.52,…,769.71,726.26,727.45,824.13,//,1053.19,1159.62,968.54,…
Vila Nova de Famalicão,1036.83,738.41,829.56,830.56,900.52,1066.56,909.96,1776.58,1689.68,1630.06,2167.92
Vizela,843.03,704.47,762.36,780.67,789.96,903.51,…,1297.76,1284.34,1149.51,1145.23
A. M. Porto,1164.59,749.15,863.66,883.1,920.21,1090.36,1027.61,1797.16,1787.29,1736.43,2702.39
Arouca,888.79,727.75,774.15,812.89,820.36,889.21,…,1397.2,1305.02,1247.39,…
Espinho,976.95,660.53,809.83,825.9,831.73,942.62,…,1535.73,1509.15,1484.33,1116.14
Gondomar,972.43,736.5,812.18,860.73,844.8,944.68,1014.56,1406.76,1406.02,1408.69,1677.79
Maia,1210.91,739.25,827.09,923.12,953.91,1144.36,948.56,2001.53,1889.56,1771.06,2412.27
Matosinhos,1284.59,770.47,873.69,917.31,971.31,1140.81,924.07,1942.07,1858.25,1878.65,2816.33
Oliveira de Azeméis,1097.21,755.25,878.43,915.61,1000.57,1104.21,1004.75,1766.71,1872.51,1501.74,2521.93
Paredes,884.16,669.57,770.87,778.42,801.74,875.28,799.22,1346.68,1358.07,1358.98,2534.06
Porto,1374.45,809.1,873.55,903.92,930.62,1217.25,1190.87,1818.07,1872.01,1809.98,2750.99
Póvoa de Varzim,976.62,745.34,1090.97,833.5,814.84,923.8,744.25,1402.95,1485.81,1463.6,775.69
Santa Maria da Feira,1046.05,785.03,887.78,885.96,919.49,1040.11,1150.98,1589.75,1742.32,1646.57,1852.48
Santo Tirso,978.76,738.86,799.12,810.14,878.16,1001.86,953.44,1899.62,1623.03,1591.86,2280.39
São João da Madeira,1057.47,679.62,867.27,856.1,899.44,989.48,751.24,1734.99,1716.22,1637.78,2023.87
Trofa,1064.79,756.89,838.25,901.08,908.92,962.23,1171.95,1904.18,1827.85,1953.33,4463.61
Vale de Cambra,1107.94,782.73,912.64,935.24,985.92,1025.98,…,1985.64,1871.65,1375.34,//
Valongo,1039.12,780.62,887.65,875.96,893.2,1021.71,887.38,1556.02,1571.8,1561.67,1637.43
Vila do Conde,1102.42,776.42,952.18,901.09,957.31,1052.59,1101.82,1736.68,1739.15,1671.69,2984.54
Vila Nova de Gaia,1132.74,719.69,850.11,907.89,921.03,1050.23,954.73,1749.25,1715.87,1625.96,2224.52
Alto Tâmega,941.5,703.13,795.29,794.89,814.16,994.58,940.7,1454.52,1328.68,1311.88,1322.12
Boticas,837.18,…,736.5,760.46,770.44,867.24,//,…,1300.05,1286.54,//
Chaves,943.99,737.99,802.56,774.02,777.85,1015.11,752.62,1267.53,1302.89,1418.38,1498.51
Montalegre,853.93,702.93,753.03,742.98,770.06,933.05,//,991.46,1113.9,1069.45,…
Ribeira de Pena,1184.22,687.99,935.98,969.25,1144.86,1167.23,…,2985.14,1510.03,1468.39,//
Valpaços,838.01,708.97,708.75,760.18,778.11,842.9,//,1045.48,1182.75,1097.28,…
