,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Portugal,1166.88,867.16,983.69,1075.93,1172.1,1304.94,1394.89,1454.29
Continente,1170.25,868.44,986.25,1079.55,1176.32,1312.71,1402.25,1452.67
Norte,1056.6,821.62,911.09,986.67,1076.18,1159.57,1259.94,1354.1
Alto Minho,978.08,791.51,868.35,924.07,1022.65,1037,1109.71,1242.73
Arcos de Valdevez,882.1,763.64,783.3,863.73,1109.57,1004.68,971.83,849.27
Caminha,880.94,765.46,853.86,898.13,978.64,1960.19,894.64,1203.05
Melgaço,858.09,798.08,858.75,824.81,826.77,1051.46,786.6,1566.61
Monção,860.2,761.76,853.2,931.19,894.84,825.83,796.31,1131.65
Paredes de Coura,891.1,761.62,860.59,806.89,906.4,1188.17,659.66,2126.39
Ponte da Barca,846.94,741.97,810.75,798.04,1133.69,801.64,1323.64,1615.43
Ponte de Lima,895.63,772.31,824.26,895.18,924.03,830.89,1081.59,1084.72
Valença,919.23,833.24,932.67,997.41,884.81,844.76,1151.23,943.81
Viana do Castelo,1070.68,823.77,896.7,948.44,1101.23,1085.25,1170.32,1505.89
Vila Nova de Cerveira,1066.59,763.86,983.37,1029,834.42,1176.9,1126.67,1172.42
Cávado,988.7,797.74,877.22,950.85,1010.33,1100.08,1134.34,1309.15
Amares,881.69,759.21,783.72,814.01,905.06,1430.64,1077.44,1277.48
Barcelos,911.9,767,821.8,881.85,969.31,1023.11,1188.27,1058.29
Braga,1076.61,834.07,953.23,1033.86,1079.18,1160.1,1120.64,1361.75
Esposende,922.49,800.57,824.59,902.85,1077.36,1000.12,1035.71,1314.4
Terras de Bouro,869.95,671.49,719.62,770.47,799.74,//,…,2512.23
Vila Verde,850.61,772.95,841.74,854.25,916.01,792.8,768.71,1083.76
Ave,952.13,788.49,828.66,885.19,946.31,997.27,1033.47,1316.86
Cabeceiras de Basto,771.87,706.53,738.1,776.71,765.42,1009.83,…,1336.26
Fafe,827.76,741.33,780.37,790.31,904.36,1072.91,858.78,1232.68
Guimarães,945.42,807.61,835.6,906.65,944.39,1000.04,945.25,1265.24
Mondim de Basto,774.94,701.98,737.12,825.69,945.2,769.69,//,2036.96
Póvoa de Lanhoso,840.01,741.97,779.08,860.08,773.46,910.26,907.71,1514.2
Vieira do Minho,805.52,712.4,805.46,782.53,821,831.11,//,1445.52
Vila Nova de Famalicão,1036.83,809.67,876.99,923.76,994.43,1032.35,1159.36,1368.71
Vizela,843.03,768.03,748.12,788.24,936.81,850.14,828.92,1082.58
A. M. Porto,1164.59,872.86,988.45,1091.87,1210.03,1310.86,1396.89,1377.45
Arouca,888.79,748.23,820.61,924.08,975.59,1042.1,//,1560.33
Espinho,976.95,836.48,896.1,893.82,972.3,1004.02,955.25,1392.09
Gondomar,972.43,800.84,877.34,1012.45,1028.21,1165.85,971.44,1199.93
Maia,1210.91,928.49,1117.71,1204.04,1255.99,1394.99,1418.68,1198.18
Matosinhos,1284.59,930.79,1050.22,1187.65,1431.08,1290.93,1457.57,1514.56
Oliveira de Azeméis,1097.21,855.07,887.68,989.71,1088.23,1243.44,1368.32,1265.18
Paredes,884.16,757,795.3,874.23,896.52,970.21,1166.96,1484.17
Porto,1374.45,954.18,1115.88,1240.66,1417.78,1762.29,1583.46,1540.98
Póvoa de Varzim,976.62,788.49,882.09,1013.22,1059.68,939.56,1727.85,1261.88
Santa Maria da Feira,1046.05,850.43,978.53,1048.25,1126.23,1115.23,1378.34,1200.28
Santo Tirso,978.76,811.05,892.96,909.12,964.09,1108.62,1145.61,1361.85
São João da Madeira,1057.47,868.85,1022.99,1043.2,1114.07,1073.24,1155.59,1114.48
Trofa,1064.79,823.59,957.13,1048.67,1069.56,943.06,1495.51,953.88
Vale de Cambra,1107.94,870.17,1011.43,1062.94,1316.82,1018.93,1304.66,1199.16
Valongo,1039.12,836.73,910.46,1014.25,1042.97,1211.2,1184.14,1368.43
Vila do Conde,1102.42,834.43,993.46,1085.58,1375.62,1259.21,1192.77,1172.74
Vila Nova de Gaia,1132.74,868.56,936.62,1096.02,1203.85,1231.48,1244.84,1348.98
Alto Tâmega,941.5,741.77,829.27,865.98,1467.64,982.14,949.83,1226.44
Boticas,837.18,785.6,829.28,763.14,906.76,827.98,1008,889.94
Chaves,943.99,734.8,861.12,842.54,1685.63,1047.27,1010.77,1122.78
Montalegre,853.93,736.65,757.1,752.22,880.06,//,//,1951.54
Ribeira de Pena,1184.22,792.61,828.8,1156.58,1994.47,1023.47,//,1723.06
Valpaços,838.01,720.84,879.77,766.86,1104.24,838.23,//,1748.6
Vila Pouca de Aguiar,966.84,759.4,733.84,872.84,1515.6,849.98,865.53,1833.31
Tâmega e Sousa,858.44,748.37,792.37,828.36,879.13,917.95,894.82,1254.13
Amarante,878.15,759.4,818.03,875.27,962.6,998.92,675.44,1448.18
Baião,815.41,722.27,890.48,856.12,846.93,751.06,649.54,1770.35
Castelo de Paiva,827.58,757.23,758.33,830.39,910.82,831.95,//,1072.47
Celorico de Basto,763.96,725.69,731.75,774.34,739.08,657.75,1253.74,1472.56
Cinfães,844.33,754.58,812.54,830.38,908.96,880.44,…,1771.11
Felgueiras,845.4,752.52,781.18,827.57,882.03,899.72,859.6,1481.77
Lousada,821.67,751.08,803.06,819.21,822.19,900.83,850.21,903.04
Marco de Canaveses,856.61,739.15,780.67,863.52,948.69,907.29,789.6,1351.56
Paços de Ferreira,846.31,739.32,786.67,780.11,860.64,969.12,921.17,1038.72
Penafiel,939.89,761.71,797.28,843.14,845.3,988.74,958.22,1581.91
Resende,785.88,706.96,769.36,784.19,742.32,820.77,//,1866.54
Douro,936.21,763.24,854.58,909.02,956.32,941.66,965.24,1531.36
Alijó,886.1,768.85,852.93,883.83,957.53,965.27,1127.55,1647.45
Armamar,844.29,826.74,812.68,785.4,922.96,794.52,//,2597.52
Carrazeda de Ansiães,843.33,758.12,774.05,956.29,880.18,//,845.34,1605.1
Freixo de Espada à Cinta,857.49,726.24,814.95,877.1,816.5,//,//,1649.86
Lamego,897.59,768.8,761.85,939.04,1023.67,931.18,945.21,1338.98
Mesão Frio,916.56,762.27,787.4,1213.33,1742.33,731.22,1809.31,1898
Moimenta da Beira,810.47,739.96,856.36,795.01,864.65,753.88,…,1908.65
Murça,900.96,755.09,890.22,1006.2,800.92,1015.16,//,1188.19
Penedono,771.39,709.1,772.86,773.71,982.42,//,//,2122.06
Peso da Régua,981.5,748.6,838.8,866.79,1227.16,956.42,1142.8,1776.83
Sabrosa,928.92,799.47,939.91,980.96,932.14,1064.23,//,1276.04
Santa Marta de Penaguião,850.92,715.34,896.74,878.46,1710.71,…,//,1983.52
São João da Pesqueira,874.92,757.91,917.27,1016.71,814.13,1098.74,913.52,2076.29
Sernancelhe,804.13,711.53,850.94,707.13,872.96,1094.06,//,1693.51
Tabuaço,923.64,740.47,865.17,918.48,990.31,1050.37,//,1959.97
Tarouca,857.35,752.66,918.85,1087.67,772.48,810.05,//,2105.42
Torre de Moncorvo,852.52,771.83,758.8,851,814,940.47,803.35,1726.2
Vila Nova de Foz Côa,927.64,749.36,900.07,964.57,1066.51,982.99,697,1401.74
Vila Real,1037.51,774.79,898.38,930.62,992.27,967.63,937.68,1511.52
Terras de Trás-os-Montes,918.08,759.33,844.93,871.26,933.05,948.32,935.64,1393.02
Alfândega da Fé,815.9,729.2,850.7,830,…,719.15,//,1720.56
Bragança,980.62,784.97,834.29,875.25,937.16,1667.29,995.86,1335.65
Macedo de Cavaleiros,856.9,728.68,896.71,814.8,884.33,858.91,1008.06,1447.49
Miranda do Douro,873.26,725.9,814.81,848.81,…,874.23,…,1878.49
Mirandela,927.85,776.5,917.94,863.27,974.12,1243.53,872.79,1430
Mogadouro,844.35,751.41,800.98,970.25,849.92,786.3,//,1844.58
Vila Flor,866.92,743.89,758.48,986.49,713.3,839.4,872.43,1390.4
Vimioso,838.23,717.32,788.19,906,826.18,1001.07,//,1563.94
Vinhais,782.24,732.81,730.47,826.93,685.25,1004.11,//,1328.96
Centro,1032.83,833.11,935.89,1001.02,1053.63,1134.77,1153.83,1285.52
Oeste,984.69,822.45,920.08,969.88,1003.65,1137.27,1176.24,1176.53
Alcobaça,968.38,820.3,924.15,964.54,990.78,1164.39,865.75,1204.97
Alenquer,1131.78,862.22,955.89,1044.49,1137.97,1261.19,1289.17,1299.32
Arruda dos Vinhos,1080.24,817.61,1045.3,1061.47,1190.19,1597.85,1141.63,1264.28
Bombarral,902.64,807.61,914.66,958.25,902.6,866.09,800.95,1230.38
Cadaval,943.74,790.85,988.23,921.11,943.24,906.23,1660.73,1695.5
Caldas da Rainha,942.99,802.2,877.46,914.06,962.56,980.82,1322.25,1034.15
Lourinhã,904.18,837.45,935.06,889.28,857.28,1088.68,760.26,1500.37
Nazaré,881.09,732.77,886.77,866.19,1038.37,941.22,935.31,1125.01
Óbidos,966.82,850.99,916.97,977.99,1141.46,969.02,1669.52,1001.57
Peniche,904.2,822.48,923.35,899.28,976.55,952,873.18,1117.2
Sobral de Monte Agraço,949.61,816.9,859.78,987.43,1107.14,1876.25,1079.21,1123.26
Torres Vedras,1000.12,837.64,906.63,1008.95,973.96,1180.19,1037.54,1258.98
Região de Aveiro,1091.01,858.68,978.13,1058.95,1108.16,1154.45,1175.32,1284.68
Águeda,1031.59,909.8,985.57,1046.3,1026.02,1065.51,1172.29,1251.97
Albergaria-a-Velha,1079.76,885.93,1048.79,1057.14,1060.68,1132.21,1134.26,1375.16
Anadia,1006.54,820.03,966.06,1015.37,942.19,1047.23,801.27,1196.29
Aveiro,1196.5,867.28,1005.18,1126.23,1195.91,1373.15,1275.32,1342.54
Estarreja,1224.35,832.93,985.62,968.68,1351.19,1468.45,1231.32,1422.05
Ílhavo,1094.56,859.54,1007.5,1154.6,1427.26,1070.7,1149.51,1181.09
Murtosa,890.8,790.01,910.09,906.44,961.89,798.91,907.11,1789.26
Oliveira do Bairro,1008.38,893.11,958.37,1066.87,995.96,1027.92,1121.93,1559.93
Ovar,1032.42,822.32,944.53,992.88,997.28,1062,1118.78,1171.8
Sever do Vouga,1000.21,827.8,937.62,1031.45,1009.82,1212.4,//,1525.2
Vagos,993.29,822.91,864.17,1041.62,1042.97,1096.96,1009.45,1102.34
Região de Coimbra,1052.5,839.92,926.57,999.32,1075.62,1135.44,1211.32,1328.1
Arganil,851.37,766.35,878.02,790.64,1012.59,759.13,1071.12,949.46
Cantanhede,1051.27,846.55,988.57,1016.61,1146.13,1004.38,1096.16,1308.76
