,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Crato,28.6,5,801.1,9.8,3.7,-3.7,3,9.6,3,19.6,21.1
Elvas,37.6,9.7,885.2,12.6,6.2,-0.3,6.3,11.7,3.2,16.3,21.6
Fronteira,52.3,5.2,911.3,11.9,5.1,1.5,10.6,19.8,6.2,18.9,25
Gavião,24.7,2.1,821.6,7.9,2.4,1.2,21.6,30,13.3,22.8,31.2
Marvão,48.9,9.7,786.5,13.6,6.1,1.2,6.7,14.6,6.2,16.2,19.3
Monforte,39.8,12.7,979.9,17,4.4,-0.8,9.8,16.7,5.6,24.2,29.7
Nisa,36.5,4.1,821.8,9.7,7.8,-1.1,8.7,24.9,5.3,11,13.9
Ponte de Sor,24.7,18.5,990.9,13.9,6.2,1.8,14.4,11.9,5.4,24.5,34.3
Portalegre,25.2,21.7,1003,19.1,5.9,1.9,9.6,16.5,13.9,21.6,27.3
Sousel,39.5,0.5,854.9,7.8,5.6,-1.6,9.1,11.5,0.8,17.3,18.7
Alentejo Central,28.3,21.3,1020.7,15.4,6.5,0.1,9.2,16,6.4,22.5,28.7
Alandroal,36,16.5,837.7,8.8,4.9,-0.6,2.3,19.6,1.4,16.4,19.2
Arraiolos,36.3,2.9,955,12.8,6.8,-2,11.5,12.4,11.1,25.9,32.5
Borba,39.5,13.3,931.7,10.2,4.7,1,6.7,19.8,6.6,20.1,21.6
Estremoz,33.2,13.9,970.7,12.2,6.9,0.3,10.6,14.5,3.1,15.6,26.7
Évora,20.5,35.9,1098.8,19.5,7,0.3,9.2,16.3,6.3,24.8,32.5
Montemor-o-Novo,38.2,14.3,956.7,13,5.5,-0.2,8.3,15,6.5,17.3,21.7
Mora,34.2,0.9,916.7,11.1,4,0.7,10.6,15.2,11.2,15.7,25.2
Mourão,54,3,853.5,10.1,4.5,-2.5,4.8,23.3,4.4,19.6,22.2
Portel,38.2,1.1,943.2,11.2,7.1,1.2,8.3,21.9,6.8,22,24.7
Redondo,42.2,3.3,895.8,11.6,5,-2.4,1.6,18.5,7,24.3,25.7
Reguengos de Monsaraz,33.2,7,934.7,12.6,4.3,-0.4,7.4,13,8.8,21.4,27.7
Vendas Novas,26.3,12,1014.6,12.8,9.1,1.6,11.5,17.9,9.6,26.1,32.1
Viana do Alentejo,44.3,1.1,891,11,6.1,0.8,7.9,12.2,4.4,13.5,17.8
Vila Viçosa,27.5,5.4,1041.2,12.2,4.5,-1.8,10.3,13,10.1,10.6,20.9
Algarve,25.8,23.2,999,14.6,10.1,-0.2,6.1,13.9,2.2,20.7,27.6
Albufeira,20.3,23.1,975.7,10.9,12.8,-0.3,6.1,11.4,1.2,15.1,26.1
Alcoutim,30.3,4,819.3,13.7,2.3,-2.8,5.5,16.1,5.7,16.1,23.8
Aljezur,46,2.5,836.8,9.8,6.6,-0.2,3.6,11,7.8,15,18.1
Castro Marim,32.4,3.6,850.3,10.3,7.6,-1.1,4.4,11.8,2.9,17.8,20.8
Faro,20.7,33,1138.1,24.2,8.1,-0.8,7.3,20.6,7.3,26,32.3
Lagoa,25,22.4,987,12.4,11.4,2.1,5.9,12,3.1,18.7,27.3
Lagos,33.9,12.9,944.2,12.3,10.7,1.3,4.3,12.1,1.2,16.7,23.6
Loulé,23.7,25.4,1029.2,13.1,11.4,-1.3,6.8,11.8,0.9,17.7,27.5
Monchique,45.3,1.2,868.8,12.4,7.3,-3.6,5.3,24.6,6.9,21.2,26
Olhão,29.9,13.5,913.4,14.1,7,0.4,4.3,8,0.7,19.6,23.3
Portimão,22.8,33.4,1013.3,16.9,9.8,-0.1,6.9,15.3,1.3,22.3,30.8
São Brás de Alportel,40.8,13.6,933.9,17.6,6,0.5,2.6,20.5,7.7,23.3,27.3
Silves,35,11,935.7,11.3,9.1,0.7,4.4,14.2,3.2,24.4,27.6
Tavira,33.2,18,885.8,12.8,8.4,0.9,3.5,11.5,3.7,18.2,23.6
Vila do Bispo,34.1,4.3,960.2,11.2,10.9,-3.5,3.4,19,3,17,20.4
Vila Real de Santo António,33.1,15.7,912.2,7.9,7.6,0.4,8.5,15.6,6,19,23.9
R. A. Açores,21.6,21.2,1065.4,13.8,5,0.1,8.7,25.5,2.9,28.7,35.4
Santa Maria,30,29.4,1917,12.9,3,-2.9,25.4,90.6,28.6,79.8,101.2
Vila do Porto,30,29.4,1917,12.9,3,-2.9,25.4,90.6,28.6,79.8,101.2
São Miguel,18.6,22.1,1071.8,14.3,5,0.3,8.7,22.6,2.1,28.4,37.2
Lagoa (R.A.A.),20.5,10.7,937.3,11,4.1,-3.3,2.6,13.4,5.1,25.1,31.2
Nordeste,33.2,3.9,843,10.9,2,-1.5,3,27.2,6.7,19.6,21.4
Ponta Delgada,18.3,25.1,1147.4,16.7,5.9,1.3,11.5,24.5,2.8,28.6,39.5
Povoação,20.5,7.8,895.1,7.1,4.4,-0.9,12.2,21.3,25.6,15.3,31.5
Ribeira Grande,15.8,21.5,975.2,10.6,2.8,-1,5.7,16.1,7.6,26.9,31.7
Vila Franca do Campo,25.4,18.4,826.4,7.6,3.6,0.5,1.5,11.9,6.1,20.4,26.4
Terceira,23.5,22.1,1018.1,14.8,4.7,-0.6,4.6,20.1,3.9,26.6,31.2
Angra do Heroísmo,23.9,23.5,1006,16.7,5.1,-1.4,1.6,19,4.2,29.7,33.9
Vila da Praia da Vitória,22.6,18.6,1047.1,10.4,4,1.3,11.4,29.6,3.4,20.1,26.8
Graciosa,27.5,16,934.2,7.3,3.8,-0.4,6.5,31.4,3.8,17.9,27.8
Santa Cruz da Graciosa,27.5,16,934.2,7.3,3.8,-0.4,6.5,31.4,3.8,17.9,27.8
São Jorge,26.3,10.7,926.2,9.8,5.8,0.9,5,25.3,1.6,15.2,20.9
Calheta (R.A.A.),18.8,2.5,864.6,10.8,6,1,4.6,16,3.5,20,27.7
Velas,30.5,15.4,960.8,9.3,5.8,0.8,4.7,28.2,0.5,15.4,20.4
Pico,35.1,11.1,929.9,8.9,5.5,0.7,6.5,23.1,3.4,10.5,19.1
Lajes do Pico,36.6,3.8,851.3,10.5,4.9,-1,4.5,24,2.4,8.9,16.3
Madalena,32.4,12.5,917.4,8.2,5.4,2.5,4.2,16.5,5.2,10.7,16.6
São Roque do Pico,40.1,13.8,1022,9.3,6,-2.1,9.5,38,9.9,12.5,28.3
Faial,25.8,20.2,1090.1,14,5.9,-1.2,11.1,25,2.3,31.2,32.8
Horta,25.8,20.2,1090.1,14,5.9,-1.2,11.1,25,2.3,31.2,32.8
Flores,22.3,23.8,1051.6,8.2,6.1,0.3,16.8,35.4,2.4,37.5,34.1
Lajes das Flores,45.4,6.7,963.1,10.9,7.2,-8.8,12.8,36.2,6.6,19.7,20
Santa Cruz das Flores,14.3,29.7,1082.3,7.3,5.7,3.8,17.4,35,1.6,45.8,38.9
Corvo,22.1,50,1444.7,8.1,4.7,27.3,19.4,42.8,23.9,17.7,37.9
Corvo,22.1,50,1444.7,8.1,4.7,27.3,19.4,42.8,23.9,17.7,37.9
R. A. Madeira,20.5,27.5,1096.4,14.9,4.9,0.6,7.5,17.2,3.1,27,35.5
Calheta (R.A.M.),15.5,46.7,1141.9,8.4,4.2,-1.3,12.8,30.6,20.9,25.6,36.4
Câmara de Lobos,28.9,6.2,950.9,9.2,3.5,-3.3,4.6,18,9.6,24.5,30.9
Funchal,18.7,31.9,1136,17.9,5.4,1.1,7.3,13.4,3.6,27.8,37.8
Machico,23.3,12,1040,11.9,4.4,1.9,9.8,15.3,2.2,26.8,32.9
Ponta do Sol,40,25,834.5,6.2,3.3,-1.5,4.2,21.9,3.3,7.2,19.5
Porto Moniz,21.3,4.2,788.8,4.2,2.7,-3.9,9.5,33.8,14.3,9.8,26.9
Ribeira Brava,24.4,14.4,895.3,11.4,3.7,3.5,6.6,15.4,1.1,17.7,23.9
Santa Cruz,20.4,21.6,1084.3,9.8,3.8,0.5,7.2,30.7,7.3,26.4,30.3
Santana,33.9,11.2,862.4,8.3,1.6,0,10.2,15.9,2,24.1,31.4
São Vicente,41.5,4.1,854.1,8.3,2.9,-1.9,4.7,28.8,2.6,14.4,22.6
Porto Santo,19.5,29.4,1142.9,5.2,7.4,-2.6,13.1,41,9.4,33.9,38.9
