,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Portugal,34,3.6,8.6,30.6,3.3,7.5
Continente,34,3.6,8.6,30.6,3.3,7.5
Norte,33,3.4,8.1,29.8,3.2,7.1
Alto Minho,31.3,3.4,7.8,28.8,3.2,7
Arcos de Valdevez,30.7,3.3,7.9,28.4,3.2,7.5
Caminha,33.6,3.8,9.3,30.6,3.5,8.2
Melgaço,29.4,3.3,7.6,27,3.1,7
Monção,30.4,3.3,7.7,27.9,3.2,7.1
Paredes de Coura,28.4,3.1,6.1,26.4,2.9,5.7
Ponte da Barca,30.6,3.2,7.8,28.5,3.2,7.6
Ponte de Lima,29.4,3,6.5,27.2,2.9,6.1
Valença,28.7,3.1,7,26.7,3,6.6
Viana do Castelo,32,3.5,8,29.2,3.3,7
Vila Nova de Cerveira,29.7,3.2,7.4,27.4,3,6.8
Cávado,32.3,3.3,7.9,29.4,3.1,7
Amares,30.4,3.1,7.3,28,3,6.8
Barcelos,29,2.8,6,26.7,2.7,5.5
Braga,33.6,3.7,8.9,30.4,3.4,7.8
Esposende,33.3,3.4,7.9,30.1,3.2,7
Terras de Bouro,29.6,3.3,7.5,27.5,3.2,6.9
Vila Verde,29.3,3.1,7.3,27.3,3,7
Ave,29.7,2.9,6.4,27.3,2.8,5.8
Cabeceiras de Basto,30.2,3.1,7.6,28,3,7.1
Fafe,29.9,3,6.8,27.7,2.9,6.4
Guimarães,29.9,2.8,6,27.2,2.7,5.5
Mondim de Basto,29.4,3.1,6.9,27.2,3,6.4
Póvoa de Lanhoso,29.3,3,7.4,27.2,2.9,7.1
Vieira do Minho,30.1,3.3,7.3,27.9,3.1,6.9
Vila Nova de Famalicão,29.5,2.9,6.2,27,2.8,5.6
Vizela,27.1,2.5,4.8,25,2.4,4.5
A. M. Porto,34.1,3.6,8.4,30.5,3.3,7.2
Arouca,28.9,2.9,6.4,26.7,2.8,6
Espinho,33.9,3.5,8.6,30.3,3.2,7.3
Gondomar,31.2,3.3,7.5,28.5,3.1,6.7
Maia,33.9,3.9,8.9,30.5,3.5,7.6
Matosinhos,34.5,3.8,8.9,30.8,3.4,7.4
Oliveira de Azeméis,30,3,6.1,27.3,2.8,5.5
Paredes,30.4,3.1,8.2,28.2,3,7.6
Porto,39.8,4.9,12.7,35.1,4.1,10.2
Póvoa de Varzim,33.6,3.6,8.6,30.6,3.4,7.7
Santa Maria da Feira,30.6,3.1,6.8,27.9,2.9,6.2
Santo Tirso,29,2.7,5.6,26.4,2.6,5.1
São João da Madeira,32.2,3.2,7.3,29,3,6.4
Trofa,29.2,3,6.2,26.8,2.8,5.6
Vale de Cambra,30.1,3.1,6.4,27.5,2.9,5.7
Valongo,30.9,3.4,7.7,28.4,3.1,6.8
Vila do Conde,32.5,3.4,7.6,29.4,3.2,6.7
Vila Nova de Gaia,33.6,3.6,8.4,30.2,3.3,7.2
Alto Tâmega,32.7,3.6,8.6,30,3.4,7.9
Boticas,30.3,3.2,7.3,28.3,3.2,7.1
Chaves,33.9,4,9.7,30.9,3.6,8.5
