,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Portugal,9280,1139,8142,18265,11906,2241,16024
Continente,9345,1158,8187,18304,11928,2268,16037
Norte,8256,893,7363,16681,11125,1804,14877
Alto Minho,7531,681,6851,15061,10562,1361,13700
Arcos de Valdevez,6317,487,5829,12684,9251,979,11705
Caminha,8226,866,7360,15769,10551,1661,14108
Melgaço,6119,492,5627,13078,9747,1052,12027
Monção,6569,545,6024,13854,10092,1149,12705
Paredes de Coura,6746,457,6289,13409,10152,908,12501
Ponte da Barca,6514,468,6046,12485,9145,896,11588
Ponte de Lima,6549,477,6072,13711,9945,1000,12711
Valença,7246,542,6705,13778,10500,1030,12748
Viana do Castelo,8773,916,7857,17244,11922,1800,15445
Vila Nova de Cerveira,7641,660,6981,15240,11139,1316,13924
Cávado,8118,830,7288,16582,11197,1696,14887
Amares,6796,554,6243,14316,10156,1166,13150
Barcelos,6900,531,6368,14461,10415,1114,13347
Braga,9696,1164,8532,18980,12600,2278,16702
Esposende,8021,874,7147,16410,10759,1789,14621
Terras de Bouro,6063,429,5634,12780,9464,904,11876
Vila Verde,5903,411,5491,13224,9729,921,12303
Ave,7706,649,7057,15224,10927,1283,13941
Cabeceiras de Basto,5596,394,5202,12889,9224,907,11982
Fafe,6961,514,6448,13701,9855,1011,12691
Guimarães,8297,741,7556,15783,11243,1410,14373
Mondim de Basto,5141,346,4795,12019,8685,809,11210
Póvoa de Lanhoso,5833,416,5417,13160,9617,938,12222
Vieira do Minho,5846,434,5412,12733,9306,945,11788
Vila Nova de Famalicão,8207,718,7489,16134,11683,1411,14723
Vizela,7423,530,6894,14427,10742,1030,13398
A. M. Porto,9389,1167,8222,18421,11971,2289,16131
Arouca,6748,503,6246,13750,10069,1025,12726
Espinho,9660,1182,8478,17849,11625,2184,15664
Gondomar,8120,775,7345,16435,11576,1569,14866
Maia,10050,1296,8754,20683,13725,2667,18015
Matosinhos,10500,1440,9060,20562,13360,2821,17741
Oliveira de Azeméis,8683,824,7859,16591,11764,1574,15017
Paredes,6188,439,5749,13122,9507,931,12191
Porto,14035,2617,11418,24181,13431,4509,19672
Póvoa de Varzim,8152,857,7295,16326,10687,1717,14609
Santa Maria da Feira,7751,704,7046,15785,11159,1435,14350
Santo Tirso,7992,683,7309,15409,11168,1317,14092
São João da Madeira,9525,1027,8498,17184,11515,1852,15332
Trofa,8031,703,7328,15856,11533,1389,14467
Vale de Cambra,8621,808,7813,16501,11652,1547,14954
Valongo,8031,756,7276,16681,11906,1569,15111
Vila do Conde,8502,901,7602,17063,11545,1807,15256
Vila Nova de Gaia,9267,1141,8126,18489,12214,2276,16213
Alto Tâmega,6268,562,5706,13886,9396,1245,12641
Boticas,5410,368,5042,11957,8779,813,11145
Chaves,7031,726,6305,15733,10252,1626,14107
Montalegre,6080,514,5567,12633,8943,1067,11565
Ribeira de Pena,5805,422,5383,12535,9171,910,11625
Valpaços,5185,364,4821,11750,8611,824,10926
Vila Pouca de Aguiar,5864,461,5403,13036,9175,1026,12010
Tâmega e Sousa,5992,411,5581,12965,9418,889,12076
Amarante,6238,508,5730,13496,9302,1099,12397
Baião,5051,323,4728,12280,9251,786,11494
Castelo de Paiva,6001,353,5648,12684,9819,747,11937
Celorico de Basto,4823,306,4517,11829,8781,750,11080
Cinfães,4826,290,4536,11261,8539,676,10586
Felgueiras,6687,455,6232,13405,9729,912,12493
Lousada,6327,380,5947,12896,9564,774,12122
Marco de Canaveses,5393,361,5033,12480,9188,835,11645
Paços de Ferreira,6019,374,5645,12920,9560,802,12118
Penafiel,6492,499,5993,13706,9811,1053,12653
Resende,4829,337,4493,11449,8324,798,10651
Douro,6726,636,6090,15053,9980,1424,13629
Alijó,5871,389,5482,12113,8821,803,11310
Armamar,5367,402,4965,13146,9310,985,12162
Carrazeda de Ansiães,5588,426,5161,13031,9124,995,12037
Freixo de Espada à Cinta,6457,474,5983,13417,9688,985,12432
Lamego,7177,731,6446,15807,10194,1609,14198
Mesão Frio,5374,367,5007,12292,9114,840,11452
Moimenta da Beira,5682,483,5199,14183,9992,1206,12976
Murça,5807,496,5311,12865,8859,1099,11767
Penedono,5778,421,5357,12112,//,883,11229
Peso da Régua,6508,578,5930,14624,9967,1299,13325
Sabrosa,5793,381,5412,12856,9564,845,12011
Santa Marta de Penaguião,5713,360,5353,11592,8457,731,10860
São João da Pesqueira,5332,429,4902,12675,8936,1020,11655
Sernancelhe,5157,374,4783,12306,9015,893,11413
Tabuaço,4352,327,4025,12462,8909,936,11526
Tarouca,4974,369,4605,13552,9625,1005,12547
Torre de Moncorvo,5922,498,5425,13515,9704,1135,12379
Vila Nova de Foz Côa,6523,570,5953,13573,9539,1186,12387
Vila Real,8850,1036,7814,18880,12020,2209,16671
Terras de Trás-os-Montes,7457,737,6719,15774,10419,1560,14214
Alfândega da Fé,6131,494,5637,13121,9172,1057,12064
Bragança,9166,1069,8098,18687,12340,2178,16509
Macedo de Cavaleiros,6471,578,5893,14144,9385,1264,12881
Miranda do Douro,7246,637,6609,15296,10785,1345,13951
Mirandela,7180,693,6486,15708,10447,1517,14191
Mogadouro,6858,616,6242,14406,9763,1294,13112
Vila Flor,5944,474,5470,13463,9480,1075,12388
Vimioso,6677,528,6149,13411,9540,1061,12350
Vinhais,5941,413,5528,12416,9067,864,11552
Centro,8458,879,7579,17130,11790,1781,15349
Oeste,8253,831,7422,16513,11343,1663,14851
Alcobaça,7990,709,7281,15811,11501,1403,14407
Alenquer,8428,826,7602,17126,12071,1678,15448
Arruda dos Vinhos,9115,1150,7965,20736,13784,2617,18119
Bombarral,7219,691,6529,15162,10399,1451,13712
Cadaval,6836,619,6217,15114,10582,1368,13746
Caldas da Rainha,8470,906,7564,16522,11071,1767,14755
Lourinhã,7681,745,6935,15681,10758,1522,14159
Nazaré,8364,764,7599,15297,10963,1398,13899
Óbidos,7923,793,7130,16041,10875,1605,14436
Peniche,7828,715,7113,15720,11180,1436,14284
Sobral de Monte Agraço,8177,853,7324,17218,11567,1796,15422
Torres Vedras,8813,949,7864,17116,11388,1843,15273
Região de Aveiro,8908,957,7950,17553,11987,1886,15667
Águeda,8505,789,7716,16635,11577,1543,15092
Albergaria-a-Velha,8310,714,7597,16221,11891,1393,14828
Anadia,8403,852,7551,16128,11111,1635,14493
Aveiro,11133,1514,9619,20974,13755,2853,18121
Estarreja,8313,783,7531,16396,11814,1544,14852
Ílhavo,9257,1055,8202,18241,12378,2079,16162
Murtosa,6898,660,6238,14772,10138,1414,13359
Oliveira do Bairro,7214,606,6609,15988,11421,1343,14645
Ovar,8866,908,7958,17252,12000,1767,15485
Sever do Vouga,7395,590,6805,14917,11050,1190,13727
Vagos,6992,622,6370,14984,10571,1333,13651
Região de Coimbra,9414,1116,8297,18743,12499,2223,16520
Arganil,6618,451,6167,13731,10092,936,12795
Cantanhede,7339,663,6676,15476,10817,1398,14078
Coimbra,12905,2000,10904,23620,15038,3661,19959
Condeixa-a-Nova,8578,884,7694,19081,13575,1967,17114
Figueira da Foz,9618,1130,8488,18954,13013,2226,16728
Góis,6665,457,6209,13647,10198,935,12712
Lousã,7761,687,7073,16444,12111,1457,14987
Mealhada,8464,776,7688,17178,12508,1575,15603
Mira,7530,739,6791,15592,10683,1530,14062
Miranda do Corvo,6866,524,6342,15224,11333,1162,14062
Montemor-o-Velho,7871,674,7197,16802,12379,1439,15363
Mortágua,7214,573,6641,14302,10517,1137,13166
Oliveira do Hospital,6770,482,6289,14234,10263,1013,13222
Pampilhosa da Serra,5928,378,5550,13870,10746,885,12986
Penacova,6710,440,6269,13806,10524,906,12900
Penela,7057,588,6468,14371,10024,1198,13173
Soure,8225,696,7530,16533,12405,1398,15135
Tábua,6397,439,5959,13390,9814,918,12472
Vila Nova de Poiares,6804,500,6304,14009,10389,1030,12979
Região de Leiria,8634,869,7764,17319,12391,1744,15575
Alvaiázere,5937,432,5505,13455,9843,979,12477
Ansião,6553,484,6068,14294,10561,1057,13238
Batalha,8129,723,7405,16676,12166,1483,15192
Castanheira de Pêra,7052,478,6574,13415,10075,909,12505
Figueiró dos Vinhos,6558,501,6058,13578,9868,1036,12542
Leiria,9654,1087,8566,18809,13184,2119,16690
Marinha Grande,9842,1051,8791,18623,13766,1989,16634
Pedrógão Grande,6564,441,6123,12730,9394,856,11874
Pombal,7177,601,6576,15433,11515,1293,14140
Porto de Mós,7612,623,6990,15609,11514,1277,14332
Viseu Dão Lafões,7507,732,6775,16436,11279,1602,14834
Aguiar da Beira,5875,390,5485,13078,9760,868,12209
Carregal do Sal,6192,469,5723,14622,10727,1107,13515
Castro Daire,5258,347,4911,12266,9097,810,11457
