,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Castelo de Paiva,21.7,17.5,927.3,8.5,6.7,1,6.4,9,3,18.1,23.1
Celorico de Basto,33.2,4.3,881.4,10.6,7,0.9,5.7,10.2,2,11.6,15.2
Cinfães,19.2,1.1,1138.3,4.9,43.1,7.3,12.4,12.4,12.9,6.1,14
Felgueiras,19,6.7,955.6,7.6,8.6,-0.8,7.7,10.1,3.1,15.8,21.2
Lousada,23.3,10.1,927.7,8,11.5,-0.4,8.7,7,3.8,13.5,19.2
Marco de Canaveses,24,3.3,959.9,9.2,15.6,1.2,7.7,11.1,1.3,11.4,15.4
Paços de Ferreira,24.6,17,957.5,9.8,8.4,1.4,5.5,13.2,8.5,17.5,20.9
Penafiel,21.8,21.5,1063.7,16,9,0.7,4.1,21.9,7.6,29.7,33.8
Resende,38.6,2.1,973.8,14.6,10.9,-5.1,9.3,19.3,15.1,11,20.3
Douro,31.4,15.6,1031.5,21.1,7.8,0.2,3.7,20.9,2.8,24.4,28.5
Alijó,36.9,7.2,987.1,17,5.2,0.9,6.7,12.9,7.6,21.7,24.9
Armamar,45.3,0.9,970.9,14.3,5.6,-0.1,7.4,16.8,8.5,17.7,22.5
Carrazeda de Ansiães,55.9,7.3,919.8,13.3,5.2,-0.8,2.3,19,5.4,17.6,22.1
Freixo de Espada à Cinta,19.7,3.9,932,18.8,3.9,0.7,1.8,19,3.3,33.2,24
Lamego,29.5,13,984.5,17.8,8.2,1.2,4.6,15,4.7,18.5,25.9
Mesão Frio,28.3,2.4,982.7,9.7,12,3.8,13.8,22.4,14.5,14.6,22.1
Moimenta da Beira,40.6,1.6,920.8,18,6.1,-0.5,6.5,12.1,2.6,17.2,23.3
Murça,31.8,8.9,961.4,17.3,6,0.7,1,11.3,4.7,18.7,22.4
Penedono,46.3,2,857.2,11.4,3.7,0.3,0.3,20.2,6.4,15.5,16.4
Peso da Régua,34.6,16.6,1042.8,20.1,4.2,-1.6,9.1,29.8,11.2,19.4,25.8
Sabrosa,34.5,3.8,1037.6,21,9.3,1.1,3.9,13.9,9.3,27.5,25.6
Santa Marta de Penaguião,33.5,1.2,897.9,16.3,5.6,0.2,2,17,1.9,20.7,21.5
São João da Pesqueira,35.1,4.3,1015.8,16.7,6.3,-0.1,6.1,15.3,1.1,24.6,26.9
Sernancelhe,37.6,3.6,906.4,12.2,10.1,1.2,1.7,15.9,3.2,17.7,18
Tabuaço,30.2,8.1,1023.7,19.1,6.8,-1.2,4.5,17.8,3.8,22.9,28.1
Tarouca,28,0.5,908.1,10.7,15,-0.4,5,15.7,6.8,13.1,18.4
