,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Chamusca,32.7,19.4,1050.9,15.1,11.2,2.2,6.2,6.9,5.7,18.7,22.1
Coruche,31.7,15.8,1070.9,12.5,10.3,-0.2,7.7,12.5,5.1,17.4,19.3
Golegã,25.5,28.4,1019.9,16.2,8.5,-1.9,8.5,16,5.8,18.1,20.1
Rio Maior,22.2,24.9,1129.6,15.3,10.8,0.4,8.8,11,5.8,19.7,29
Salvaterra de Magos,29.9,3.9,1044.6,10.9,11.6,0.1,8.1,12.5,2,19.8,22.2
Santarém,19.7,26.2,1152.1,21.8,11,-5.7,6.3,13.9,5.2,24.1,29.2
Alto Alentejo,26.8,18.8,1078.9,16.3,7.8,1.2,8.8,14.6,7.4,21.3,27.8
Alter do Chão,32.4,2.4,981.7,14.5,14.5,5.3,5.4,7.1,4.8,17.5,20.5
Arronches,36.3,1.4,949.8,17.5,8.8,0.5,2.1,14.7,4.7,11.6,13.9
Avis,24.4,31.2,1039.7,10.9,7.3,1.1,9.1,13.5,8.5,19.5,25.8
Campo Maior,9,51.9,1347.7,20.2,5,0.5,7.8,15.8,7.7,26.3,46.3
Castelo de Vide,30,19.3,947,11.8,6.1,-0.9,4.5,10.6,4.3,14.2,16.1
Crato,34.1,5.4,910.8,12.5,6.9,4.1,1.8,8.2,6.4,15.3,16.2
Elvas,34.5,9.4,1031.7,15.6,9.7,2.9,6.7,8,1.4,22.9,23.1
Fronteira,50.1,4.6,1010.3,12.9,10.3,-4.3,11.7,15.7,3.6,21.3,27.6
Gavião,21,0.9,858.2,11.7,5.7,1.1,11.9,14.4,9.2,11.6,20.7
Marvão,36.5,3.7,871,16.4,7.4,0.8,6.3,9.7,9,13.5,16.4
Monforte,32.7,12.7,1074.1,20,5.2,-1.1,9.7,16.3,5.2,22.6,25.9
Nisa,34.8,3.6,885.9,12.8,7.4,0.9,4.3,20.6,4.1,12.8,13.2
Ponte de Sor,23.2,19.4,1086.1,14.2,7.6,2.1,11.9,11.5,7.5,21.2,33.6
Portalegre,24.7,18.9,1101.8,19.4,7.7,0.2,8.2,15.6,13.4,21.1,26.6
Sousel,39.1,0.8,1023.3,11,10.8,0.8,8.9,16.3,4.1,17.5,17.3
Alentejo Central,26.7,24.4,1127.3,18.2,10.5,-0.1,7.9,14.4,5.2,22.8,26.9
Alandroal,43.5,17,1020.1,10.8,7.2,-0.6,9,45.3,13.4,28.8,38
Arraiolos,36,1.7,1045.3,13.6,9.4,-0.4,9.1,14.1,9.6,21.7,26.5
Borba,43.7,12.5,1016,11,9.5,1.3,6.6,16.1,5,17.4,19
Estremoz,30.8,13.3,1050.4,15,10.3,0.8,5.9,11.9,0.1,15.7,21.8
Évora,19,40,1215.6,23.2,11.4,-0.5,7.7,14.6,5.4,25.6,30.2
Montemor-o-Novo,36.7,14.7,1036.1,14.3,9.2,1.5,7.4,10.5,5.6,16.3,21.8
Mora,30.8,0.9,1028.8,13.7,11.6,-1.2,10.9,12.1,5.6,17.7,24.1
Mourão,35,1.7,1001.8,17.7,14,7.7,4.5,15.2,4.3,18.4,22.1
Portel,40.4,0,1026.5,12.1,6.5,-1.7,9.3,19.1,9.5,18.6,21.6
Redondo,38.8,2.8,1055,12.8,7.9,-0.8,5.5,14.7,7.1,23.7,29.8
Reguengos de Monsaraz,30.3,9.7,1059.3,15.3,11.2,0.4,8.8,11.7,6.1,19.3,28.6
Vendas Novas,24.5,21.3,1080.5,12.7,9.2,-1.7,9.8,16,6.2,21.4,26.7
Viana do Alentejo,37.4,0.7,968.2,14.4,10.4,-0.1,4.1,12.4,2.3,16.4,18.2
Vila Viçosa,29.3,3.7,1119.1,13.3,10.8,1.5,9.1,12.5,9,11.3,21.3
Algarve,26,22.4,1106.3,16,12.4,-0.7,6,11.2,1.1,19.8,25.9
Albufeira,22.6,20,1092.3,12.4,13.6,-1.4,5.9,10.3,1.8,15.6,26.8
Alcoutim,34,2.3,925.5,14,8.4,-2.8,4.8,13,3.6,19.7,22.6
Aljezur,50.6,2.3,970.6,11.2,13.9,1.6,4,8.8,4.6,19,17.8
Castro Marim,32.9,3.2,938.4,10.8,10.1,2.3,5.4,9.3,2.2,15.6,18.6
Faro,19.7,31.1,1257.8,27.1,10.7,-1,7.8,17.9,6.5,24.4,29.5
Lagoa,25.9,22.2,1113.2,14.5,14,0.5,6.4,11.8,11.1,15.5,25.4
Lagos,31.8,14.4,1056.6,13.2,11.2,-0.4,4.5,10.1,2.6,15.6,20.3
Loulé,23.9,24.7,1114.2,13.9,14.7,2,6,9.1,1.4,16.8,25.3
Monchique,49.3,0.7,933.4,12.2,9,0.5,4.7,22.8,5.6,23,24.9
Olhão,29.3,11.6,1039.7,14.4,10.1,0,5.9,7.8,3.1,18.3,22.5
Portimão,22.8,34.3,1102.1,17.7,13.3,-3.2,6.2,12.7,2.1,22.2,28.7
São Brás de Alportel,37.8,15.4,1032.4,17.5,9.8,-1.4,3.5,14.6,2,19.9,25.2
Silves,35.4,15.5,1050.4,12.9,10.9,-3.4,4.2,13.2,2.3,20.8,25.1
Tavira,31,16.8,1007.4,13.7,12.3,-0.4,4,7.7,2.5,18.3,22.9
Vila do Bispo,46.2,5.1,1010.2,9.7,10.8,-1.9,3.4,8.1,5.9,11.7,15.6
Vila Real de Santo António,31.6,11.1,1027.2,9.2,9.9,-2.5,8.4,11.4,4.7,21.7,26.3
R. A. Açores,21.1,19.5,1126.1,14.8,6.7,0,6.7,20.3,1.8,27.1,31.6
Santa Maria,26,27.7,1821.1,13.5,2.6,-0.8,22.5,81.9,20.2,67.1,86.7
Vila do Porto,26,27.7,1821.1,13.5,2.6,-0.8,22.5,81.9,20.2,67.1,86.7
São Miguel,18.8,17.6,1115.4,14.8,6.3,0.1,7,15.9,2.5,26.7,32.9
Lagoa (R.A.A.),19.5,8.3,980.7,14.4,10.2,2.7,1.3,12.3,2.5,24.5,30.1
Nordeste,30.7,3.2,907.3,10.9,6,1.2,1.6,19.2,3.5,15.6,18
Ponta Delgada,18.9,20.7,1181.4,17.4,6.5,0,9.6,17.3,3.2,27.4,34.7
Povoação,24.4,7.8,971.5,7,3.6,1,9.2,15.8,13.6,19.7,28.5
Ribeira Grande,14.4,15.4,1063,10.4,5,-0.6,4.9,13,7.8,25.3,29.5
Vila Franca do Campo,26.2,17.4,906.3,7.3,3.8,-0.4,0.3,9.2,6.6,19.4,21.6
Terceira,21,24.7,1121.3,16.6,7.6,-0.4,1.6,19.9,4.3,30.2,31.3
Angra do Heroísmo,22.2,29.8,1133.9,18.8,7.8,-1,0.4,21.8,4.3,34.4,34.8
Vila da Praia da Vitória,18.3,13.7,1094.2,11.7,7.1,0.9,6.7,20.2,4,19.8,23.7
Graciosa,28.9,24.4,1103.9,8.6,4.5,-0.4,8.2,21.1,4.8,20.7,22.8
Santa Cruz da Graciosa,28.9,24.4,1103.9,8.6,4.5,-0.4,8.2,21.1,4.8,20.7,22.8
São Jorge,31.1,10.4,1011,10.9,7.3,-0.1,5.3,23.6,2.5,14,17.7
Calheta (R.A.A.),23.3,0.3,942.1,11.4,6.8,0,3.3,8.5,4.3,14.4,22
Velas,34.7,15,1041.8,10.8,7.5,-0.1,5.7,26.6,5.6,14.7,17
Pico,35.3,13,999.9,11.2,9,0,6.9,17.7,7.1,10.2,16.5
Lajes do Pico,33.8,4,926.2,12.3,9,3.5,2.4,20.9,3.2,8.2,12.1
Madalena,34,16.2,994.2,11,9.6,-0.8,5.8,10.2,10.2,10.2,17.2
São Roque do Pico,39.4,12.6,1068,10.8,7.8,-0.9,9.7,34.6,9.2,12.8,24.8
Faial,24.4,24.6,1174.4,16.4,7.1,0.3,9.2,23.6,1.6,24.7,28
Horta,24.4,24.6,1174.4,16.4,7.1,0.3,9.2,23.6,1.6,24.7,28
Flores,26,22,1128.2,8.6,11,2.3,14.6,30.6,8.5,32.6,33.4
Lajes das Flores,32.9,12.1,1062.2,7.4,11.4,7.1,15.8,30.4,8.4,20.5,30
Santa Cruz das Flores,22.3,27.3,1163.1,9.2,10.8,0,13.7,30.3,9,38.7,35.1
Corvo,22.8,15.8,1060.7,5.3,15.7,11.5,4.8,30.7,7.6,14.2,35.6
Corvo,22.8,15.8,1060.7,5.3,15.7,11.5,4.8,30.7,7.6,14.2,35.6
R. A. Madeira,19.2,32.4,1212.4,17.7,8,1.1,6.6,17,2.8,28.4,34.9
Calheta (R.A.M.),15.8,53,1230.9,9,7.5,3.5,10.5,24.5,19.1,26.5,35.5
Câmara de Lobos,29.8,8.4,1028.8,10.1,5.7,-1.1,4.1,19.7,9.4,19.7,27.9
Funchal,16.8,38,1264.8,21.3,9.3,1.9,7,14,2,29.7,37.3
Machico,19.1,16.2,1142,15.2,4.8,-5.2,10.1,15.1,3,29,33.4
Ponta do Sol,39.6,24.9,933.2,9.7,4.9,-1.3,2.7,13.1,6,6,13.4
Porto Moniz,32.7,4.1,886.5,6.8,5.1,0,9.8,36.2,14.4,8.5,26.3
Ribeira Brava,23.6,13.8,997.4,13,4.9,-1.9,3.9,13.2,0.2,21.1,21.4
Santa Cruz,20.7,21.9,1168.4,11.2,5.2,0.2,4.2,29,6.5,27.1,28.6
Santana,32.2,14.8,927.2,8.2,3.9,1.2,5.4,18.2,3.7,19.3,22.3
São Vicente,41.7,2.1,893.7,6.7,3.4,-0.7,4.5,19.3,2.3,14.2,19.4
Porto Santo,20.9,30.6,1323.5,5.9,9.8,0.1,16.7,37.4,10.8,34.2,34.2
