,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,491449660,396548428,81721699,47561609,72307853,56961372,79985183,22689626,13422638,13675110,117987422,61993584
Continente,473357030,382033323,79663281,46076349,70056213,55008755,76027015,21952478,12844652,13264812,113610117,59276528
Norte,142656321,107434029,17940674,11901999,24101047,16693867,16738836,4963823,2296434,2482984,34857288,21783927
Alto Minho,13338163,10836343,2224731,1586642,2783827,2084466,2593173,894640,488989,439134,2193697,1784008
Arcos de Valdevez,1737495,1258910,317005,130331,181788,75034,447881,188795,45698,152546,238852,95100
Caminha,872507,872507,193207,181507,301900,249800,132100,85000,0,34000,102850,102850
Melgaço,1574021,845223,59675,22300,151226,147650,119771,104771,0,0,207974,207974
Monção,1825630,1342171,189608,37554,240797,109497,332904,90677,24069,0,383422,314957
Paredes de Coura,579275,557254,104395,51525,171908,93339,171488,46441,79070,0,49478,31362
Ponte da Barca,349893,349893,74866,30224,124824,80182,62612,0,0,0,45000,45000
Ponte de Lima,1581045,1312608,346821,345672,341201,204296,450423,108053,0,252588,150196,150196
Valença,853543,783872,314781,314781,231927,152755,114000,94000,0,0,123164,72778
Viana do Castelo,2654431,2230219,254923,103298,800001,800001,516866,0,290152,0,538266,538266
Vila Nova de Cerveira,1310323,1283686,369450,369450,238255,171912,245128,176903,50000,0,354495,225525
Cávado,11477842,10276533,1133371,785297,1714397,1273306,1183438,307189,357487,0,3324226,1462342
Amares,274679,251679,0,0,177856,177856,550,0,0,0,52800,52800
Barcelos,3779075,3756575,523789,495495,524740,409834,441714,250405,39378,0,827574,106995
Braga,3543714,3543714,82506,82506,364361,309824,378576,43596,318109,0,2115506,1204714
Esposende,2796337,1641158,466476,146696,281037,175150,119639,11343,0,0,77833,77833
Terras de Bouro,239916,239916,60600,60600,42202,0,21845,1845,0,0,20000,20000
Vila Verde,844121,843491,0,0,324201,200642,221114,0,0,0,230513,0
Ave,17233561,16663376,3118845,959515,3019034,1815935,2933962,1541587,232897,170246,6228210,6155411
Cabeceiras de Basto,202080,202080,106800,106800,19300,3200,75000,0,0,0,0,0
Fafe,1210502,1028997,57273,38574,264464,170947,532436,125885,224466,73464,161069,161069
Guimarães,7924991,7837769,773702,23305,1373810,863853,378701,263141,2246,0,5013763,5013763
Mondim de Basto,392394,392093,0,0,26730,26484,75300,15000,0,0,146193,146193
Póvoa de Lanhoso,1213269,1086850,90678,32590,175014,32138,267286,40760,6185,96782,64399,0
Vieira do Minho,433674,433674,38139,38139,94132,94132,58380,58380,0,0,54900,54900
Vila Nova de Famalicão,5613894,5439156,2052253,720107,1048736,625181,1407208,978779,0,0,710208,710208
Vizela,242757,242757,0,0,16848,0,139651,59642,0,0,77678,69278
A. M. Porto,58446355,44220269,7186443,5627677,11257451,7721873,5324237,1037068,712492,1111807,16372582,7762600
