,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Oliveira de Frades,4624,5008,5341,2688,2969,3013,2939,1083,175,167,181,64
Penalva do Castelo,3978,4225,4479,2629,3361,3321,3385,1069,199,178,211,70
Santa Comba Dão,4728,4723,5418,2914,3221,3542,2974,1249,180,172,186,71
São Pedro do Sul,4312,4645,4877,2706,2656,2978,2460,943,167,171,164,60
Sátão,3845,4384,4311,2527,2757,3047,2586,1128,169,176,166,72
Tondela,4386,4543,4981,2742,2981,3017,2961,1012,168,153,176,60
Vila Nova de Paiva,3507,4798,3906,2416,2552,2663,2420,827,151,154,147,54
Viseu,4700,4575,5324,2921,2933,3129,2793,970,168,167,169,55
Vouzela,4446,4505,5086,2651,3217,3108,3267,1067,187,162,198,65
Beira Baixa,4646,5339,5261,2891,2896,3253,2667,927,171,175,168,54
Castelo Branco,4811,5416,5420,2994,2836,3278,2569,917,166,173,161,52
Idanha-a-Nova,4301,4887,4905,2708,3315,3199,3425,887,202,189,215,56
Oleiros,4297,5328,4862,2752,2486,2520,2452,952,156,154,158,55
Penamacor,3949,5365,4434,2541,2813,2861,2789,1128,182,173,186,68
Proença-a-Nova,4347,4937,4971,2684,3271,3924,2743,955,188,200,178,59
Vila Velha de Ródão,5778,6048,6684,3425,2958,2650,3126,874,179,155,192,56
Médio Tejo,5244,5875,5952,3212,2814,3027,2663,1327,161,159,162,74
Abrantes,5342,5879,6111,3285,2658,2857,2471,1327,152,151,153,75
Alcanena,5301,6070,5929,3153,2809,3052,2632,1533,165,170,161,83
Constância,5793,6300,6676,3454,2858,3252,2534,1477,151,154,148,79
Entroncamento,6860,6934,7778,4374,2779,2929,2685,1225,160,150,166,61
Ferreira do Zêzere,4556,5552,5196,2651,2929,2770,3032,1500,175,164,182,86
Mação,4687,4936,5400,2911,2923,2945,2895,1060,176,173,180,66
Ourém,4735,5499,5307,2915,2707,2855,2638,1228,151,143,155,68
Sardoal,5116,6148,5850,3045,3413,3678,3219,1174,200,200,200,71
Sertã,4527,5011,5232,2788,2846,3025,2754,989,162,156,166,63
Tomar,5194,5762,5904,3209,2984,3207,2794,1576,174,173,174,90
Torres Novas,5591,6283,6296,3378,2930,3273,2705,1370,165,167,163,75
Vila de Rei,4788,6391,5428,2973,3355,3610,3100,885,204,208,201,52
Vila Nova da Barquinha,5932,6543,6719,3786,2647,2874,2483,1175,156,148,163,68
Beiras e Serra da Estrela,4417,4841,5001,2764,2987,3080,2921,1248,177,169,182,75
Almeida,3901,4301,4399,2518,3104,2641,3497,1264,184,137,223,80
Belmonte,4392,4648,4954,2752,3189,3227,3166,1131,197,177,209,73
Celorico da Beira,4053,4226,4568,2747,3064,3188,2949,1339,173,168,178,84
Covilhã,4817,4960,5460,2959,2918,2933,2906,1069,177,167,185,62
Figueira de Castelo Rodrigo,3863,4630,4384,2524,2417,2409,2423,1090,162,155,168,72
Fornos de Algodres,3943,4523,4469,2602,2548,2495,2575,1228,161,147,168,81
Fundão,4498,5060,5102,2867,2913,3101,2806,1111,172,166,175,68
Gouveia,4187,4486,4726,2599,3197,3403,3041,1247,167,168,166,78
Guarda,4598,5012,5232,2780,3008,3071,2963,1428,175,166,181,78
Manteigas,4249,4684,4767,2664,2896,3015,2775,1142,174,173,175,68
Mêda,3729,4011,4223,2524,2598,2828,2361,1088,160,168,152,77
Pinhel,3896,4676,4407,2457,2905,3459,2526,1308,168,184,157,92
Sabugal,3640,4624,4091,2394,3521,3633,3448,1484,206,191,215,97
Seia,4735,4980,5328,2953,3171,3364,3013,1383,187,191,184,85
Trancoso,3950,5169,4408,2573,2845,3210,2630,1352,175,184,170,74
