,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Centro,145890,62286,83604,9204878,3857949,5346929,171501,82510,88991
Oeste,22808,9435,13373,1691528,683492,1008036,32460,15146,17313
Alcobaça,3840,1671,2169,312144,132996,179148,5969,3001,2969
Alenquer,2906,1263,1643,232716,97449,135267,4877,2398,2480
Arruda dos Vinhos,822,369,453,53737,23916,29821,1129,573,556
Bombarral,715,299,416,47573,21691,25882,873,458,415
Cadaval,762,338,424,66254,26453,39801,1194,550,644
Caldas da Rainha,3068,1200,1868,185336,75804,109532,3378,1538,1840
Lourinhã,1687,691,996,119575,48381,71194,2164,1003,1161
Nazaré,983,393,590,70430,24574,45856,1324,564,760
Óbidos,643,272,371,47825,20757,27068,921,462,459
Peniche,1579,571,1008,111591,40716,70875,2011,885,1126
Sobral de Monte Agraço,720,313,407,60025,24977,35048,1269,618,651
Torres Vedras,5083,2055,3028,384322,145778,238544,7350,3097,4253
Região de Aveiro,28509,12268,16241,1567681,664143,903538,29515,14645,14870
Águeda,3396,1459,1937,176472,74451,102021,3079,1484,1596
Albergaria-a-Velha,2016,901,1115,122744,50277,72467,2274,1059,1215
Anadia,1955,821,1134,102544,40730,61814,1824,865,958
Aveiro,5441,2247,3194,259074,109439,149635,5182,2574,2608
Estarreja,2314,1073,1241,142915,64227,78688,2721,1407,1314
Ílhavo,3069,1229,1840,170554,69673,100881,3446,1877,1570
Murtosa,953,420,533,40983,19346,21637,865,528,337
Oliveira do Bairro,1632,673,959,76730,33968,42762,1323,630,693
Ovar,5320,2385,2935,329250,137974,191276,6260,2989,3270
Sever do Vouga,780,348,432,48306,22775,25531,818,450,367
Vagos,1633,712,921,98109,41283,56826,1723,783,941
Região de Coimbra,29091,12260,16831,1399070,584713,814357,25490,12207,13283
Arganil,717,303,414,45372,18064,27308,669,282,387
Cantanhede,2224,956,1268,108610,45518,63092,1904,890,1014
Coimbra,8475,3420,5055,346750,145895,200855,6793,3097,3695
Condeixa-a-Nova,1292,503,789,53121,19796,33325,1007,451,556
Figueira da Foz,3735,1626,2109,215016,92211,122805,4330,2334,1996
Góis,233,89,144,10770,4475,6295,190,98,91
Lousã,1321,549,772,58175,26424,31751,995,487,508
Mealhada,1359,587,772,77082,31565,45517,1414,652,761
Mira,719,326,393,37655,17447,20208,737,403,333
Miranda do Corvo,902,415,487,43686,17968,25718,722,374,348
Montemor-o-Velho,1852,770,1082,86585,33689,52896,1538,693,845
Mortágua,592,289,303,24426,11002,13424,385,194,191
Oliveira do Hospital,1473,622,851,78922,31748,47174,1265,563,702
Pampilhosa da Serra,180,79,101,9154,3788,5366,136,53,82
Penacova,854,403,451,48468,24484,23984,747,449,298
Penela,388,172,216,16308,7717,8591,278,139,139
Soure,1282,524,758,67314,24307,43007,1255,555,700
Tábua,922,392,530,47073,17932,29141,712,294,418
Vila Nova de Poiares,571,235,336,24583,10683,13900,415,198,218
Região de Leiria,20268,8974,11294,1481587,630884,850703,31276,15938,15339
Alvaiázere,333,142,191,20696,7738,12958,324,119,205
Ansião,684,310,374,40740,18806,21934,663,331,333
Batalha,1134,458,676,82898,32014,50884,1565,712,854
