,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Coimbra,11360,8,51.7,35.6,9.8
Condeixa-a-Nova,24555,3.4,42.5,72.4,13.1
Figueira da Foz,16701,41.5,51.5,37,10.6
Góis,//,//,217.7,63.1,15.4
Lousã,2351,20.2,72.3,31.6,14.7
Mealhada,//,//,41.3,47.9,8.2
Mira,//,//,23.9,64.3,7.7
Miranda do Corvo,...,...,24.2,34.2,5.8
Montemor-o-Velho,//,//,22.9,67.9,10.5
Mortágua,//,//,48.8,77.7,11.1
Oliveira do Hospital,1673,17.9,64.8,33.1,10.2
Pampilhosa da Serra,835,10.8,121.8,50.8,6.8
Penacova,1244,...,96.4,58.4,14.3
Penela,2204,7,158.7,28.6,12.2
Soure,//,//,49,36.5,9.2
Tábua,//,//,22,38.5,4.5
Vila Nova de Poiares,//,//,32.5,14.1,3.4
Região de Leiria,11041,8.3,52.4,38.1,11.1
Alvaiázere,3968,61.7,73.9,29.9,8.2
Ansião,3337,11.1,29.7,38.9,7.3
Batalha,3249,5.5,48.7,56.3,11.6
Castanheira de Pêra,...,...,34.2,23.8,3.4
Figueiró dos Vinhos,3884,5.1,95,63.9,8.2
Leiria,19388,4.1,45.4,37.2,11.9
Marinha Grande,11347,3,48.2,35.9,13
Pedrógão Grande,//,//,112.5,40.2,8.9
Pombal,2626,8.7,77.8,41.9,14
Porto de Mós,...,...,34.4,24.1,6.1
Viseu Dão Lafões,...,...,38.9,42.6,8.2
Aguiar da Beira,//,//,34.8,26.3,3.5
Carregal do Sal,1048,35.4,35.6,33.4,6.6
Castro Daire,1287,...,37.9,29.9,5.1
Mangualde,//,//,31.1,4.2,3.3
Nelas,//,//,14.2,28.7,4.3
Oliveira de Frades,347,0,29.8,82.9,10.1
Penalva do Castelo,//,//,51.5,43.6,11.4
Santa Comba Dão,//,//,35.3,22.9,5.3
São Pedro do Sul,//,//,26.4,66,6.9
Sátão,//,//,45.7,57.1,9.9
Tondela,...,...,23.9,40.1,6.3
Vila Nova de Paiva,907,4.8,58.7,49.6,6.9
Viseu,11025,9,46.5,47.2,12.2
Vouzela,//,//,62.2,54.8,8.9
Beira Baixa,...,...,115.6,72.4,14.5
Castelo Branco,//,//,85.5,55.8,17.9
Idanha-a-Nova,//,//,188.5,128,12.8
Oleiros,//,//,35.8,70.5,4.2
Penamacor,3163,12.6,311.3,68,18.5
Proença-a-Nova,...,...,125.1,139.5,15.4
Vila Velha de Ródão,//,//,222.5,56.9,11
Médio Tejo,6391,7.2,75.8,49.7,12.5
Abrantes,943,0,96.8,67.3,19.9
Alcanena,138,0,41.5,98.4,11.4
Constância,...,...,153.7,105,14.4
Entroncamento,31001,9.1,24.9,72,10.5
Ferreira do Zêzere,//,//,35.5,46,6.9
Mação,1851,23.1,211.5,7.5,12
Ourém,...,...,89.6,24.7,13.2
Sardoal,//,//,167.3,76,9.5
Sertã,//,//,68,88.7,14.2
Tomar,8031,0.6,33.3,31.3,8
Torres Novas,...,...,103.1,38.6,15.9
Vila de Rei,498,8.6,75.6,47.5,4.8
