,Total (N.º),"Type of cultural property, Monuments (N.º)","Type of cultural property, Sets (N.º)","Type of cultural property, Sites (N.º)","Type of protection, National monuments (N.º)","Type of protection, Properties of public interest (N.º)","Type of protection, Properties of municipal interest (N.º)"
Miranda do Corvo,3,2,1,0,0,3,0
Montemor-o-Velho,23,18,5,0,2,13,8
Mortágua,1,1,0,0,0,1,0
Oliveira do Hospital,22,17,1,4,3,17,2
Pampilhosa da Serra,0,0,0,0,0,0,0
Penacova,5,3,2,0,1,4,0
Penela,6,4,1,1,3,3,0
Soure,4,3,1,0,1,3,0
Tábua,9,7,0,2,0,9,0
Vila Nova de Poiares,1,0,0,1,0,1,0
Região de Leiria,76,57,11,8,15,45,16
Alvaiázere,3,3,0,0,0,3,0
Ansião,5,4,1,0,1,4,0
Batalha,15,9,3,3,2,6,7
Castanheira de Pêra,1,0,1,0,0,1,0
Figueiró dos Vinhos,5,4,1,0,1,3,1
Leiria,17,11,5,1,4,9,4
Marinha Grande,3,3,0,0,0,2,1
Pedrógão Grande,6,5,0,1,2,2,2
Pombal,15,14,0,1,3,11,1
Porto de Mós,6,4,0,2,2,4,0
Viseu Dão Lafões,189,139,19,31,26,128,35
Aguiar da Beira,8,7,0,1,4,4,0
Carregal do Sal,10,8,2,0,3,4,3
Castro Daire,14,13,0,1,1,11,2
Mangualde,27,16,7,4,3,14,10
Nelas,16,13,2,1,0,10,6
Oliveira de Frades,5,3,0,2,2,3,0
Penalva do Castelo,8,5,1,2,1,4,3
Santa Comba Dão,7,7,0,0,0,7,0
São Pedro do Sul,11,6,1,4,2,9,0
Sátão,15,13,1,1,1,14,0
Tondela,19,12,2,5,1,13,5
Vila Nova de Paiva,5,3,0,2,1,4,0
Viseu,35,24,3,8,6,23,6
Vouzela,9,9,0,0,1,8,0
Beira Baixa,49,41,5,3,6,37,6
Castelo Branco,16,16,0,0,3,9,4
Idanha-a-Nova,20,14,4,2,2,18,0
Oleiros,3,3,0,0,0,2,1
Penamacor,6,6,0,0,1,5,0
Proença-a-Nova,0,0,0,0,0,0,0
Vila Velha de Ródão,4,2,1,1,0,3,1
Médio Tejo,163,135,15,13,21,76,66
Abrantes,63,57,6,0,3,11,49
Alcanena,3,2,0,1,0,3,0
Constância,4,3,1,0,0,4,0
Entroncamento,0,0,0,0,0,0,0
Ferreira do Zêzere,9,8,0,1,0,9,0
Mação,11,7,0,4,1,3,7
Ourém,7,5,2,0,1,6,0
Sardoal,7,6,1,0,0,6,1
Sertã,13,11,0,2,0,11,2
Tomar,30,23,5,2,12,15,3
Torres Novas,11,8,0,3,2,6,3
Vila de Rei,1,1,0,0,0,0,1
Vila Nova da Barquinha,4,4,0,0,2,2,0
Beiras e Serra da Estrela,214,167,27,20,36,143,35
Almeida,9,6,2,1,3,6,0
Belmonte,5,2,2,1,3,2,0
Celorico da Beira,9,7,2,0,2,7,0
Covilhã,20,14,3,3,0,15,5
Figueira de Castelo Rodrigo,17,14,2,1,6,7,4
Fornos de Algodres,11,9,0,2,0,11,0
Fundão,25,21,4,0,1,14,10
Gouveia,10,7,0,3,2,8,0
Guarda,29,20,5,4,3,18,8
Manteigas,1,1,0,0,0,1,0
Mêda,13,12,1,0,3,9,1
Pinhel,15,15,0,0,2,11,2
Sabugal,21,18,2,1,3,15,3
Seia,14,11,2,1,2,12,0
Trancoso,15,10,2,3,6,7,2
A. M. Lisboa,676,490,141,45,105,461,110
Alcochete,5,4,0,1,1,3,1
Almada,17,10,5,2,1,9,7
Amadora,14,8,3,3,1,4,9
Barreiro,9,5,3,1,1,3,5
Cascais,57,39,10,8,0,45,12
Lisboa,303,240,62,1,61,228,14
Loures,24,17,4,3,3,18,3
Mafra,31,26,3,2,2,25,4
Moita,6,6,0,0,0,5,1
Montijo,15,10,5,0,0,5,10
Odivelas,11,7,2,2,4,2,5
Oeiras,16,12,3,1,1,14,1
Palmela,14,12,0,2,4,4,6
Seixal,16,14,1,1,1,14,1
Sesimbra,10,7,1,2,1,7,2
Setúbal,34,27,6,1,8,16,10
Sintra,73,30,29,14,15,43,15
Vila Franca de Xira,21,16,4,1,1,16,4
Alentejo,737,487,88,162,221,431,85
Alentejo Litoral,54,39,3,12,7,38,9
Alcácer do Sal,18,13,1,4,3,13,2
Grândola,13,6,0,7,1,8,4
Odemira,3,3,0,0,0,2,1
Santiago do Cacém,14,13,0,1,2,10,2
Sines,6,4,2,0,1,5,0
Baixo Alentejo,120,91,12,17,24,81,15
Aljustrel,4,2,1,1,0,4,0
Almodôvar,7,6,0,1,0,7,0
Alvito,18,17,1,0,3,15,0
Barrancos,1,1,0,0,1,0,0
Beja,17,15,0,2,8,8,1
Castro Verde,7,6,0,1,0,7,0
Cuba,6,5,0,1,1,5,0
Ferreira do Alentejo,14,13,1,0,0,2,12
Mértola,5,4,1,0,3,2,0
Moura,22,13,5,4,2,19,1
Ourique,3,0,0,3,2,1,0
Serpa,9,5,3,1,3,6,0
Vidigueira,7,4,0,3,1,5,1
Lezíria do Tejo,85,66,12,7,21,53,11
Almeirim,1,1,0,0,0,1,0
Alpiarça,3,1,0,2,0,3,0
Azambuja,10,8,1,1,1,8,1
Benavente,3,2,1,0,0,3,0
Cartaxo,4,4,0,0,1,3,0
Chamusca,2,2,0,0,0,0,2
Coruche,4,2,2,0,0,2,2
Golegã,5,4,1,0,1,4,0
Rio Maior,5,2,1,2,1,4,0
Salvaterra de Magos,2,2,0,0,0,2,0
Santarém,46,38,6,2,17,23,6
Alto Alentejo,210,122,19,69,62,118,30
Alter do Chão,13,10,1,2,2,11,0
Arronches,5,3,0,2,2,3,0
Avis,7,4,1,2,3,3,1
Campo Maior,17,16,0,1,2,3,12
Castelo de Vide,37,11,0,26,11,23,3
Crato,9,7,0,2,3,4,2
Elvas,42,18,3,21,19,23,0
Fronteira,9,7,2,0,2,6,1
Gavião,5,4,0,1,1,3,1
Marvão,9,4,3,2,4,5,0
Monforte,12,4,0,8,1,11,0
Nisa,16,14,0,2,3,10,3
Ponte de Sor,1,1,0,0,0,1,0
Portalegre,24,16,8,0,9,8,7
Sousel,4,3,1,0,0,4,0
Alentejo Central,268,169,42,57,107,141,20
Alandroal,12,8,2,2,4,7,1
Arraiolos,18,14,2,2,6,9,3
Borba,16,12,3,1,2,14,0
Estremoz,28,23,2,3,11,12,5
Évora,84,49,14,21,47,36,1
Montemor-o-Novo,26,9,6,11,12,14,0
Mora,7,4,1,2,3,4,0
Mourão,3,2,0,1,1,2,0
Portel,7,6,0,1,2,5,0
Redondo,9,4,2,3,4,4,1
Reguengos de Monsaraz,22,9,3,10,5,14,3
Vendas Novas,2,1,1,0,0,2,0
Viana do Alentejo,8,7,1,0,4,4,0
Vila Viçosa,26,21,5,0,6,14,6
Algarve,182,134,22,26,26,110,46
Albufeira,3,2,1,0,0,2,1
Alcoutim,7,4,0,3,0,7,0
Aljezur,3,2,0,1,1,1,1
Castro Marim,3,2,1,0,2,1,0
Faro,37,29,7,1,3,29,5
Lagoa,4,3,1,0,1,2,1
Lagos,13,9,1,3,3,9,1
Loulé,15,14,0,1,4,5,6
Monchique,3,2,0,1,0,3,0
Olhão,6,6,0,0,0,6,0
Portimão,14,9,3,2,2,9,3
São Brás de Alportel,1,0,0,1,0,1,0
Silves,39,30,0,9,5,12,22
Tavira,21,14,6,1,2,14,5
Vila do Bispo,9,7,0,2,2,7,0
Vila Real de Santo António,4,1,2,1,1,2,1
R. A. Açores,328,315,7,6,3,167,158
Santa Maria,14,11,2,1,0,8,6
Vila do Porto,14,11,2,1,0,8,6
São Miguel,104,102,1,1,0,70,34
Lagoa (R.A.A.),10,10,0,0,0,6,4
Nordeste,6,6,0,0,0,0,6
Ponta Delgada,54,53,0,1,0,45,9
Povoação,4,4,0,0,0,3,1
Ribeira Grande,22,21,1,0,0,11,11
Vila Franca do Campo,8,8,0,0,0,5,3
Terceira,83,81,1,1,1,40,42
Angra do Heroísmo,70,68,1,1,1,33,36
Vila da Praia da Vitória,13,13,0,0,0,7,6
Graciosa,17,16,1,0,0,5,12
Santa Cruz da Graciosa,17,16,1,0,0,5,12
São Jorge,16,16,0,0,0,5,11
Calheta (R.A.A.),6,6,0,0,0,1,5
Velas,10,10,0,0,0,4,6
Pico,34,32,0,2,1,7,26
Lajes do Pico,14,14,0,0,0,4,10
Madalena,8,6,0,2,1,1,6
São Roque do Pico,12,12,0,0,0,2,10
Faial,38,38,0,0,1,26,11
Horta,38,38,0,0,1,26,11
Flores,18,16,1,1,0,5,13
Lajes das Flores,9,7,1,1,0,1,8
Santa Cruz das Flores,9,9,0,0,0,4,5
Corvo,4,3,1,0,0,1,3
Corvo,4,3,1,0,0,1,3
R. A. Madeira,180,173,7,0,7,60,113
Calheta (R.A.M.),24,24,0,0,0,3,21
Câmara de Lobos,5,5,0,0,0,1,4
Funchal,81,77,4,0,6,38,37
Machico,16,16,0,0,0,6,10
Ponta do Sol,14,13,1,0,0,3,11
Porto Moniz,2,2,0,0,0,0,2
Ribeira Brava,5,5,0,0,0,2,3
Santa Cruz,15,14,1,0,1,5,9
Santana,7,7,0,0,0,0,7
São Vicente,7,6,1,0,0,1,6
Porto Santo,4,4,0,0,0,1,3
