,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
São João da Pesqueira,3647,5376,7755,11300,1619,1741,521,300,236,92
Sernancelhe,4009,5620,8051,10614,1137,1442,372,212,133,60
Tabuaço,3678,5326,7650,11065,1161,1222,350,196,185,53
Tarouca,4088,6073,8400,12363,1289,1744,522,361,270,82
Torre de Moncorvo,4066,6083,8470,12569,1484,1911,669,400,342,125
Vila Nova de Foz Côa,3960,6119,8437,12521,1392,1804,615,363,315,111
Vila Real,4900,7975,11237,18960,7045,11280,4961,4096,4537,2264
Terras de Trás-os-Montes,4413,6781,9540,14923,19265,27672,10616,7567,7181,2798
Alfândega da Fé,3990,5527,7993,12049,1058,1276,315,223,210,72
Bragança,5191,8317,11547,18575,4447,7681,3997,3110,3184,1391
Macedo de Cavaleiros,4049,5924,8363,12984,3060,3785,1107,811,763,289
Miranda do Douro,4671,7115,9479,14272,1110,1970,699,514,478,102
Mirandela,4385,6835,9510,14739,3815,5459,2073,1489,1386,530
Mogadouro,4180,6138,8592,12825,1749,2401,808,474,438,187
Vila Flor,3987,5682,8120,12158,1328,1587,477,329,223,99
Vimioso,4138,5941,8333,11976,893,1245,420,232,180,63
Vinhais,3991,5655,7972,11466,1805,2268,720,385,319,65
Centro,5330,8054,10626,15927,276441,609378,270060,193836,160419,68378
Oeste,5283,7928,10426,15522,45387,99537,43066,30106,24837,9941
Alcobaça,5602,8058,10294,14385,6090,16235,7475,4496,3208,1113
Alenquer,5751,8439,11073,16125,4498,11540,5826,4247,3201,1127
Arruda dos Vinhos,6203,9049,12537,19788,1266,3201,1650,1361,1379,678
Bombarral,4795,7182,9532,13887,1844,3495,1348,853,652,288
Cadaval,4750,7073,9440,14056,2005,3650,1315,994,705,238
Caldas da Rainha,5065,7829,10462,16159,7089,13819,5847,4202,3778,1795
Lourinhã,4795,7310,9836,14932,3882,7009,2719,1929,1651,662
Nazaré,5111,7619,9950,14056,2111,4543,1977,1196,870,321
Óbidos,4783,7483,9889,14736,1805,3232,1311,853,791,308
Peniche,5124,7673,9957,14740,3583,7860,3055,2202,1741,568
Sobral de Monte Agraço,5553,8174,10758,16466,1160,2731,1105,943,785,302
Torres Vedras,5313,7996,10586,16201,10054,22222,9438,6830,6076,2541
Região de Aveiro,5455,8220,10992,16287,44314,96991,48190,33774,27558,12259
Águeda,5628,8120,10434,14720,5223,14130,6580,4040,2836,1185
Albergaria-a-Velha,5412,8152,10629,14830,3059,6943,3619,2323,1553,495
Anadia,5050,7596,10030,14630,3992,8267,3416,2368,1719,722
Aveiro,6280,9380,13079,20986,7591,17859,10199,8704,8607,4878
Estarreja,5290,8093,10740,15171,3474,7019,3680,2549,1737,589
Ílhavo,5729,8509,11505,17589,4315,9611,4951,3798,3342,1474
Murtosa,3878,6620,9515,14296,2013,2396,1011,705,605,230
Oliveira do Bairro,5266,8051,10354,14620,2857,6177,2952,1886,1358,467
Ovar,5502,8176,10867,15888,6573,15115,7572,4928,4044,1677
Sever do Vouga,4953,7385,9857,13688,1694,3363,1552,925,635,147
Vagos,4648,7191,9630,13473,3523,6111,2658,1548,1122,395
Região de Coimbra,5584,8291,11198,17503,50114,117037,52703,40074,35942,19188
Arganil,4747,6982,8851,11974,1717,3735,1158,629,458,114
Cantanhede,4671,7145,9788,14438,5495,9485,3843,2819,1992,783
Coimbra,6682,9690,14118,24264,11370,31615,16480,14454,16437,12368
Condeixa-a-Nova,6138,8817,12023,18182,1520,4100,2126,1785,1595,523
Figueira da Foz,5816,8605,11844,18376,6355,15001,7355,6025,5586,2543
Góis,4899,6960,8950,12679,564,1306,387,250,163,41
Lousã,5541,8208,10652,15347,1950,4576,2205,1531,1173,321
Mealhada,5598,8288,11063,15964,2243,5306,2757,2034,1508,481
Mira,4653,7097,9611,14408,1905,3272,1249,845,724,303
Miranda do Corvo,5169,7543,9897,13860,1568,3598,1540,1040,581,168
Montemor-o-Velho,5602,8120,10639,15114,2703,7282,3326,2409,1670,405
Mortágua,4618,6987,9241,13071,1521,2771,1011,624,461,134
Oliveira do Hospital,4858,7200,8959,12155,2900,6501,2092,1084,823,264
Pampilhosa da Serra,5100,7275,9143,12524,474,1205,432,275,113,37
Penacova,4677,6791,9037,12622,2308,4442,1597,1066,537,110
Penela,4861,6888,9151,12929,822,1743,601,396,241,64
Soure,5675,8184,10683,15024,1882,5214,2531,1726,1193,293
Tábua,4772,6905,8852,11646,1752,3883,1128,592,398,145
Vila Nova de Poiares,4699,7223,9447,13043,1065,2002,885,490,289,91
Região de Leiria,5722,8361,11180,16267,31059,76354,37873,29115,21992,7586
Alvaiázere,4721,6789,8721,12400,941,1965,585,351,275,72
Ansião,4888,7125,9210,13151,1685,3620,1277,867,518,140
Batalha,5683,8233,10852,15402,1735,4375,2184,1566,1111,272
Castanheira de Pêra,5001,6666,8537,11699,405,1068,254,152,118,35
Figueiró dos Vinhos,4668,6674,8676,12766,934,1723,527,354,256,81
Leiria,6118,8832,12006,17828,12487,31632,17300,14041,11648,4662
Marinha Grande,6728,9401,12567,17743,3001,9676,5834,5227,3788,1122
Pedrógão Grande,4669,6750,8615,11867,593,1175,350,204,149,26
Pombal,5123,7770,10128,14240,6733,14162,6508,4385,2719,811
Porto de Mós,5553,8078,10279,14505,2545,6958,3054,1968,1410,365
Viseu Dão Lafões,4829,7499,9919,14927,36611,66659,26862,18378,15596,6616
Aguiar da Beira,4087,6088,8271,11013,1011,1443,431,212,165,40
Carregal do Sal,4864,7399,9289,13020,1232,2600,911,549,414,120
Castro Daire,3932,5536,7784,10954,3054,3784,1023,566,447,124
Mangualde,4884,7609,9741,13814,2657,5241,2203,1365,954,343
Nelas,4831,7286,9875,14044,1994,3673,1574,1086,720,259
Oliveira de Frades,5001,7634,9747,13366,1311,2733,1247,705,437,137
Penalva do Castelo,4109,6083,8461,11846,1467,1981,648,399,232,80
Santa Comba Dão,5049,7394,9557,13910,1466,3199,1166,823,574,185
São Pedro do Sul,4536,6717,8825,12709,2515,4512,1326,901,641,277
Sátão,4173,6328,8622,12375,2174,3060,1021,624,478,140
Tondela,4895,7451,9851,14000,3711,7189,3095,2051,1353,451
Vila Nova de Paiva,4033,6110,8361,12331,859,1118,402,228,160,67
Viseu,5357,8327,11390,18532,11766,23242,10773,8303,8611,4258
Vouzela,4834,7083,9156,12602,1394,2884,1042,566,410,135
Beira Baixa,5342,8052,10573,15635,10005,22722,10011,7256,5739,2242
Castelo Branco,5809,8516,11428,17160,5687,13881,6929,5251,4463,1884
Idanha-a-Nova,4870,7101,9106,12521,1250,2728,990,571,336,82
Oleiros,4587,6395,8334,12047,845,1666,409,284,206,78
