,"Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros","Days subsidized , MF, No.","Days subsidized , M, No.","Days subsidized , F, No."
Entroncamento,1602,662,940,87659,31731,55928
Ferreira do Zêzere,287,103,184,16271,5338,10933
Mação,319,153,166,18772,9012,9760
Ourém,2494,951,1543,133530,44800,88730
Sardoal,381,156,225,21279,8382,12897
Sertã,757,292,465,41918,14054,27864
Tomar,2270,1213,1058,125896,61039,64857
Torres Novas,2501,1137,1363,139692,59204,80488
Vila de Rei,198,111,87,11238,5740,5498
Vila Nova da Barquinha,402,189,213,22281,9311,12970
Beiras e Serra da Estrela,13969,6057,7913,792156,321573,470583
Almeida,317,138,178,17504,6777,10727
Belmonte,606,215,392,35422,11343,24079
Celorico da Beira,610,259,351,32424,12999,19425
Covilhã,3424,1509,1915,199032,82182,116850
Figueira de Castelo Rodrigo,257,114,144,15612,6405,9207
Fornos de Algodres,257,111,146,14699,5327,9372
Fundão,1916,875,1041,106905,42776,64129
Gouveia,735,372,364,39325,19135,20190
Guarda,3075,1270,1805,171216,67821,103395
Manteigas,169,105,64,9697,5586,4111
Mêda,133,56,77,7943,3299,4644
Pinhel,373,152,221,22117,8176,13941
Sabugal,496,200,296,28762,11053,17709
Seia,1277,541,736,72399,30619,41780
Trancoso,323,140,183,19099,8075,11024
A. M. Lisboa,334749,157238,177511,16939319,7450781,9488538
Alcochete,2393,1098,1294,115993,49608,66385
Almada,20369,9212,11157,1060896,449703,611193
Amadora,18718,8605,10113,981922,425926,555996
Barreiro,10180,4918,5262,531486,238663,292823
Cascais,24466,11052,13414,1150026,492810,657216
Lisboa,60184,29739,30445,2905215,1417763,1487452
Loures,24269,11806,12463,1266597,568398,698199
Mafra,8063,3646,4417,391803,164641,227162
Moita,8982,4371,4611,492328,216805,275523
Montijo,7264,3509,3755,384843,177279,207564
Odivelas,16055,7664,8391,862129,387104,475025
Oeiras,19719,8944,10775,881137,377874,503263
Palmela,8823,4213,4610,446539,188701,257838
Seixal,18195,8210,9986,945258,389551,555707
Sesimbra,6308,3232,3076,316844,143986,172858
Setúbal,17045,8507,8538,880933,397855,483078
Sintra,45504,19892,25612,2405120,970656,1434464
Vila Franca de Xira,18212,8620,9592,920250,393458,526792
Alentejo,68225,32497,35729,3801668,1673412,2128256
Alentejo Litoral,12991,7998,4994,708045,412679,295366
Alcácer do Sal,759,313,447,42510,15078,27432
Grândola,788,385,403,42721,18454,24267
Odemira,6194,4106,2088,362265,237679,124586
Santiago do Cacém,3055,1769,1286,153615,80639,72976
Sines,2195,1424,771,106934,60829,46105
Baixo Alentejo,9450,4288,5162,550590,234136,316454
Aljustrel,618,225,393,35732,11739,23993
Almodôvar,628,295,333,34422,14255,20167
Alvito,199,105,95,11048,5825,5223
Barrancos,192,83,108,11906,5558,6348
Beja,2227,1024,1203,125927,53462,72465
Castro Verde,495,225,269,26223,10783,15440
Cuba,301,127,174,19123,7685,11438
Ferreira do Alentejo,761,328,433,43653,17038,26615
Mértola,576,310,267,33915,17953,15962
Moura,1131,582,549,70230,34513,35717
Ourique,457,188,269,27815,10531,17284
Serpa,1335,534,801,79403,30330,49073
Vidigueira,531,264,267,31193,14464,16729
Lezíria do Tejo,24082,10829,13253,1320455,536640,783815
Almeirim,2310,938,1373,133277,48553,84724
Alpiarça,752,311,440,41436,14392,27044
Azambuja,2666,1282,1384,141834,61632,80202
Benavente,3724,1706,2019,195946,80331,115615
Cartaxo,2822,1408,1414,152705,69892,82813
Chamusca,645,223,423,36345,11936,24409
Coruche,1651,658,993,95911,34442,61469
Golegã,413,164,249,24358,8891,15467
Rio Maior,1806,815,990,101337,42024,59313
Salvaterra de Magos,2618,1031,1586,145842,50943,94899
Santarém,4674,2292,2382,251464,113604,137860
Alto Alentejo,9898,4309,5589,576278,238834,337444
Alter do Chão,252,127,126,14540,7492,7048
Arronches,177,66,111,9542,3460,6082
Avis,324,108,216,20190,6067,14123
Campo Maior,1109,500,609,60823,25704,35119
Castelo de Vide,196,106,90,12122,6278,5844
Crato,214,71,144,12448,4128,8320
Elvas,2211,944,1266,128408,53173,75235
Fronteira,297,128,169,18619,7363,11256
Gavião,237,142,95,12980,7288,5692
Marvão,188,94,94,11312,5500,5812
Monforte,202,99,102,12262,6169,6093
Nisa,376,163,213,22492,9814,12678
Ponte de Sor,1678,742,936,99175,40967,58208
Portalegre,1971,868,1103,111763,46061,65702
Sousel,467,151,316,29602,9370,20232
Alentejo Central,11804,5073,6731,646300,251123,395177
Alandroal,322,139,183,18926,7172,11754
Arraiolos,466,194,272,24457,9363,15094
Borba,585,299,286,32538,14516,18022
Estremoz,930,379,550,49670,19153,30517
Évora,4197,1857,2340,224393,91675,132718
Montemor-o-Novo,944,407,537,50514,19583,30931
Mora,216,97,120,12152,5083,7069
Mourão,310,166,143,16753,8533,8220
Portel,625,256,369,36422,13520,22902
Redondo,647,184,463,37928,9888,28040
Reguengos de Monsaraz,931,388,543,53600,19758,33842
Vendas Novas,813,382,431,42619,17255,25364
Viana do Alentejo,319,107,212,19007,5516,13491
Vila Viçosa,498,218,281,27321,10108,17213
Algarve,56463,25357,31106,3301523,1407974,1893549
Albufeira,10142,4754,5388,608398,276371,332027
Alcoutim,122,68,54,6686,3195,3491
Aljezur,377,183,194,23469,10751,12718
Castro Marim,619,282,338,37869,16824,21045
Faro,6773,3152,3621,366692,157121,209571
Lagoa,2788,1165,1624,167107,67043,100064
Lagos,3457,1506,1951,209021,87144,121877
Loulé,8108,3580,4528,461466,191334,270132
Monchique,320,148,173,19513,8817,10696
Olhão,4043,1810,2233,232371,96607,135764
Portimão,8822,4008,4814,530383,228208,302175
São Brás de Alportel,812,294,518,43961,16192,27769
Silves,5171,2293,2877,305199,130651,174548
Tavira,2169,918,1251,122805,48828,73977
Vila do Bispo,556,241,315,32706,13878,18828
Vila Real de Santo António,2183,956,1227,133877,55010,78867
R. A. Açores,26383,13540,12843,1640641,832853,807788
Santa Maria,762,378,384,51258,26018,25240
Vila do Porto,762,378,384,51258,26018,25240
São Miguel,15962,8275,7685,1000080,516512,483568
Lagoa (R.A.A.),1763,1039,723,112224,66104,46120
Nordeste,1258,632,626,85331,43529,41802
