,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Portugal,6184,5865,7123,3650,3181,3368,3037,1070,172,168,174,54
Continente,6215,5857,7149,3668,3187,3377,3043,1051,171,167,174,53
Norte,5738,5414,6583,3402,3208,3423,3051,988,177,173,179,53
Alto Minho,4766,5067,5401,2906,2675,2728,2631,1305,149,142,155,72
Arcos de Valdevez,3890,4523,4344,2557,2586,2755,2488,1254,147,148,146,75
Caminha,5110,4910,5840,3038,2825,2829,2822,1314,159,151,165,67
Melgaço,3831,4068,4220,2462,2750,2764,2743,1060,152,139,158,68
Monção,4039,4479,4549,2567,2559,2815,2411,1080,148,159,141,67
Paredes de Coura,4221,4691,4731,2639,2624,2740,2538,1391,157,153,159,80
Ponte da Barca,4172,4418,4685,2758,2492,3012,2136,1245,144,162,131,77
Ponte de Lima,4563,5028,5188,2722,2571,2633,2533,1224,153,150,155,72
Valença,4376,4627,5020,2721,2682,2664,2695,1173,153,145,159,66
Viana do Castelo,5532,5682,6265,3298,2718,2707,2729,1437,143,132,156,74
Vila Nova de Cerveira,4524,4671,5163,2873,2808,2837,2782,1175,160,155,165,66
Cávado,5362,5442,6119,3066,3231,3525,3037,864,176,176,175,47
Amares,4551,5073,5156,2680,3020,3549,2724,742,172,180,167,47
Barcelos,5237,5401,6013,2945,3260,3519,3075,932,181,177,183,53
Braga,5905,5782,6684,3408,3313,3572,3141,835,176,176,176,42
Esposende,5061,5371,5826,2817,3184,3436,3027,973,172,175,171,56
Terras de Bouro,4593,4939,5249,2880,2333,2635,2151,750,147,152,145,53
Vila Verde,4454,4846,5054,2649,3043,3558,2755,769,170,179,165,47
Ave,5608,5577,6379,3253,3307,3562,3143,922,184,182,186,52
Cabeceiras de Basto,4285,4643,4941,2648,3040,3161,2941,902,174,169,179,57
Fafe,4740,5281,5324,2817,3293,3472,3181,1006,193,188,195,60
Guimarães,5979,5822,6766,3396,3364,3583,3229,872,189,187,190,49
Mondim de Basto,4235,4433,4798,2711,3450,3705,3222,1092,209,224,196,69
Póvoa de Lanhoso,4466,4706,5074,2804,3275,3579,3031,871,179,172,185,54
Vieira do Minho,4377,4489,5003,2788,2907,3742,2233,866,164,186,146,56
Vila Nova de Famalicão,5989,5835,6821,3504,3261,3557,3070,966,174,169,177,51
Vizela,5842,5964,6572,3296,3439,3714,3269,870,197,194,199,50
A. M. Porto,6517,5681,7469,3861,3268,3479,3103,965,177,173,179,49
Arouca,4649,4988,5269,2751,2873,3581,2482,1216,167,190,154,70
Espinho,6209,5946,7048,3731,3419,3781,3124,972,185,190,181,50
Gondomar,6133,5440,7012,3761,3223,3389,3086,814,179,175,182,44
Maia,7046,6156,8109,4058,3359,3626,3160,869,171,167,174,42
Matosinhos,7447,6368,8494,4427,3462,3669,3276,959,179,176,181,45
Oliveira de Azeméis,6003,5638,6829,3487,3015,3415,2749,1328,168,172,165,68
Paredes,5085,5013,5926,3074,2959,3277,2776,1008,177,176,178,59
Porto,7716,6036,8862,4696,3347,3431,3266,836,176,172,180,39
Póvoa de Varzim,5514,5415,6347,3252,3065,3211,2936,919,167,160,174,49
Santa Maria da Feira,5658,5418,6427,3287,3141,3355,2990,1186,175,173,176,61
Santo Tirso,5778,5576,6509,3443,3236,3522,3067,971,185,183,185,54
São João da Madeira,6249,5243,7122,3641,3174,3185,3166,1169,181,173,186,59
Trofa,6420,5752,7391,3612,3124,3409,2951,932,175,172,176,49
Vale de Cambra,5803,5700,6624,3296,2817,2916,2767,1544,156,136,167,73
Valongo,6161,5502,7054,3709,3184,3462,2980,871,172,169,174,46
Vila do Conde,5922,5602,6864,3410,3092,3081,3101,1065,165,146,182,54
Vila Nova de Gaia,6762,5705,7751,3927,3449,3695,3255,909,185,184,186,46
Alto Tâmega,4027,4412,4540,2675,3239,3500,3034,1002,185,186,184,63
Boticas,3765,4448,4220,2467,3287,3133,3425,836,204,190,216,57
Chaves,4213,4381,4766,2740,3060,3246,2935,1052,176,177,175,65
Montalegre,4058,4379,4584,2800,3420,3440,3399,1035,197,186,207,66
Ribeira de Pena,3921,4479,4449,2590,3453,3544,3344,1170,195,181,211,69
Valpaços,3851,4491,4309,2622,3178,3186,3172,1010,192,186,195,64
Vila Pouca de Aguiar,3923,4374,4413,2600,3600,4411,2867,840,195,211,180,55
Tâmega e Sousa,5004,5112,5797,2990,3098,3316,2973,1129,184,177,188,67
Amarante,4866,4962,5645,2945,3118,3082,3138,1210,180,161,190,71
Baião,4869,4929,5692,3043,3454,3940,3025,1180,201,205,197,72
Castelo de Paiva,5264,5421,6042,3215,3063,3495,2727,1207,175,177,173,68
Celorico de Basto,4217,4754,4829,2561,3209,3597,2993,796,190,189,191,53
Cinfães,4691,5101,5379,2881,2957,2897,3021,1010,171,154,189,62
Felgueiras,5121,5248,5847,2933,3260,3493,3135,1375,197,196,198,78
Lousada,5122,5191,5924,3150,3053,3405,2877,1132,185,184,185,68
Marco de Canaveses,5196,5131,6129,3036,3052,3417,2847,1146,181,174,184,69
Paços de Ferreira,4843,4987,5552,2932,2909,3088,2816,942,174,169,177,58
Penafiel,5394,5211,6361,3127,3087,3222,3011,1122,182,166,191,65
Resende,4226,4739,4828,2720,3119,3559,2735,794,192,209,176,60
Douro,4374,4776,4982,2820,3104,3274,2961,955,177,176,178,58
Alijó,4159,4499,4718,2770,3243,3480,2989,860,187,185,188,62
Armamar,4375,4336,5093,2792,3015,3064,2977,881,176,163,186,59
Carrazeda de Ansiães,4037,4495,4620,2658,2739,3264,2412,980,172,192,159,58
Freixo de Espada à Cinta,4104,4515,4755,2478,3709,4442,3289,744,224,225,223,51
Lamego,4689,4800,5354,3086,3054,3064,3044,849,170,160,180,52
Mesão Frio,4774,4746,5538,3038,3495,3565,3430,1308,208,192,222,81
Moimenta da Beira,4223,4862,4765,2782,3177,3150,3196,1024,177,177,178,61
Murça,3947,4537,4434,2565,3405,3638,3188,920,185,178,193,66
Penedono,3847,4389,4442,2390,2898,4026,2130,982,163,193,143,61
Peso da Régua,4991,5084,5766,3138,3110,3087,3130,1124,185,175,194,63
Sabrosa,4231,4872,4746,2745,3336,3478,3246,866,197,183,206,57
Santa Marta de Penaguião,4360,4945,4926,2796,2879,3119,2597,1074,172,183,158,69
São João da Pesqueira,4238,4833,4958,2613,2982,3151,2849,848,185,181,189,59
Sernancelhe,4010,4433,4554,2678,2607,3226,2329,887,175,193,167,60
Tabuaço,4235,4383,4869,2792,3183,3343,3012,1022,194,191,198,64
Tarouca,4315,4988,5026,2682,3201,3175,3230,776,173,168,178,48
Torre de Moncorvo,4042,4858,4546,2661,3461,3827,3162,879,199,199,200,60
Vila Nova de Foz Côa,4041,4486,4574,2751,3421,3233,3565,1197,199,187,207,77
Vila Real,4473,4864,5045,2837,3025,3359,2784,975,168,178,162,55
Terras de Trás-os-Montes,4118,4749,4647,2619,2930,3182,2746,912,168,169,167,53
Alfândega da Fé,3967,4168,4484,2554,3236,3149,3320,878,187,169,204,57
Bragança,4220,5117,4726,2594,2614,2847,2442,1001,149,151,147,53
Macedo de Cavaleiros,4013,4566,4541,2605,3112,3499,2819,821,174,178,170,52
Miranda do Douro,4643,4759,5300,2907,3666,4133,3391,866,194,194,193,56
Mirandela,4174,4493,4741,2717,2871,3196,2660,845,169,169,168,48
Mogadouro,4049,4470,4615,2601,3082,3311,2829,823,180,182,178,58
Vila Flor,3986,4616,4486,2541,3378,3591,3224,1084,191,196,187,68
Vimioso,3716,4537,4180,2415,3150,2829,3281,722,178,166,183,47
Vinhais,3948,4706,4400,2493,3328,3544,3165,826,200,211,191,53
Centro,5461,5869,6232,3256,2993,3285,2793,1061,162,160,163,55
Oeste,5886,6107,6777,3439,3013,3310,2818,1268,161,158,164,64
Alcobaça,5819,6263,6626,3425,2905,3281,2689,1218,159,159,159,61
Alenquer,6333,6829,7371,3638,3337,3466,3236,1626,175,164,183,75
Arruda dos Vinhos,6598,6984,7720,3822,3947,4533,3519,1397,189,192,187,63
Bombarral,5251,5699,6085,3096,2552,3104,2230,1041,147,160,140,55
Cadaval,5394,5566,6273,3070,2352,3054,2088,1387,130,149,124,76
Caldas da Rainha,5770,5919,6589,3405,2921,3394,2648,940,156,162,152,50
Lourinhã,5678,5849,6559,3178,2706,2842,2612,1306,149,133,159,69
Nazaré,5635,5629,6413,3498,2795,2917,2710,1106,156,146,164,58
Óbidos,5563,5391,6482,3156,2950,3367,2711,1101,162,160,163,56
Peniche,5559,5283,6356,3437,2701,2774,2646,1139,146,128,159,60
Sobral de Monte Agraço,6140,5946,7253,3466,3510,3934,3207,1634,180,180,180,75
Torres Vedras,6165,6345,7119,3560,3251,3498,3079,1354,172,170,174,69
Região de Aveiro,5959,5549,6838,3523,2999,3356,2748,1016,158,158,158,51
Águeda,6091,5582,6936,3476,2835,3067,2687,912,155,157,154,49
Albergaria-a-Velha,5758,5246,6658,3393,3177,3447,2995,1116,167,158,173,57
Anadia,5389,5337,6120,3298,2845,2908,2798,890,149,143,153,48
Aveiro,6608,5857,7563,3901,3067,3409,2799,916,155,155,154,45
Estarreja,6193,5251,7208,3778,3137,3906,2623,1246,159,167,154,59
Ílhavo,6480,5930,7447,3928,3008,3369,2736,1070,159,159,159,51
Murtosa,4894,5531,5671,3110,3086,3433,2776,1035,158,148,166,46
Oliveira do Bairro,4980,5318,5666,2976,2341,2411,2293,855,130,118,137,46
Ovar,6266,5687,7237,3587,3200,3701,2870,1101,173,180,168,55
Sever do Vouga,4980,5155,5664,2972,2950,3334,2670,1115,154,155,153,61
Vagos,4742,5107,5422,2857,2761,3038,2607,1002,154,145,159,54
Região de Coimbra,5525,5906,6289,3304,3042,3334,2809,823,160,159,160,43
Arganil,4910,5249,5605,3006,3424,4057,2939,989,193,215,176,60
Cantanhede,4675,5213,5300,2845,2916,3356,2666,845,157,160,154,44
Coimbra,5987,6318,6726,3602,3229,3465,3016,735,163,163,164,36
Condeixa-a-Nova,5367,5946,6107,3023,2888,3299,2644,735,153,158,151,36
Figueira da Foz,6458,6774,7442,3678,3046,3276,2819,1053,154,146,161,49
Góis,5063,5589,5808,3153,3101,3507,2695,772,170,177,163,46
Lousã,5780,5607,6635,3567,3024,3649,2643,737,169,184,160,40
Mealhada,5514,5814,6260,3349,2901,3231,2665,866,146,148,145,43
Mira,4641,4736,5250,2861,2813,2825,2804,943,154,141,163,50
Miranda do Corvo,5132,5383,5888,3089,2898,3395,2439,784,159,176,144,44
Montemor-o-Velho,5531,6142,6322,3349,2771,2992,2655,812,149,142,153,44
Mortágua,4414,4611,5026,2741,2620,2798,2453,681,148,146,150,40
Oliveira do Hospital,5007,5498,5713,3014,2947,3146,2780,926,171,171,171,55
Pampilhosa da Serra,5135,4927,6019,3207,2851,3101,2563,686,177,192,160,47
Penacova,4573,5557,5146,2810,2742,3130,2321,812,146,152,140,49
Penela,4692,5184,5321,2925,2863,3276,2636,573,164,182,155,34
Soure,5482,6537,6246,3345,3089,3528,2764,896,164,164,164,46
Tábua,4940,4910,5655,3027,2860,2876,2849,814,178,173,182,49
Vila Nova de Poiares,5029,5277,5865,2954,3117,3334,2973,592,176,171,180,34
Região de Leiria,5731,6482,6507,3304,2958,3258,2780,1226,158,153,161,57
Alvaiázere,4414,5420,5029,2705,2639,3368,2109,836,157,187,135,53
Ansião,4735,5733,5388,2794,3204,3566,2972,911,185,188,183,53
Batalha,5352,5922,6089,2971,2686,3064,2500,1118,143,147,140,55
Castanheira de Pêra,5049,5425,5714,3231,2870,3642,2337,737,176,201,159,46
Figueiró dos Vinhos,4514,5212,5117,2904,3134,3400,2937,832,174,165,180,48
Leiria,6143,6613,6958,3522,2962,3272,2776,1231,156,150,160,57
Marinha Grande,7275,8241,8165,4170,2961,3179,2822,1605,158,151,162,63
Pedrógão Grande,4683,5735,5368,2954,3700,4394,2917,695,209,222,195,44
Pombal,4779,5470,5453,2849,2978,3237,2835,1102,158,154,160,56
Porto de Mós,5350,6013,6087,3086,2949,3238,2795,1115,161,152,165,57
Viseu Dão Lafões,4713,4834,5368,2913,2903,3184,2722,953,165,165,165,53
Aguiar da Beira,3997,4849,4482,2569,3043,3468,2713,1198,172,185,162,73
Carregal do Sal,4585,4934,5216,2885,2349,2499,2261,841,142,138,144,49
Castro Daire,4270,4705,4841,2693,3317,3839,2899,1146,188,198,180,67
Mangualde,5130,5046,5879,3099,3070,3172,3008,952,179,166,187,52
Nelas,4926,5070,5644,3046,3021,3583,2636,1160,163,164,162,64
Oliveira de Frades,4887,5152,5649,2818,2842,2828,2855,1022,167,154,177,57
Penalva do Castelo,4180,5076,4675,2748,3014,2948,3056,1048,173,159,182,63
Santa Comba Dão,5037,5362,5766,3052,3171,3439,2969,1156,174,167,179,62
São Pedro do Sul,4534,4600,5149,2844,2503,2669,2410,841,156,151,158,53
Sátão,4048,4498,4541,2654,2839,3251,2578,1028,167,180,159,62
Tondela,4626,4835,5264,2875,2948,3027,2905,1000,162,153,167,54
Vila Nova de Paiva,3764,4452,4233,2550,2584,2676,2481,797,156,155,157,50
Viseu,4961,4770,5642,3043,2894,3282,2641,863,161,167,156,45
Vouzela,4640,4613,5327,2777,2882,2715,2947,955,168,150,174,57
Beira Baixa,4915,5678,5593,3001,3146,3320,3038,832,180,176,182,46
Castelo Branco,5083,5825,5748,3106,3188,3434,3049,817,180,178,181,44
Idanha-a-Nova,4592,4865,5260,2872,3017,2987,3047,753,180,167,193,46
Oleiros,4450,5366,5090,2773,3076,2250,3944,1010,174,156,194,55
Penamacor,4181,5619,4702,2698,3130,3357,2938,1036,192,197,188,63
Proença-a-Nova,4678,5523,5376,2791,3083,3359,2854,838,181,182,181,53
Vila Velha de Ródão,6010,6244,7035,3435,2681,2606,2722,818,160,134,175,47
Médio Tejo,5545,6047,6326,3358,2921,3211,2715,1161,161,161,161,62
Abrantes,5654,6126,6501,3416,2893,2918,2870,1310,161,148,174,71
Alcanena,5655,6290,6358,3296,2912,3121,2754,1228,162,165,160,65
Constância,6084,6242,7111,3546,3038,3499,2604,1306,152,147,157,68
Entroncamento,7151,6932,8157,4574,2886,3276,2663,1094,158,157,158,53
Ferreira do Zêzere,4813,5719,5500,2821,2894,2942,2868,1297,164,153,171,72
Mação,4996,5147,5763,3076,2872,2778,2965,883,169,164,174,58
Ourém,5011,5690,5664,2985,2696,3076,2505,1039,144,145,144,55
Sardoal,5361,6218,6208,3101,3123,3626,2849,1105,174,195,163,63
Sertã,4805,5153,5580,2905,3166,3839,2853,884,175,185,171,54
Tomar,5481,5928,6254,3371,3051,3495,2664,1263,169,176,163,69
Torres Novas,5945,6484,6719,3584,3020,3316,2811,1228,169,173,166,64
Vila de Rei,5027,5652,5771,3132,3039,4106,2281,824,173,213,145,47
Vila Nova da Barquinha,6225,6654,7068,3952,2872,3633,2422,1136,159,179,147,63
Beiras e Serra da Estrela,4666,5089,5302,2874,3034,3206,2913,1202,172,170,173,70
Almeida,4085,4453,4637,2567,3333,3741,3073,1517,184,183,185,87
Belmonte,4723,5147,5353,2823,3295,3204,3347,957,193,169,206,61
Celorico da Beira,4290,4760,4856,2829,3651,3866,3506,1231,194,194,194,73
Covilhã,5052,5203,5739,3077,2849,2971,2760,966,166,162,168,55
Figueira de Castelo Rodrigo,4155,4972,4702,2698,2499,2840,2282,1324,152,160,146,79
Fornos de Algodres,4202,5037,4788,2697,3064,3711,2705,1355,175,178,174,86
Fundão,4748,5149,5415,2979,3157,3692,2815,988,176,180,173,59
Gouveia,4408,4904,4988,2675,3115,3261,2980,1155,167,168,165,70
Guarda,4898,5395,5584,2934,3065,3135,3019,1336,171,167,173,71
Manteigas,4466,5027,5028,2729,2647,2851,2368,1027,152,151,152,58
Mêda,3967,4647,4497,2609,2706,2649,2749,1130,162,157,166,83
Pinhel,4138,4632,4727,2546,2986,3165,2875,1496,177,170,181,96
Sabugal,3841,4449,4371,2434,3395,3390,3398,1531,197,187,204,91
