,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Batalha,25878,25445,1978,1960,20558,20228,3342,3257
Castanheira de Pêra,7392,7271,548,548,5617,5519,1228,1204
Figueiró dos Vinhos,10919,10606,855,850,8131,7896,1934,1860
Leiria,217918,214888,17829,17667,171385,169127,28704,28093
Marinha Grande,95177,93631,10186,10039,72743,71672,12248,11920
Pedrógão Grande,7230,7037,637,634,5250,5096,1344,1307
Pombal,80497,79141,6646,6597,61404,60435,12446,12109
Porto de Mós,42743,41973,3428,3380,33307,32742,6008,5851
Viseu Dão Lafões,384188,376721,13999,13708,308718,303121,61471,59893
Aguiar da Beira,8218,8015,504,503,6324,6165,1390,1347
Carregal do Sal,15190,14957,533,525,12107,11926,2550,2505
Castro Daire,23951,23478,993,964,18982,18635,3977,3879
Mangualde,31898,31177,928,920,25950,25382,5020,4874
Nelas,23177,22678,836,816,18491,18131,3850,3731
Oliveira de Frades,15154,14860,577,565,12280,12066,2297,2230
Penalva do Castelo,11160,10913,452,448,8771,8578,1937,1887
Santa Comba Dão,20257,19889,735,726,16284,16007,3239,3155
São Pedro do Sul,26098,25458,920,901,20946,20446,4231,4111
Sátão,14244,13971,594,594,11217,10998,2434,2379
Tondela,45319,44420,1760,1721,36225,35545,7334,7154
Vila Nova de Paiva,5804,5680,209,206,4482,4393,1112,1081
Viseu,126939,124765,4441,4311,103017,101454,19481,19001
Vouzela,16778,16460,517,508,13643,13394,2619,2558
Beira Baixa,146697,143748,7768,7675,115365,113153,23564,22920
Castelo Branco,86343,84811,5097,5058,67872,66725,13373,13028
Idanha-a-Nova,16870,16473,598,579,13376,13082,2895,2813
Oleiros,10984,10698,590,575,8469,8266,1924,1857
Penamacor,8257,8026,382,378,6404,6226,1471,1421
Proença-a-Nova,14970,14626,757,742,11780,11513,2434,2371
Vila Velha de Ródão,9274,9114,343,342,7464,7342,1467,1430
Médio Tejo,456584,448011,40363,40021,345558,339174,70662,68816
Abrantes,80332,78721,7633,7568,59877,58689,12822,12463
Alcanena,28383,27844,2491,2463,22121,21724,3771,3657
Constância,6997,6874,649,637,5262,5180,1085,1056
Entroncamento,35943,35270,2724,2693,27382,26878,5836,5699
Ferreira do Zêzere,15637,15337,1899,1888,11309,11058,2429,2391
Mação,15308,15012,772,765,11952,11731,2584,2515
Ourém,66450,65194,6612,6553,50165,49227,9674,9414
Sardoal,8133,7983,889,883,5960,5846,1284,1253
Sertã,26997,26451,1670,1649,20751,20354,4576,4448
Tomar,77726,76231,7274,7215,58096,56994,12356,12022
Torres Novas,73768,72518,6289,6245,56752,55824,10726,10450
Vila de Rei,7395,7242,317,317,5788,5667,1290,1259
Vila Nova da Barquinha,13516,13334,1145,1143,10142,10002,2229,2189
Beiras e Serra da Estrela,377590,369875,18543,18292,299008,293226,60040,58357
Almeida,9764,9532,436,431,7716,7526,1612,1575
Belmonte,11123,10937,638,631,8858,8730,1626,1575
Celorico da Beira,10240,10042,486,484,7881,7744,1873,1815
Covilhã,96290,94536,4402,4329,77286,75995,14602,14212
Figueira de Castelo Rodrigo,8182,7964,368,361,6339,6177,1476,1427
Fornos de Algodres,6942,6769,403,402,5266,5128,1273,1238
Fundão,46795,45802,2096,2060,36793,36033,7907,7709
Gouveia,24541,24071,1084,1065,19744,19401,3713,3605
Guarda,56234,55217,3026,2987,44597,43822,8610,8408
Manteigas,6667,6543,342,342,5329,5236,996,965
Mêda,7358,7187,414,413,5567,5442,1377,1331
Pinhel,15012,14651,801,782,11736,11471,2474,2398
Sabugal,16352,15839,770,753,12732,12359,2850,2726
Seia,48939,47948,2395,2369,39156,38401,7388,7178
Trancoso,13149,12836,882,882,10007,9762,2261,2193
A. M. Lisboa,5945850,5854885,197540,194476,4891786,4822975,856524,837434
Alcochete,31321,30837,1430,1416,25169,24801,4722,4619
Almada,361493,355742,11358,11212,294946,290598,55190,53932
Amadora,347265,342106,11702,11522,285033,281020,50529,49564
Barreiro,186558,183481,7123,7002,149623,147323,29812,29155
Cascais,485187,478186,12127,11979,407829,402578,65231,63628
Lisboa,1363226,1340525,35558,34969,1123742,1106589,203926,198966
Loures,440813,434324,14052,13825,363850,358959,62912,61540
Mafra,133104,130994,8168,8061,105874,104244,19062,18688
Moita,130447,128291,7602,7469,102185,100658,20659,20165
Montijo,83034,81452,3953,3901,66363,65192,12717,12358
Odivelas,263364,259901,9302,9101,218130,215508,35932,35293
Oeiras,433422,427752,9521,9417,367682,363283,56219,55052
Palmela,119474,117293,5003,4938,97440,95758,17031,16597
Seixal,301119,296579,10201,10067,249614,246084,41304,40428
Sesimbra,96062,94407,3522,3443,79060,77790,13481,13174
Setúbal,265486,261094,9049,8863,217129,213865,39308,38366
Sintra,652677,643687,27398,26964,532580,525926,92700,90797
Vila Franca de Xira,251800,248236,10473,10327,205537,202799,35790,35111
Alentejo,1394473,1366938,102909,101724,1076203,1055644,215361,209570
Alentejo Litoral,190443,187147,7310,7191,154669,152143,28463,27812
Alcácer do Sal,25132,24618,923,891,20091,19715,4118,4011
Grândola,25808,25275,1032,1025,20807,20396,3970,3854
Odemira,39774,38933,1977,1946,31354,30686,6443,6301
Santiago do Cacém,70101,69090,2298,2280,58266,57467,9537,9342
Sines,29627,29232,1081,1050,24151,23878,4396,4304
Baixo Alentejo,208483,204078,12759,12566,160988,157718,34736,33795
Aljustrel,23281,22908,1340,1319,18599,18332,3343,3257
Almodôvar,13402,13177,495,489,10878,10712,2029,1976
Alvito,4336,4139,342,336,3233,3065,760,738
Barrancos,1987,1922,83,78,1539,1491,364,354
Beja,50675,49607,3580,3526,38509,37741,8586,8340
Castro Verde,15852,15605,608,586,13109,12933,2135,2086
Cuba,7482,7356,533,531,5676,5576,1273,1248
Ferreira do Alentejo,14767,14383,839,822,11400,11121,2528,2439
Mértola,13584,13244,690,678,10579,10322,2315,2243
