,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Albergaria-a-Velha,37,21,16,69,65,4,52,44,8
Anadia,41,19,22,72,65,7,54,46,8
Aveiro,139,58,81,220,207,13,183,174,9
Estarreja,43,23,20,74,69,5,50,50,0
Ílhavo,62,39,23,97,97,0,84,84,0
Murtosa,16,11,5,27,27,0,30,30,0
Oliveira do Bairro,37,20,17,63,63,0,50,50,0
Ovar,74,44,30,139,134,5,106,106,0
Sever do Vouga,14,12,2,23,23,0,19,19,0
Vagos,32,24,8,53,53,0,40,28,12
Região de Coimbra,661,382,279,1149,1053,96,836,789,47
Arganil,15,13,2,29,29,0,16,16,0
Cantanhede,52,33,19,93,88,5,55,53,2
Coimbra,220,82,138,381,308,73,276,237,39
Condeixa-a-Nova,17,13,4,38,38,0,40,40,0
Figueira da Foz,90,49,41,160,142,18,117,117,0
Góis,7,5,2,14,14,0,6,6,0
Lousã,23,19,4,38,38,0,35,35,0
Mealhada,29,19,10,52,52,0,34,34,0
Mira,15,12,3,31,31,0,13,13,0
Miranda do Corvo,19,14,5,31,31,0,21,21,0
Montemor-o-Velho,36,21,15,59,59,0,45,45,0
Mortágua,12,8,4,21,21,0,18,18,0
Oliveira do Hospital,42,31,11,63,63,0,47,47,0
Pampilhosa da Serra,6,3,3,11,11,0,11,11,0
Penacova,13,13,0,24,24,0,29,29,0
Penela,6,6,0,14,14,0,9,9,0
Soure,25,14,11,43,43,0,26,20,6
Tábua,20,17,3,25,25,0,24,24,0
Vila Nova de Poiares,14,10,4,22,22,0,14,14,0
Região de Leiria,460,319,141,832,778,54,556,504,52
Alvaiázere,5,5,0,13,13,0,11,11,0
Ansião,16,10,6,32,32,0,20,20,0
Batalha,26,17,9,43,43,0,32,32,0
Castanheira de Pêra,3,3,0,7,7,0,9,9,0
Figueiró dos Vinhos,7,5,2,11,11,0,7,7,0
Leiria,211,135,76,394,355,39,257,229,28
Marinha Grande,67,49,18,110,99,11,87,79,8
Pedrógão Grande,5,4,1,8,8,0,10,10,0
Pombal,82,64,18,139,138,1,83,71,12
Porto de Mós,38,27,11,75,72,3,40,36,4
Viseu Dão Lafões,484,382,102,850,818,32,685,666,19
Aguiar da Beira,10,10,0,15,15,0,13,13,0
Carregal do Sal,12,12,0,25,25,0,23,23,0
Castro Daire,21,18,3,42,42,0,34,34,0
Mangualde,27,20,7,61,61,0,41,41,0
Nelas,33,23,10,51,49,2,29,29,0
