,Total (€),"Main occupation, Managers (€)","Main occupation, Professionals (€)","Main occupation, Technicians and associate professionals (€)","Main occupation, Clerical support workers (€)","Main occupation, Service and sale workers (€)","Main occupation, Skilled agricultural, forestry, and fishery workers (€)","Main occupation, Craft and related trades workers (€)","Main occupation, Plant and machine operators, and assemblers (€)","Main occupation, Elementary occupations (€)"
Viana do Alentejo,968.17,1251.46,1341.89,1114.62,1117.06,803.52,994.16,911.85,876.56,868.71
Vila Viçosa,1119.09,1824.77,1482.85,1354.63,1084.62,874.66,1012.06,1138.92,1134.4,877.54
Algarve,1106.32,1996.94,1653.06,1406.11,1110.04,959.96,1014.84,990.57,1029.84,870.87
Albufeira,1092.27,2336.71,1484.18,1378.6,1108.75,1001.52,1002.08,1064.65,977.01,881.16
Alcoutim,925.49,1421.96,1204.17,1159.29,1232.97,766.6,758.1,828.76,987.15,794.24
Aljezur,970.58,1409,1391.67,1087.47,1042.83,876.74,1267.98,970.7,983.02,825.51
Castro Marim,938.4,1384.6,1377.12,1120.6,995.2,875.39,804.2,892.27,1031.42,803.99
Faro,1257.8,2183.35,1830.33,1559.73,1246.28,961.95,871.66,1060.75,1068.65,917.2
Lagoa,1113.22,2064.16,1502.41,1455.87,1066.24,996.29,1289.49,985.79,1018.62,856.94
Lagos,1056.61,1729.92,1466.28,1272.22,1049.98,943.18,969.88,983.6,994.48,911.51
Loulé,1114.22,2194.98,1564.59,1385.37,1122.93,1004.03,1027.27,1015.72,1109.1,889.05
Monchique,933.36,1661.56,1339.02,1152.88,1008.31,793.97,800.08,859.07,933.36,755.06
Olhão,1039.66,1804.88,1440.21,1307.57,1038.68,912.09,1146.3,914.27,949.64,851.06
Portimão,1102.08,1952.1,1722.67,1500.94,1065.72,934.97,919.79,953.15,1024.51,835.85
São Brás de Alportel,1032.38,1534.72,1617.53,1057.02,1025.75,852.59,887.69,895.38,1035.88,823.26
Silves,1050.39,1731.42,1691.31,1298.8,1070.74,905.48,885.25,927.77,975.95,842.07
Tavira,1007.41,1722.14,1476.78,1269.19,1005.99,895.44,965.49,958.94,997.06,818.3
Vila do Bispo,1010.22,1498.42,1320.09,1137.54,1022.83,951.73,1079.74,980.72,945.35,866.27
Vila Real de Santo António,1027.15,1790.39,1685.15,1224.94,1043.17,884.42,983.08,959.22,1030.48,836.6
R. A. Açores,1126.12,2137.9,1798.84,1665.94,1100.11,905.03,987.56,935.03,1041.82,885.79
Santa Maria,1821.09,1860.46,1674.95,5035.05,1366.84,905.33,754.87,1083.55,1107.61,853.98
Vila do Porto,1821.09,1860.46,1674.95,5035.05,1366.84,905.33,754.87,1083.55,1107.61,853.98
São Miguel,1115.36,2361.95,1779.6,1577.19,1106.11,898.55,972.74,928.08,1024.62,873.35
Lagoa (R.A.A.),980.73,2284.17,1501.71,1175.63,974.65,845.87,759.39,818.17,941.52,837.67
Nordeste,907.28,1071,1408.22,942.55,1028.94,865.22,864.32,774.48,835.8,791.28
Ponta Delgada,1181.37,2455.97,1821.69,1706.05,1141.44,913.88,1020.16,976.32,1075.11,887.73
Povoação,971.52,2823.67,1425.12,1154.29,1027.61,863.09,1304.03,928.67,844.4,809.24
Ribeira Grande,1063.01,2259.87,1856.71,1425.08,1066.16,890.78,887.15,939.61,1016.65,881.26
Vila Franca do Campo,906.26,1589.01,1602.16,1169.05,968.87,867.72,777.69,804.27,820.42,782.38
Terceira,1121.34,1966.77,1934.85,1340.82,1077.41,918.47,865.41,922.54,1034.58,895.92
Angra do Heroísmo,1133.93,2020.52,2038.74,1312.89,1045.8,925.46,821.89,938.18,992.1,858.73
Vila da Praia da Vitória,1094.21,1835.13,1630.67,1398.85,1134.63,901.22,947.17,895.51,1157.44,968.66
Graciosa,1103.91,1944.15,1529.91,1610.72,1251.87,1011.37,752.59,947.95,1053.26,927.6
Santa Cruz da Graciosa,1103.91,1944.15,1529.91,1610.72,1251.87,1011.37,752.59,947.95,1053.26,927.6
São Jorge,1011.03,1348.95,1406.03,1346.92,1107.38,900.15,783.67,921.54,1048.73,860.98
Calheta (R.A.A.),942.07,1754.74,1529.73,1100.1,1057.33,874.69,827.57,826.61,942.4,848.05
Velas,1041.84,1259.88,1355.42,1414.89,1122.53,910.64,769.03,1006.65,1078.86,867.25
Pico,999.88,1299.91,1281.6,1330.13,1056,865.66,1363.4,945.58,1036.51,884.62
Lajes do Pico,926.16,1247.93,1017.43,1175.87,995.03,841.77,780.75,894.18,898.94,881.95
Madalena,994.21,1324.04,1326.72,1147.57,1050.48,870.28,1801.92,963.95,1047.07,870.99
São Roque do Pico,1068.04,1202.66,1377.87,1765.62,1118.15,876.57,…,958.53,1046.42,929.67
Faial,1174.37,1842.14,1762.78,1740.17,1055.53,927.99,1280.01,977.32,1176.48,1003.19
Horta,1174.37,1842.14,1762.78,1740.17,1055.53,927.99,1280.01,977.32,1176.48,1003.19
Flores,1128.21,1323.73,2047.98,2042.11,1061.33,893.76,726.34,1173.25,1187.28,887.67
Lajes das Flores,1062.18,1080.72,1978.37,2061.3,916.21,890.98,…,1159.45,1243.21,930.59
Santa Cruz das Flores,1163.1,1465.49,2105.98,2037.96,1158.08,894.78,719.04,1178.89,1149.02,851.11
Corvo,1060.73,…,1555.49,1178.43,1163.52,903.42,…,1000.04,…,853.79
Corvo,1060.73,…,1555.49,1178.43,1163.52,903.42,…,1000.04,…,853.79
R. A. Madeira,1212.39,2643.05,1985.84,1543.83,1153.16,919.41,872.67,1109.24,1102.4,926.08
Calheta (R.A.M.),1230.93,2985.89,2440.01,1597.11,1135.49,895.14,888.63,1136.18,1318.57,999.8
Câmara de Lobos,1028.79,2060.45,1517.44,1431.63,1100.45,833.72,821.61,943.3,1059.6,861.84
Funchal,1264.75,2794.77,2043.88,1540.71,1133.47,937.1,905.64,1198.7,1102.69,914.66
Machico,1142.01,2674.95,1787.83,1375.41,1175.28,857.88,841.09,1020.07,1027.05,992.42
Ponta do Sol,933.17,1123.54,1118.02,1103.06,979.31,800.56,769.63,905.59,1220.54,813.79
Porto Moniz,886.52,1846.05,1340.9,1703.06,980.1,779.69,…,975.46,803.6,852.84
Ribeira Brava,997.38,1963.8,1418.32,1178.57,1001.88,865,…,944.53,873.98,888.78
Santa Cruz,1168.42,2251.1,1725.61,1823.88,1329.41,962.73,847.56,995.95,1030.1,969.72
Santana,927.2,1954.2,1768.97,922.81,1064.39,825.35,851.91,908.72,859.6,857.09
São Vicente,893.75,1788.54,1223.74,1092.39,993.77,801.29,773.25,873.8,862.47,824.99
Porto Santo,1323.46,1870.05,1851.72,2388.95,1498.81,956.24,781.7,1559.37,1144.89,1122.88
