,Total (€),"Main occupation, Managers (€)","Main occupation, Professionals (€)","Main occupation, Technicians and associate professionals (€)","Main occupation, Clerical support workers (€)","Main occupation, Service and sale workers (€)","Main occupation, Skilled agricultural, forestry, and fishery workers (€)","Main occupation, Craft and related trades workers (€)","Main occupation, Plant and machine operators, and assemblers (€)","Main occupation, Elementary occupations (€)"
Aveiro,1315.84,2681.66,1937.47,1524.47,1157.78,973.08,906.44,1131.55,1154.1,917.98
Estarreja,1349.15,2580.09,1974.26,1702.94,1145.42,904.35,892.61,1131.94,1411.2,897.05
Ílhavo,1247.82,2809.53,1751.84,1553.37,1139.02,916.72,1336.63,1041.84,1031.32,930.06
Murtosa,985.61,1696.71,1436.53,1189.69,1128.13,814.64,886.62,900.98,942.51,810.86
Oliveira do Bairro,1127.67,2279.78,1563.15,1377.61,1037.8,930.16,872.83,1023.39,1042.37,923.04
Ovar,1180.88,2431.72,1874.98,1438.42,1148.24,921.56,816.51,1010.7,1009.42,856.49
Sever do Vouga,1120.54,2116.39,1515.91,1305.49,1049.6,888.51,887.29,1119.02,1074.76,889.29
Vagos,1059.71,2429.96,1539.89,1249.82,1000.77,893.37,855.06,924.08,972.14,853.37
Região de Coimbra,1167.6,2187.62,1738.12,1341.17,1080.8,897.04,907.31,1037.6,1138.57,900.8
Arganil,954.55,1828.22,1387.78,1133.9,973.19,847.16,901.44,892.5,905.5,787.9
Cantanhede,1153.55,2641.63,1554.43,1437.17,1078.71,914.66,867.69,1075.12,1050.23,852.05
Coimbra,1265.51,2320.76,1867.48,1350.72,1101.31,927.08,825.22,1083.65,1144.45,968.51
Condeixa-a-Nova,1092.11,1981.01,1532.45,1174.45,1068.5,878.39,811.3,921.44,1114.02,952.48
Figueira da Foz,1259.82,2416.19,1970.57,1518.07,1166.48,878.92,1234.11,1103.2,1359.06,946.6
Góis,876.76,1170.58,1343.25,1033.69,905.24,818.67,787.27,800.53,894.54,767.8
Lousã,1065.3,1828.32,1437.4,1190.71,1016.33,921.35,816.69,1011.78,1050.02,806.75
Mealhada,1185.85,2335.02,1533.74,1386.84,1089.7,912.52,920.69,1024.11,1324.47,866.92
Mira,996.26,1889.71,1385.57,1065.66,943.87,815.84,910.94,1007.99,902.03,836.01
Miranda do Corvo,960.43,1505.24,1304.95,1005.58,958.01,828.4,945.59,951.62,1024.62,808.15
Montemor-o-Velho,1042.67,1616.07,1361.16,1321.71,1071.23,873.36,777.63,938.2,1102.93,826.39
Mortágua,1065.55,1989.47,1409.64,1336.37,990.01,921.19,885.25,1017.77,954.76,822.89
Oliveira do Hospital,977.66,1673.15,1405.89,1232.76,955.29,848.55,754.83,901.65,889.42,798.06
Pampilhosa da Serra,942.01,1381.65,1384.42,1245.82,1055.99,811.22,802.52,860.69,907.69,785.63
Penacova,1022.96,1417.99,1389.72,1310.5,1000.54,817.7,1163.05,1086.37,971.23,782.18
Penela,1067.34,1867.36,1175.66,1259.11,944.35,849.19,991.98,946.41,1062.73,1003
Soure,1085.25,1898.61,1533.53,1227.75,1058,853.61,842.52,1257.18,1050.62,902.33
Tábua,999.06,2719.61,1404.99,1148.81,1153.15,855.5,829.64,849.07,927.79,820.45
Vila Nova de Poiares,1047.51,2223.06,1501.77,1031.94,1038.87,887.8,752.63,938.06,1113.57,858.75
Região de Leiria,1194.01,2185.12,1645.12,1438.94,1103.13,925.66,870.04,1130.63,1157.21,891.92
Alvaiázere,1012.36,1549.24,1320.43,1031.66,985.15,834.06,790.81,896.06,1201.04,789.64
Ansião,999.36,1546.78,1350.04,1144.08,994.15,814.8,827.45,878.45,1079.82,834.17
Batalha,1167.32,2344.36,1630.38,1482.33,1103.94,931.89,843.26,1089.86,1115.74,882.88
Castanheira de Pêra,970.18,1400.8,1326.07,1112.46,1015.56,865.66,1016.82,1074.07,843.2,827.36
Figueiró dos Vinhos,948.74,1613.12,1249.74,1137.9,1073.21,817.39,798.07,833.88,968.37,776.58
Leiria,1202.62,2257.5,1687.6,1424.95,1099.52,954.68,906.44,1141.76,1119.37,882.29
Marinha Grande,1387.85,2847.53,1717.97,1674,1155.25,914.67,795.81,1360.55,1312.89,1002.25
Pedrógão Grande,999.4,1894.83,1399.17,1053.61,940.6,808.75,843.92,900.36,992.1,776.4
Pombal,1095.63,1684.13,1504.23,1256.92,1083.85,886.6,821.37,1018.61,1122.53,889.01
Porto de Mós,1177.43,2325.38,1680.48,1401.74,1156.33,913.42,869.16,1055.25,1173.79,890.42
Viseu Dão Lafões,1099.74,2035.23,1629.24,1387.88,1041.35,859.62,848.93,955.58,1091.92,859.11
Aguiar da Beira,894.11,1135.13,1136.2,902.32,954.31,774.87,790.56,826.86,1046.41,757.53
Carregal do Sal,1080.71,2485.68,1345.74,1377.2,1069.74,917.24,900.24,889.87,963.39,896.67
Castro Daire,929.99,1271.95,1162.73,1190.22,1055.03,811.1,782.02,840.62,1050.39,751.35
Mangualde,1209.26,2412.15,1735.28,1426.58,1104.02,867.13,794.05,994.18,1365.44,840.88
Nelas,1161.71,3529.15,1559.73,1516.39,1125.07,841.42,977,1114.44,955.69,878.52
Oliveira de Frades,1141.32,2736.74,1674.51,1492.5,1007.51,911.25,863.96,946.74,973.72,923.17
Penalva do Castelo,992.62,1367.85,1293.91,1426.57,1108.72,762.46,772.41,924.25,1159.08,832.76
Santa Comba Dão,1024.22,1778.08,1442.61,1103.91,1015.84,853.35,792.59,915,962.08,894.85
São Pedro do Sul,900.14,1630.03,1337.98,1058.53,973.23,788.29,800.04,828.98,900.35,769.93
Sátão,886.34,1348.91,1227.2,1005.82,959.78,784.2,806.29,836.9,941.84,762.39
Tondela,1154.9,2618.99,1829.44,1625.89,1118.21,826.24,846.6,930.14,970.89,899.68
Vila Nova de Paiva,931.49,1181.69,1311.78,1049.52,1096.29,829,820.2,834.55,969.92,786.87
Viseu,1128.83,1854.9,1690.68,1369.27,1017.4,886.99,889.39,977.96,1067.28,861.84
Vouzela,952.48,2204.74,1364.87,1182.89,1061.4,817.41,786.32,919.34,810.73,785.94
Beira Baixa,1082.01,2018.8,1667.5,1303.63,1051.74,862.45,869.58,923.62,1106.5,859.92
Castelo Branco,1075.37,2020.42,1630.22,1304.38,1043.78,874.48,886.8,921.89,1041.28,834.35
Idanha-a-Nova,986.03,1753.62,1435.34,1213.48,1036.43,817.44,859.17,862.69,1011.28,880.81
Oleiros,1019.9,1328.13,1300.83,1146.72,1031.81,776.19,793.89,934.76,1226.43,865.58
Penamacor,998.73,2038.06,1632.13,1090.13,1164.75,793.09,864.54,916.67,916.77,806.79
Proença-a-Nova,1056.3,1479.11,2256.66,1046.7,1013.01,825.45,829.83,866.2,1001.05,761.27
Vila Velha de Ródão,1373.2,3210.5,1849.01,1810.67,1194.88,862.07,1017.55,1212.81,1446.49,1053.1
Médio Tejo,1115.82,2210.63,1607.39,1390.74,1095.87,877.21,908.4,1021.07,1140.63,844.98
Abrantes,1167.8,2599.41,1783.4,1473.2,1113.98,867.53,1039.79,1080.22,1109.25,872.01
Alcanena,1161.28,2642.92,1625.65,1403.3,1164.4,922.05,729.78,978.4,1009.73,944.45
Constância,1242.42,3396.77,2085.84,1630.14,1141.33,837.96,…,1162.87,1221.45,864.11
Entroncamento,1212.14,2221.9,1806.25,1294.15,1162.73,929.93,1197.73,1037.22,1381.58,833.5
Ferreira do Zêzere,1018.28,2050.3,1385.41,1110.3,1020.52,868.62,926.16,940.49,1300.92,815.22
Mação,939.48,1856.48,1262.51,1235.16,1057.55,813.23,866.76,870.96,934.18,770.27
Ourém,1115.05,1984.85,1510.43,1362.07,1079.42,878.56,852.75,1063.87,1225.3,845.69
Sardoal,873.95,1313.49,1077.09,973.16,837.67,841.56,778.46,837.54,835.18,796.24
Sertã,976.11,1353.75,1506.09,1130.5,1030.21,852.23,859.58,869.31,1020.49,774.87
Tomar,1093.28,1852.43,1554.56,1470.82,1029.09,867.79,868.24,1084.6,986,815.3
Torres Novas,1145.26,2711.12,1665.68,1457.45,1128.12,896.98,920.83,945.34,1106.21,844.08
Vila de Rei,905.72,1364.16,1538.73,1022.04,1003.81,766.59,772.93,821.89,908.03,799.4
Vila Nova da Barquinha,968.59,1845.23,1156.15,1279.6,925.77,776.4,829.18,1068.32,978.85,773.16
Beiras e Serra da Estrela,1051.24,1822.19,1536.14,1227.16,1030.87,844.84,855.63,904.42,1091.67,817.03
Almeida,968.18,1673.53,1169.01,1087.28,1082.88,820.34,775.7,846.08,1322.45,762.47
Belmonte,919.45,1663.28,1440.64,1175.78,981.06,812.14,845.76,824.81,750.68,791.6
Celorico da Beira,1099.55,1560.6,1505.8,982.96,981.1,811.7,767.52,817.67,1417.64,740.97
Covilhã,1054.27,2072.75,1640.75,1255.61,982.44,852.01,786.81,882.98,875.97,821.03
Figueira de Castelo Rodrigo,894.32,1161.94,1346.33,993.62,883.54,806.46,802.36,784.65,1027.09,787.92
Fornos de Algodres,873.61,1079.65,1187.67,943.03,977.76,780.04,767.7,778.67,997.86,747.09
Fundão,1055.15,2105.34,1442.65,1161.78,1080.94,859.54,852.77,930.29,908.84,851.79
Gouveia,951.61,1689.07,1324.39,1093.35,988.53,851,851.87,828.02,844.92,802.04
Guarda,1176.34,1971.82,1651.51,1368.75,1094.67,866.94,959.31,1000.56,1332.18,827.18
Manteigas,966.46,1795.86,1345.52,1052.98,942.95,845.06,866.78,839.24,926.25,852.9
Mêda,919.15,1351.46,1260.59,1108.12,880.21,798.47,823.87,882.21,1004.52,793.78
Pinhel,920.81,1333.58,1522.7,1000.6,954.24,767.83,802.01,842.56,948.93,754.91
Sabugal,968.38,1427.28,1563.89,1030.72,1075.96,837.52,791.92,794.27,961.9,790.79
Seia,968.04,1639.27,1487.99,1164.85,1006.92,844.45,786.38,895.25,917.06,799.86
Trancoso,1015.66,1916.53,1408.22,1122.48,1107.05,840.48,973.32,840.26,1053.07,807.24
A. M. Lisboa,1562.69,3643.32,2228.86,1846.63,1292.63,990.31,982.02,1087.15,1214.62,953.44
Alcochete,2006.62,2576.4,1839.08,6601.41,1102.25,1054.5,927.93,1153.92,1228.45,1026.34
Almada,1219.61,2224.7,1962.79,1356.64,1113.6,889.06,846.19,938.39,1026.53,841.29
Amadora,1567.29,3554.39,2444.04,1772.32,1220.35,924.1,862.19,1004.76,1066.5,981.11
Barreiro,1192.2,2065.15,1903.06,1557.77,1039.63,886.2,817.23,1051.11,1148.92,842.93
Cascais,1293.65,2703.84,1961.85,1465.21,1200.18,981.78,909.33,1012.27,1036.67,901.83
Lisboa,1752.02,4097.64,2283.72,1890.07,1346.82,1022.84,985.48,1151.5,1235.62,996.88
Loures,1285.41,2916.09,1993.03,1602.08,1133.55,994.95,861.61,1099.84,1233.71,862.34
Mafra,1111.66,2215.91,1588.31,1342.79,1093.25,924.6,864.39,984.76,1286.79,873.99
Moita,1051.74,1992.49,1502.3,1269.66,1106.07,884.61,933.23,894.1,1046.46,858.54
Montijo,1121.33,2649.54,1702.15,1387.35,1067.84,950.17,874.25,1068.93,1084.69,829.76
Odivelas,1045.49,1718.55,1444.95,1123.36,1040.1,910.15,773.77,937.15,1011.96,841.42
Oeiras,1901.28,4689.52,2428.08,2029.99,1464.75,1107.01,877.78,1227.47,1240.38,1169.98
Palmela,1369.2,3201.12,1892.74,1712.72,1463.07,920.5,897.95,1170.64,1306.89,938.25
Seixal,1408.71,1998.24,1626.01,3472.96,1050.36,931.95,797.2,1026.33,1163.51,869.62
Sesimbra,1061.53,1782.3,1480.89,1179.05,1037.32,884.65,1437.23,1060.61,1073.21,813.4
Setúbal,1290.68,2591.95,1817.92,1634.68,1276.72,901.63,1169.24,1101.22,1343.68,921.77
Sintra,1294.01,2887.17,1935.75,1575.6,1203.3,991.8,911.24,1077.97,1141.6,917.36
Vila Franca de Xira,1315.59,2876,2019.44,1564.64,1140.64,967.65,894.02,1205.96,1203.46,911.92
Alentejo,1154.01,2085.56,1799.31,1439.98,1104.25,897.77,947.64,1065.85,1190.65,885.71
Alentejo Litoral,1232.34,2246.97,2061.74,1559.25,1231.92,911.57,912.41,1053.17,1574.01,900.92
Alcácer do Sal,1082.86,2394.24,1577.38,1189.77,1173.71,915.86,942.25,948.2,1200.59,903.39
Grândola,1143.82,3439.99,1683.04,1436.04,1115.99,916.89,901.49,1039.72,1076.43,870.63
