,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Velas,1041.84,…,1072.07,956.27,972.59,1022.02,…,1593.64,1365.67,2036.31,//
Pico,999.88,899.26,1040,940.21,955.39,973.77,1017.57,815.9,1294.34,1189.39,1268.11
Lajes do Pico,926.16,…,887.7,898.03,904.36,911.73,1017.57,773.15,1157.85,769.27,//
Madalena,994.21,874.26,1089.24,953.57,938.42,963.68,//,841.55,1263.74,1293.79,1178.44
São Roque do Pico,1068.04,//,1032.33,953.75,1039.09,1031.91,//,//,1455.92,1400.71,…
Faial,1174.37,820.63,1074.46,1002.34,1009.08,1103.33,1589.21,1568.38,1818.65,1888.44,2530.22
Horta,1174.37,820.63,1074.46,1002.34,1009.08,1103.33,1589.21,1568.38,1818.65,1888.44,2530.22
Flores,1128.21,//,1153.64,983.57,963.98,1094.03,//,…,2396.12,1393.66,//
Lajes das Flores,1062.18,//,1205.18,1003.12,944.75,991.1,//,//,1782.28,//,//
Santa Cruz das Flores,1163.1,//,1122.71,966.34,972.25,1144.68,//,…,2717.65,1393.66,//
Corvo,1060.73,//,762.43,989.26,982.16,1133.96,//,//,1555.49,//,//
Corvo,1060.73,//,762.43,989.26,982.16,1133.96,//,//,1555.49,//,//
R. A. Madeira,1212.39,979.3,1021.2,1039.23,1016.26,1104.08,1114.82,1869.43,1896.51,2294.02,2437.34
Calheta (R.A.M.),1230.93,1054.4,1225.14,1182.98,1094.22,1107.09,//,941.38,2308.26,1734.98,//
Câmara de Lobos,1028.79,848.08,931.94,959.09,918.09,1027.21,…,1472.46,1637.89,1571.12,//
Funchal,1264.75,1015.91,1036.05,1060.09,1043.51,1111.7,1141.45,1791.91,1915.55,2434.31,2487.89
Machico,1142.01,900.87,947.51,981.28,973.18,1091.67,1375.81,2692.7,1793.83,1758.15,//
Ponta do Sol,933.17,…,928.54,947.49,900.65,916.94,…,749.11,1096.34,//,…
Porto Moniz,886.52,//,919.6,838.28,831.4,893.75,//,//,1128.63,…,//
Ribeira Brava,997.38,…,942.16,951.64,889.11,965.31,//,1112.17,1337.82,1728.14,//
Santa Cruz,1168.42,903.42,940.79,990.46,990.41,1183.73,865.3,2287.49,2033.89,1563.54,…
Santana,927.2,801.65,905.9,933.07,819.27,902.4,//,…,1471.11,//,//
São Vicente,893.75,782.07,838.76,874.89,828.65,896.2,//,…,1295.52,…,//
Porto Santo,1323.46,…,1279.69,1362.96,1141.35,1230.05,…,…,2947.85,1546.16,//
