,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Mortágua,1065.55,820.64,866.31,935.22,904.65,1033.28,…,1523.27,1400.18,1396.27,1866.05
Oliveira do Hospital,977.66,767.52,878.53,887.29,891.29,951.88,1031.86,1533.83,1299.25,1427.44,2612.83
Pampilhosa da Serra,942.01,…,819.75,901.66,899.67,916.45,//,1651.14,1387.63,1180.98,//
Penacova,1022.96,873.73,931.52,980.49,994.13,1015.06,…,1040.11,1316.01,1303.95,//
Penela,1067.34,765.49,961.47,1018.79,1010.12,994.13,1030.44,1639,1281.94,1247.46,…
Soure,1085.25,779.05,954.88,1096.99,990.74,1050.46,…,1640.95,1385.86,1345.14,…
Tábua,999.06,870.31,899.12,915.8,881.91,945.88,1340.36,1493.96,1625.2,2001.06,1084.39
Vila Nova de Poiares,1047.51,…,950.41,1012.72,964.41,1002.58,…,1019.45,1539.8,1659.66,…
Região de Leiria,1194.01,927.7,1008.57,1087.85,1091.16,1132.47,1182.07,1644.02,1568.8,1699.6,2494.65
Alvaiázere,1012.36,…,913.85,1020.94,964.13,983.99,…,1060.16,1292.89,1291.69,…
Ansião,999.36,865.1,863.32,912.7,948.16,1001.99,…,1370.63,1309.27,1554.05,…
Batalha,1167.32,877.16,1048.54,1136.05,1083.7,1117.64,…,1473.02,1600.46,1462.9,2175.88
Castanheira de Pêra,970.18,…,840.73,898.75,928.93,932.56,//,//,1335.49,1703.76,//
Figueiró dos Vinhos,948.74,//,861.38,837.65,827.01,957.35,//,1493.07,1252.89,1247.18,//
Leiria,1202.62,938.25,1031.13,1105.48,1081.88,1112.33,1122.5,1553.41,1554.13,1753.03,2670.02
Marinha Grande,1387.85,947.99,1132.2,1268.45,1292,1316.48,1351.55,1934.74,1737.31,1733.5,2894.53
Pedrógão Grande,999.4,…,823.71,837.01,878.6,956.43,//,1112.92,1373.74,1366.5,//
Pombal,1095.63,901.73,983.37,1008.11,1018,1060.48,909.75,1647.73,1514.28,1422.85,1978.55
Porto de Mós,1177.43,1007.05,950.31,1068.53,1097.66,1151.54,935.08,2213.4,1578.69,1854.31,//
Viseu Dão Lafões,1099.74,823.06,901.58,961.59,968.39,1041.13,989.06,1590.55,1535.43,1643.98,2256.55
Aguiar da Beira,894.11,…,832.49,797.04,889.71,862.19,919.34,1226.26,1160.97,1293.69,…
Carregal do Sal,1080.71,846.07,869.37,889.16,988.85,1050.75,…,1503.32,1442.63,1572.09,…
Castro Daire,929.99,…,864.02,883.42,906.1,923.04,…,808.23,1120.28,1286.73,//
Mangualde,1209.26,761.03,1026.1,1184.67,1152.77,1170.97,…,1673.72,1622.84,1776.43,…
Nelas,1161.71,1204.73,972.39,1027.41,1003.52,1101.45,…,1776.6,1790.89,1562.06,…
Oliveira de Frades,1141.32,827.35,931.86,975.48,983.84,1067.83,//,1822.21,1600.28,2086.45,…
Penalva do Castelo,992.62,805.73,862.93,1004.05,977.76,989.58,//,1642.42,1193.36,1247.36,…
Santa Comba Dão,1024.22,813.72,846.11,880.78,929.2,990.83,…,1481.46,1415.17,1326.62,…
São Pedro do Sul,900.14,775.39,807.72,852.61,819.63,890.27,…,1557.46,1243.99,1393.13,//
Sátão,886.34,841.43,812.39,864.94,837.73,872.27,…,1390.81,1210.59,1029.08,//
Tondela,1154.9,842.24,826.69,896.16,933,1127.37,1369.9,1693.79,1785.53,1636.59,2265.39
Vila Nova de Paiva,931.49,822.85,862.19,861.25,841.63,970.69,//,1084.07,1249.71,1486.78,//
Viseu,1128.83,816.71,936.13,965.6,967.86,1032.93,1002.45,1560.47,1534.08,1627.65,2271.35
Vouzela,952.48,…,872.74,828.46,866.9,932.92,//,1313.76,1312.69,1474.65,//
Beira Baixa,1082.01,825.28,873.6,914.14,964.07,1009.66,1501.04,1442.54,1481.74,1761.78,1993.16
Castelo Branco,1075.37,790.97,885.74,916.99,968.11,976.91,1407.32,1511.79,1462.49,1705.25,2089.02
Idanha-a-Nova,986.03,808.75,846.16,872.46,837.23,964.92,//,1182.89,1361.88,1602.06,…
Oleiros,1019.9,901.11,886.2,995.3,974.88,1033.34,//,1284.55,1280.65,1200.88,//
Penamacor,998.73,1137.13,839.46,862.39,880.46,1002.61,//,1408.47,1401.37,2136.63,//
Proença-a-Nova,1056.3,//,809.43,852.64,848.69,977.94,…,1328.44,1651.21,2401.63,//
Vila Velha de Ródão,1373.2,…,881.5,949.39,1260.38,1435.34,//,1162.42,1716.38,1930.07,//
Médio Tejo,1115.82,834.34,966.3,983.37,1001.74,1059.89,932.05,1669.41,1555.25,1635.82,2252.89
Abrantes,1167.8,802.91,1020.2,969.91,1005.59,1113.96,1081.08,1967.19,1648.94,1792.59,2018.73
Alcanena,1161.28,843.28,1014.35,962.48,1008.46,1096.3,//,1941.37,1656.31,1773.12,//
Constância,1242.42,…,840.25,984.92,1023.53,1219.04,//,3320.17,1894.29,1791.03,//
Entroncamento,1212.14,750.32,963.27,1004.24,1092.39,1115.57,1117.66,1721.62,1691.03,1711.68,//
Ferreira do Zêzere,1018.28,838.94,951.16,1016.78,970.81,978.71,//,1561.05,1298.01,1269.01,…
Mação,939.48,753.67,819.24,851.5,860.31,1011.91,…,892.95,1221.34,1247.42,//
Ourém,1115.05,860.32,1034.1,1030.2,1038,1045.08,831.65,1388.57,1464.95,1568.33,2111
Sardoal,873.95,…,796.64,815.64,852.18,875.88,…,…,1002.93,1315.52,//
Sertã,976.11,727.55,851.92,863.27,904.39,933.51,…,1327.63,1375.24,1456.61,2199.86
Tomar,1093.28,754.5,876.16,958.75,954.06,1088.22,844.34,1568.44,1458.02,1518.34,1620.85
Torres Novas,1145.26,803.96,913.01,993.83,1021.65,1053.15,…,1790.94,1709.98,1820.19,3087.14
Vila de Rei,905.72,…,771.34,802.47,806.21,838.83,//,…,1428.22,1135.96,//
Vila Nova da Barquinha,968.59,//,983.72,876.26,857.61,954.18,//,1154.91,1305.34,1798.32,…
Beiras e Serra da Estrela,1051.24,782.21,865.41,918.8,928.42,999.08,1011.57,1412.66,1441.17,1602.08,1575.32
Almeida,968.18,…,810.5,891.91,960.26,978.3,//,1101.12,1195.64,1144.88,//
Belmonte,919.45,792.83,789.96,808.09,817.94,905.05,//,1182.13,1389.64,1375.59,//
Celorico da Beira,1099.55,795.93,913.72,1189.77,1083.38,1099.51,//,1188.81,1258.08,1999.71,…
Covilhã,1054.27,795.05,858.26,868.12,895.84,961.9,790.94,1487.97,1471.62,1689.09,1551.21
Figueira de Castelo Rodrigo,894.32,…,801.39,808.34,810.97,890.36,1336.32,848.64,1235.26,1612.23,//
Fornos de Algodres,873.61,…,784.94,822.87,853.96,859.12,//,…,1179.04,1013.28,//
Fundão,1055.15,764.89,837.05,895.76,906.87,1034.99,1059.27,1502.69,1398.78,1389.93,1664.07
Gouveia,951.61,806.47,815.92,837.94,870.65,916.49,…,1284.43,1313.73,1306.63,1637.13
Guarda,1176.34,777.95,975.26,1092.14,1026.46,1074.1,…,1462.7,1555.77,1782.1,1577.59
Manteigas,966.46,//,789.76,863.93,895.2,900.03,…,1306.79,1241.52,1737.27,…
Mêda,919.15,//,796.94,861.15,840.41,877.14,//,1613.41,1208.2,1717.15,//
Pinhel,920.81,699.97,798.14,833.15,842.31,917.88,//,899.93,1367.02,1445.84,//
Sabugal,968.38,777.5,850.29,865.76,852.95,936.04,//,1746.41,1299.23,1737.66,…
Seia,968.04,735.66,855.32,849.35,879.48,960.02,…,1170.8,1364.53,1342.28,1465.66
Trancoso,1015.66,…,963.62,901.1,897.53,994.18,…,1291.93,1419.92,1518.24,…
A. M. Lisboa,1562.69,861.51,946.01,1027.86,1071.29,1306.42,1422.65,2240.5,2241.22,2325.43,3034.17
Alcochete,2006.62,796.26,1054.8,1413.11,1769.53,2433.45,1469.87,1978.37,2029.44,2699.9,…
Almada,1219.61,829.58,878.59,927.85,923.62,1034.12,1211.94,1721.8,1865.9,2031.74,2820.17
Amadora,1567.29,812.08,843.8,916.24,958.14,1230.12,945.99,2453.73,2402.56,2361.09,2773.3
Barreiro,1192.2,810.74,899.75,979.82,989.86,1094.49,1211.77,1658.63,1817.49,1749.14,4128.29
Cascais,1293.65,844.84,942.71,973,987.32,1146.39,979.88,2311.24,1904.29,1889.53,3508.45
Lisboa,1752.02,862.68,928.54,1024.04,1103.73,1360.46,1453.26,2261.24,2287.45,2360.53,3118.59
Loures,1285.41,839.68,937.47,1009.12,1072.1,1229.04,1067.95,2155.9,1971.95,2039.29,2319.95
Mafra,1111.66,1000.34,1026.66,1050.14,1025.39,1078.36,1369.25,1528.22,1590.68,1536.06,3195.94
Moita,1051.74,858.38,869.25,931.35,940.56,1054.29,1068.11,1503.88,1541.92,1636.58,…
Montijo,1121.33,797.83,886.59,971.94,965.95,1092.5,1270.15,1874.01,1749.47,1779.73,1772.01
Odivelas,1045.49,819.42,899.39,962.71,954.73,1021.27,1307.3,1400.58,1384.5,1421.26,2639.47
Oeiras,1901.28,850.78,953.87,1099.94,1138.34,1535.13,2147.64,2526.55,2518.81,2595.12,3141.37
Palmela,1369.2,1002.3,1016.87,1077.03,1219.99,1291.13,940.8,2501,2192.74,2069.88,4273.5
Seixal,1408.71,860.77,945.49,1061.4,1131.58,1669.43,1004.25,1979.73,1697.68,1735.98,3240.93
Sesimbra,1061.53,909.77,1083.44,1011.15,981.79,1015.35,…,1273.54,1524.97,1404.04,1445.82
Setúbal,1290.68,929.22,1050,1090.21,1110.64,1169.32,985.7,1943.13,1987.69,1983.76,2496.95
Sintra,1294.01,871.42,974.37,1048.99,1030.89,1189.09,1414.92,2046.97,2035.52,2252.13,3077.96
Vila Franca de Xira,1315.59,929.89,1021,1088.72,1069.78,1229.93,945.01,2042.67,2037.88,2097.59,2456.59
Alentejo,1154.01,848.97,934.21,978.41,1019.42,1103.09,1182.08,1856.82,1731.29,1872.79,2438.45
Alentejo Litoral,1232.34,829.03,914.66,924.27,1074.86,1237.33,1144.66,2225.07,2064.72,2190.63,2778.93
Alcácer do Sal,1082.86,902.58,944.5,955.53,991.39,1023.98,//,1549.51,1736.21,1651.03,865.87
Grândola,1143.82,843.19,911.11,976.01,946.21,1086.47,1018.75,1514.94,2015.29,2028.1,…
Odemira,974.75,800.48,856.27,800.31,918.46,968.28,…,1404.58,1640.37,1958.01,…
Santiago do Cacém,1104.17,828.77,922.35,1003.89,958.55,1012.14,…,1685.87,1667.5,1747.12,…
Sines,1849.64,908.98,1031.09,1225.14,1558.77,1821.18,1294.85,3293.14,2947.08,2849.18,5595.43
Baixo Alentejo,1237.79,900.43,987.19,1057.94,1098.4,1183.42,1207.87,2293.06,1846.12,1770.71,1994.12
Aljustrel,1278.76,877.89,1007.93,1242.25,1190.83,1126.71,//,1915.18,2004.17,2016.14,…
Almodôvar,978.49,852.18,846.51,835.52,925.13,977.6,1129.12,1067.82,1328.8,1565.96,//
Alvito,1039.82,//,994.56,1005.58,947.93,1078.5,//,//,1375.55,…,//
Barrancos,933.63,//,784.79,820.18,852.8,994.77,…,…,1433.25,…,//
Beja,1182.18,865.98,952.85,911.56,1021.84,1096.54,1410.79,1581.25,1752.95,1692.7,1627.08
Castro Verde,2038.78,1112.89,1436.64,1841.84,1830.62,1922.97,//,4385.64,3009.32,2407.67,…
Cuba,1083.3,997.76,954.68,880.12,907.58,997.38,…,2140.3,1677.1,1608.09,//
Ferreira do Alentejo,1092.25,850.25,986.11,956.1,973.83,1070.35,//,1792.05,1638.88,1963.38,…
Mértola,919.21,…,858.72,850.55,863.17,893.57,//,1068.18,1290.74,1414.84,//
Moura,988.5,840.43,829.44,890.71,880.27,970.75,…,1556.55,1441.44,1574.65,…
Ourique,971.22,1521.7,806.16,842.11,902.44,974.42,//,1419.63,1535.03,1959.13,//
Serpa,968.45,853.9,875.86,899.56,901.27,961.05,834.15,1327.68,1362.14,1355.22,//
Vidigueira,1063.64,800,868.08,853.59,869.67,1054.22,1200,2416.69,1699.83,1766.09,//
Lezíria do Tejo,1120.14,846.95,935.22,1006.91,992.55,1039.74,1474.77,1666.74,1687.17,1816.63,2598.96
Almeirim,1037.74,834.15,838.68,928.41,948.82,1015.43,…,1680.34,1489.46,1355.08,…
Alpiarça,1015.73,752.76,874.71,849.06,904.68,1024.5,…,1681.17,1467.92,1416.63,…
Azambuja,1128.46,953.81,956.74,1061.99,1057.99,967.04,…,1883.2,1979.22,1967.52,3067.46
Benavente,1189.2,915.68,1007.19,1028.64,1038.08,1148.24,…,1698.47,1926.92,1966.23,2431.17
Cartaxo,1100.42,789.58,916.7,945.25,946.16,1065.83,…,1753.97,1627.74,1697.59,…
Chamusca,1050.95,812.66,869.18,939.97,979.59,1027.49,//,1643.03,1505.69,1249.33,…
Coruche,1070.88,811.54,975.65,993.39,972.96,1061.98,1298.39,1436.82,1579.63,1373.57,…
Golegã,1019.9,773.3,920.01,885.18,921.69,981.76,//,1449.73,1400.94,1502.62,…
Rio Maior,1129.62,871.77,935.34,1028.88,1021.09,1103.03,1119.11,1845.49,1597.13,1563.02,3441.84
Salvaterra de Magos,1044.56,820.66,906.61,984.54,951.29,1014.42,…,1643.87,1619.96,1434.6,…
Santarém,1152.11,859.37,946.83,1037.29,969.19,1051.38,1701.47,1471.72,1632.87,2047.67,2015.27
Alto Alentejo,1078.92,845.84,920.29,955.31,957.54,1044.74,1062.77,1736.86,1525.01,1721.7,2666.11
Alter do Chão,981.66,…,925.29,867.88,903.81,944.32,…,1367.71,1402.73,…,//
Arronches,949.8,…,924.65,932.48,863.46,916.02,…,…,1183.83,…,…
Avis,1039.71,…,924.93,962.13,962.47,1010.52,…,1976.87,1566.9,…,…
Campo Maior,1347.69,928.13,1180.28,1186.76,1139.03,1199.04,…,2178.93,1939.04,2524.66,…
Castelo de Vide,947,…,826.79,873.47,859.38,1015.54,//,1380.49,1262.15,1073.31,//
Crato,910.76,…,822.33,805.04,859.67,981.64,//,…,1069.42,…,//
Elvas,1031.71,865.84,907.49,969.9,926.82,982.91,1301.26,1560.56,1357.92,1594.68,3097.8
Fronteira,1010.27,…,875.75,895.72,922.76,1043.28,//,1230.41,1436.31,2078.13,//
Gavião,858.18,…,813.07,769.31,819.32,878.23,//,962.54,1152.85,…,//
Marvão,870.97,…,841,802.31,809.62,863.34,//,…,1082.42,1558.68,//
Monforte,1074.15,987.42,919.29,1014.08,889.34,1017.5,…,1657.53,1517.16,1604.38,…
Nisa,885.94,707.18,788.95,846.55,840.68,884.57,//,1379.34,1099.64,1259.53,//
Ponte de Sor,1086.13,801.4,899.1,938.74,988.02,1081.21,778.36,1811.28,1608.41,1609.93,…
Portalegre,1101.81,770.09,898.64,937.33,981.15,1047.67,…,1660.25,1550.63,1537.26,…
