,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Portugal,2287160,6478,155654,253549,559497,735564,2068,38382,440051,81564,9175
Continente,2200594,6063,147634,241308,534710,708685,1831,37682,428434,80057,9059
Norte,802614,1933,62974,115175,198345,244156,698,11159,136809,26966,3514
Alto Minho,46086,73,2042,6107,13168,16499,36,599,6487,1016,30
Arcos de Valdevez,3852,5,225,489,1000,1547,3,25,469,86,0
Caminha,1820,6,66,210,519,753,…,18,217,27,…
Melgaço,709,0,36,62,203,268,…,…,113,15,…
Monção,2831,…,183,377,820,1017,5,…,364,36,0
Paredes de Coura,1032,…,95,175,278,329,0,…,130,12,0
Ponte da Barca,1184,3,81,180,356,418,3,9,124,10,0
Ponte de Lima,7848,10,403,1322,2380,2668,6,99,816,131,8
Valença,3041,3,101,320,1016,1209,…,20,317,40,…
Viana do Castelo,20243,36,717,2534,5407,6993,9,335,3588,605,12
Vila Nova de Cerveira,3526,3,135,438,1189,1297,4,52,349,54,3
Cávado,100923,165,6600,16530,25621,30389,92,910,16874,3274,378
Amares,2782,5,219,602,812,776,…,20,296,43,…
Barcelos,30128,54,2363,6823,8439,8310,21,179,3414,498,16
Braga,52829,88,3041,6272,11756,16847,58,589,11337,2448,343
Esposende,6653,7,375,1229,1965,1924,…,71,907,154,…
Terras de Bouro,997,4,79,157,268,320,0,8,126,35,0
Vila Verde,7534,7,523,1447,2381,2212,7,43,794,96,7
Ave,104228,340,10375,18804,28155,30589,91,818,12141,2337,342
Cabeceiras de Basto,1912,…,184,328,620,537,…,17,207,13,…
Fafe,8794,23,702,1835,2952,2287,3,52,811,101,25
Guimarães,46222,113,5236,8195,12158,12815,30,336,5785,1118,232
Mondim de Basto,737,…,92,134,227,206,0,9,62,…,0
Póvoa de Lanhoso,3283,10,289,585,832,1085,…,51,378,48,…
Vieira do Minho,1180,7,73,246,387,356,…,10,91,…,…
Vila Nova de Famalicão,36509,169,3006,6227,9471,11777,47,320,4415,976,75
Vizela,5591,14,793,1254,1508,1526,…,23,392,69,…
A. M. Porto,413283,906,28307,49110,94424,126310,370,7556,84984,18230,2636
Arouca,4073,5,315,906,1242,1062,…,43,426,67,…
Espinho,4359,10,405,494,1086,1488,…,67,714,88,…
Gondomar,16658,31,1294,1994,4610,5529,17,208,2566,390,14
Maia,44862,99,3359,4639,10490,13651,58,930,9400,2025,161
Matosinhos,44798,66,2699,3731,8545,14340,36,1249,11232,2537,293
Oliveira de Azeméis,16709,34,1498,3579,4929,4545,10,222,1587,279,17
Paredes,16569,71,1970,3484,4346,4402,12,144,1744,269,109
Porto,96637,93,3427,5208,15808,28429,90,2284,31801,7722,1666
Póvoa de Varzim,12292,28,903,1982,3386,3809,10,126,1735,286,10
Santa Maria da Feira,28738,90,2545,5242,7823,8425,16,371,3445,710,31
Santo Tirso,14675,36,1614,3112,3714,4126,11,126,1669,246,14
São João da Madeira,8840,38,616,1562,2220,2830,9,144,1166,233,14
Trofa,11847,39,1003,1735,3269,3858,9,96,1358,411,65
Vale de Cambra,5929,16,474,1028,1474,1843,6,99,789,196,4
Valongo,13671,33,1097,1854,3699,4747,7,186,1782,243,12
Vila do Conde,19422,46,1528,2875,5036,6117,11,315,2825,525,127
Vila Nova de Gaia,53204,171,3560,5685,12747,17109,62,946,10745,2003,92
Alto Tâmega,11047,29,1020,1380,2863,3958,11,143,1464,154,15
Boticas,807,0,114,164,182,240,0,6,86,14,0
Chaves,5738,13,439,561,1457,2296,…,79,775,93,…
Montalegre,858,…,69,140,256,254,3,7,122,…,…
Ribeira de Pena,886,7,117,133,210,266,0,24,120,9,0
Valpaços,1297,…,137,195,325,430,0,14,183,…,…
Vila Pouca de Aguiar,1461,…,144,187,433,472,…,13,178,26,0
Tâmega e Sousa,85441,302,10847,18463,23850,22886,60,624,7354,966,50
Amarante,8472,17,1130,1393,2200,2501,…,76,1021,122,…
Baião,2254,13,342,386,574,612,3,31,241,48,3
Castelo de Paiva,2785,3,169,611,858,907,…,14,188,23,…
Celorico de Basto,2101,8,232,368,660,609,4,24,162,29,3
Cinfães,3114,…,373,947,982,645,4,10,133,6,…
Felgueiras,17077,55,2475,3867,4863,4518,4,94,1066,122,9
Lousada,9919,84,1399,2365,3132,2139,…,59,640,91,…
Marco de Canaveses,9151,31,1255,2269,2396,2357,7,69,671,87,4
Paços de Ferreira,14833,29,1798,3424,4405,3718,16,138,1154,142,3
Penafiel,14887,49,1608,2730,3488,4620,6,106,1965,290,18
Resende,848,…,66,103,292,260,…,3,113,6,…
Douro,26864,91,2597,3207,6709,8590,27,292,4652,649,35
Alijó,1327,8,178,175,332,408,…,…,187,17,…
Armamar,805,8,147,132,182,221,0,12,92,11,0
Carrazeda de Ansiães,467,6,62,57,144,136,0,4,53,5,0
Freixo de Espada à Cinta,462,0,29,26,42,278,…,…,79,…,0
Lamego,3525,9,366,485,740,1295,10,43,518,…,…
Mesão Frio,414,…,55,47,173,98,0,0,35,…,0
Moimenta da Beira,1398,…,119,192,334,496,…,13,217,19,0
Murça,537,0,69,75,164,136,0,8,78,7,0
Penedono,307,0,50,…,110,64,0,…,33,…,0
Peso da Régua,1879,9,183,222,480,605,…,16,319,37,…
Sabrosa,811,3,113,104,193,228,…,6,146,13,…
Santa Marta de Penaguião,406,0,83,54,87,116,…,3,55,3,…
São João da Pesqueira,963,…,135,161,261,233,…,10,137,13,0
Sernancelhe,829,0,74,112,250,292,0,…,87,7,…
Tabuaço,493,…,97,…,102,130,…,4,79,7,…
Tarouca,1141,…,122,191,366,338,0,…,100,11,0
Torre de Moncorvo,789,…,111,95,194,250,0,14,110,…,…
Vila Nova de Foz Côa,788,7,111,105,241,182,0,14,111,15,0
Vila Real,9523,18,493,860,2314,3084,4,103,2216,411,16
Terras de Trás-os-Montes,14742,27,1186,1574,3555,4935,11,217,2853,340,28
Alfândega da Fé,397,…,36,49,83,153,0,…,63,5,…
Bragança,5935,8,355,517,1270,2046,5,75,1425,203,20
Macedo de Cavaleiros,1704,…,197,190,447,525,0,…,271,40,…
Miranda do Douro,834,…,74,94,253,290,0,…,97,12,0
Mirandela,3121,0,250,352,713,1099,…,50,605,45,…
Mogadouro,971,…,73,137,263,321,…,…,143,6,0
Vila Flor,801,4,85,87,239,243,0,11,124,8,0
Vimioso,428,…,76,58,109,99,…,…,61,12,…
Vinhais,551,…,40,90,178,159,0,…,64,9,…
Centro,454146,1471,34776,56734,124321,145713,411,6809,69827,11964,1364
Oeste,70881,317,6222,9486,21353,22847,85,804,8369,1072,46
Alcobaça,12263,58,1225,1762,3487,3940,9,138,1445,167,6
Alenquer,9208,42,866,1289,2702,3077,9,108,959,143,4
Arruda dos Vinhos,2836,8,210,450,958,736,…,49,365,53,…
Bombarral,1984,27,209,325,632,564,…,…,187,11,0
Cadaval,1997,11,268,252,631,577,…,…,218,24,0
Caldas da Rainha,10268,37,684,937,2968,3784,14,119,1405,227,6
Lourinhã,3999,…,424,609,1196,1247,11,25,368,31,…
Nazaré,2493,14,187,354,676,865,…,31,313,36,…
Óbidos,2628,4,149,205,773,902,0,31,492,51,3
Peniche,4235,21,411,612,1338,1317,…,53,427,37,…
Sobral de Monte Agraço,1494,…,136,281,520,400,…,…,116,26,…
Torres Vedras,17476,62,1453,2410,5472,5438,26,209,2074,266,17
Região de Aveiro,89950,239,5918,11946,24152,28058,72,1565,14043,3187,703
Águeda,12873,54,1121,2015,3516,3894,6,214,1692,343,10
Albergaria-a-Velha,6343,19,441,1035,1775,1939,3,124,830,167,3
Anadia,5725,13,564,997,1616,1501,…,103,828,96,…
Aveiro,25141,37,1227,2399,5844,8228,20,469,4962,1321,616
Estarreja,6356,23,346,764,2170,1962,…,135,797,136,…
Ílhavo,7167,27,474,877,1755,2209,5,106,1321,361,22
Murtosa,1284,…,126,206,440,330,0,…,139,20,…
Oliveira do Bairro,5903,13,391,972,1531,1906,…,101,843,134,…
Ovar,12545,39,794,1693,3666,3994,22,195,1693,417,23
Sever do Vouga,2356,…,131,449,676,758,…,…,248,51,…
Vagos,4257,7,303,539,1163,1337,3,64,690,141,6
Região de Coimbra,81365,209,5792,9438,20901,25447,77,1266,14430,3220,434
Arganil,1664,…,151,270,503,556,…,…,143,17,0
Cantanhede,7136,…,488,961,2002,2143,…,99,1073,283,55
Coimbra,29237,43,1277,2405,6079,9321,27,511,7293,1911,340
Condeixa-a-Nova,2126,6,248,281,505,592,…,…,407,50,…
Figueira da Foz,12493,25,865,1418,3639,4135,7,202,1846,299,6
Góis,465,…,41,52,156,162,0,…,37,8,0
Lousã,2509,10,122,297,619,931,…,40,410,72,…
Mealhada,4466,9,303,611,1343,1430,6,79,594,88,0
Mira,1790,6,162,310,481,484,9,32,257,34,5
Miranda do Corvo,1126,4,160,131,308,319,0,51,135,18,0
Montemor-o-Velho,2987,9,263,439,896,902,…,33,350,71,…
Mortágua,2112,10,180,281,462,680,…,26,350,116,…
Oliveira do Hospital,3684,21,524,522,1009,1022,6,41,432,85,11
Pampilhosa da Serra,521,…,85,90,175,115,0,…,46,5,0
Penacova,1698,…,198,308,552,437,…,23,158,16,0
Penela,1554,5,155,197,411,421,…,16,278,65,…
Soure,1907,…,170,229,562,638,…,20,248,28,…
Tábua,2420,29,245,404,754,693,4,16,243,26,3
Vila Nova de Poiares,1470,…,155,232,445,466,…,…,130,28,…
Região de Leiria,72688,211,5399,8831,19950,24191,64,1002,11272,1628,35
Alvaiázere,1080,…,136,212,330,265,…,14,113,…,…
Ansião,2254,…,268,312,708,644,…,…,243,25,…
Batalha,4334,33,410,644,1231,1383,…,50,499,62,…
Castanheira de Pêra,394,…,63,46,105,129,0,0,43,…,0
Figueiró dos Vinhos,592,0,53,89,163,187,0,10,78,12,0
Leiria,36514,84,2339,4153,9733,11975,29,559,6567,1014,15
Marinha Grande,10370,18,509,895,2810,3937,24,156,1744,260,9
Pedrógão Grande,436,…,42,56,100,139,0,…,80,11,0
Pombal,11960,33,1146,1742,3406,3975,…,113,1362,161,…
Porto de Mós,4754,31,433,682,1364,1557,4,62,543,71,0
Viseu Dão Lafões,50779,168,4067,6841,13755,15890,37,706,8071,1110,68
Aguiar da Beira,876,…,144,148,239,228,…,4,95,9,…
Carregal do Sal,1877,…,169,236,578,499,…,23,321,46,…
Castro Daire,1733,…,209,289,487,537,…,…,172,28,0
Mangualde,4590,…,351,837,1387,1482,…,90,396,27,…
Nelas,2904,…,208,318,1012,867,…,46,382,64,…
Oliveira de Frades,2976,…,289,475,879,776,0,17,371,162,…
Penalva do Castelo,961,10,168,192,251,225,0,…,97,12,…
